,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,867.59,853.79,843.42,661.19,662.92,740.42,658.35,607.93,631.99,573.35,800.21,760.43,794.17,714.54,692.53,572.72,515.82,469.73,414.72,321.62
1,Other Revenue,-,-8.74,8.74,-,11.39,-2.03,2.03,-,14.6,-4.39,4.39,-,6.85,-1.96,1.96,-,14.41,-0.56,0.56,-
2,Revenue,867.59,845.05,852.16,661.19,674.31,738.39,660.38,607.93,646.59,568.96,804.6,760.43,801.02,712.58,694.49,572.72,530.23,469.17,415.28,321.62
3,Revenue Growth (YoY),28.66%,14.45%,29.04%,8.76%,4.29%,29.78%,-17.92%,-20.05%,-19.28%,-20.16%,15.85%,32.78%,51.07%,51.88%,67.23%,78.07%,-,-,-,-
4,Cost of Revenue,-2168,788.47,775.07,604.44,619.3,675.77,609.96,554.68,603.44,519.02,743.24,711.44,730.29,661.82,632.04,520.06,475.62,422.89,369.33,293.43
5,Gross Profit,3036,56.58,77.09,56.75,55,62.62,50.42,53.25,43.15,49.94,61.36,48.99,70.73,50.76,62.45,52.66,54.62,46.28,45.95,28.19
6,"Selling, General & Admin",-62.78,20.68,20.81,21.29,27.25,19.52,17.3,17.19,14.57,17.69,17.1,17.97,22.14,11.53,16.82,17.01,18.64,14.98,9.06,14.44
7,Research & Development,-87.57,28.12,34.8,24.66,27.31,33.37,25.15,19.77,25.63,25.52,22.24,18.12,38.89,23.47,20.14,18.81,26.84,15.4,18.55,3.81
8,Other Operating Expenses,3155,2.03,2.55,1.5,1.54,-2.59,-10.7,-0.6,5.08,-1.23,-0.19,0.78,9.14,-1.17,-0.21,-0.65,7.33,-0.32,-0.89,0.03
