,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,187.47,218.42,198.14,231.88,221.69,299.81,159.76,284.61,203.36,238.86,132.06
1,Other Revenue,-2.35,2.35,-,5.6,-2.79,2.79,-,4.79,-2.74,2.74,-
2,Revenue,185.11,220.77,198.14,237.47,218.91,302.59,159.76,289.39,200.62,241.59,132.06
3,Revenue Growth (YoY),-15.44%,-27.04%,24.03%,-17.94%,9.12%,25.25%,20.98%,-,-,-,-
4,Cost of Revenue,125.48,145.85,132.15,169,145.46,206.04,99.21,205.18,127.47,151.77,78.63
5,Gross Profit,59.63,74.92,66,68.48,73.45,96.55,60.54,84.21,73.15,89.82,53.42
6,"Selling, General & Admin",31.8,26.73,30.79,48.92,30.33,34.61,31.34,29.74,36.08,31.76,31.72
7,Research & Development,8.47,7.52,8.1,11.44,7.45,8.41,4.62,8.03,7.54,7.52,5.86
8,Other Operating Expenses,-3.62,0.98,0.32,8.1,1.34,-6.72,-0.27,9.25,-2.02,1.29,-1.92
9,Operating Expenses,39.03,41.56,48.76,75.64,45.21,43.15,39.13,51.6,43.37,38.98,36.84
10,Operating Income,20.6,33.36,17.24,-7.17,28.24,53.41,21.41,32.61,29.78,50.84,16.58
11,Interest Expense,-0.31,-0.57,-0.41,-0.39,-0.5,-0.25,-0.14,-0.18,-0.56,-0.81,-0.57
12,Interest & Investment Income,2.2,3.67,1.08,4.93,1.59,0.64,0.38,0.34,0.14,-,0.33
13,Currency Exchange Gain (Loss),-0.85,0.85,-,-1.88,1.56,-1.56,-,4.46,-3.62,3.62,-
14,Other Non Operating Income (Expenses),0.79,0.8,-1.25,1.39,-3.25,1.57,-1.88,-6.2,4.83,-0.62,0.54
15,EBT Excluding Unusual Items,22.43,38.12,16.66,-3.12,27.64,53.81,19.76,31.04,30.57,53.03,16.88
