,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,542.56,599.8,664.33,737.97,739.56,885.4,164.42,211.08,-,-,-
1,Cash & Short-Term Investments,542.56,599.8,664.33,737.97,739.56,885.4,164.42,211.08,-,-,150.12
2,Cash Growth,-26.64%,-32.26%,304.05%,249.62%,-,-,9.52%,-,-,-,-
3,Accounts Receivable,555.26,522.45,545.7,521.75,528.48,509.37,402.05,447.99,-,-,-
4,Other Receivables,13.44,13.89,10.4,8.93,12.89,11.19,36.37,12.73,-,-,-
5,Receivables,568.69,536.35,556.11,530.68,541.36,520.56,438.41,460.72,-,-,-
6,Inventory,394.2,378.54,389.86,394.74,409.13,411.11,474.99,428.98,-,-,-
7,Other Current Assets,36.41,38.62,20.62,27.34,23.71,26.84,18.49,11.64,-,-,-
8,Total Current Assets,1542,1553,1631,1691,1714,1844,1096,1112,-,-,-
9,"Property, Plant & Equipment",363.26,325.87,280.5,229.94,206.92,171.31,153.07,139.55,-,-,-
10,Long-Term Investments,54,-,-,-,-,-,-,-,-,-,-
11,Other Intangible Assets,44.51,49.16,45.27,49.54,45.52,44.52,44.86,47.37,-,-,-
12,Long-Term Accounts Receivable,-,21.63,-,-,-,-,-,-,-,-,-
13,Long-Term Deferred Tax Assets,28.4,26.57,24.25,21.99,21.14,19.33,17.63,16.84,-,-,-
14,Long-Term Deferred Charges,2.79,2.98,1.79,1.93,2.06,1.63,1.74,3.93,-,-,-
15,Other Long-Term Assets,41.21,11.82,29.41,47.67,24.85,16.89,17.89,14.11,-,-,-
16,Total Assets,2076,1991,2012,2042,2014,2098,1331,1334,-,-,-
17,Accounts Payable,325.38,325.7,302.31,322.39,297.56,326.62,354.01,354.61,-,-,-
18,Accrued Expenses,11.99,20.57,14.92,32.69,11.05,20.52,19.88,39.95,-,-,-
19,Short-Term Debt,61.25,26.62,14.96,11.01,19.74,17.81,17.71,13.8,-,-,-
20,Current Portion of Long-Term Debt,0.78,-,1.17,0.02,1.79,0.02,1.19,2.01,-,-,-
21,Current Portion of Leases,-,0.52,-,1.38,-,1.73,-,1.53,-,-,-
22,Current Income Taxes Payable,8.69,6.93,13.75,6.35,9.4,9.1,11.26,11.34,-,-,-
23,Current Unearned Revenue,171.96,158.7,177.48,187.5,207.75,288.99,249.77,259.68,-,-,-
24,Other Current Liabilities,63.83,43.21,46.98,44.7,60.01,51.97,63.89,56.38,-,-,-
25,Total Current Liabilities,643.88,582.25,571.58,606.05,607.3,716.76,717.71,739.3,-,-,-
26,Long-Term Debt,10.41,5,18.88,18.88,18.88,18.88,18.88,18,-,-,-
27,Long-Term Leases,2.2,0.34,0.44,0.51,1.42,0.85,0.53,0.44,-,-,-
28,Long-Term Unearned Revenue,0.88,0.91,0.95,0.99,1.02,1.06,1.1,1.13,-,-,-
29,Long-Term Deferred Tax Liabilities,0.06,0.07,0.36,0.07,0.62,0.63,0.64,0.8,-,-,-
30,Other Long-Term Liabilities,5.07,5.55,6.17,5.94,6.18,5.59,5.36,5.13,-,-,-
31,Total Liabilities,662.5,594.12,598.38,632.44,635.43,743.78,744.22,764.81,-,-,-
32,Common Stock,204,204,204,204,204,204,153,153,-,-,-
33,Additional Paid-In Capital,919.99,917.79,915.88,913.74,898.85,896.79,230.79,228.73,-,-,-
34,Retained Earnings,286.77,274.27,281.9,268,253.95,233.73,186.24,171.34,-,-,-
35,Treasury Stock,-30.05,-30.05,-13.48,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,9.41,9.51,8.94,8.66,8.48,7.42,6.99,6.65,-,-,-
37,Total Common Equity,1390,1376,1397,1394,1365,1342,577.02,559.72,-,-,429.16
