,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,2814,2866,2507,2656,3548,3837,3543,-,-,-,-,-
1,Market Cap Growth,-25.30%,-25.30%,-29.25%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2369,2321,1895,1972,2863,3003,3428,-,-,-,-,-
3,Last Close Price,13.95,14.21,12.29,12.84,17.15,18.55,17.13,-,-,-,-,-
4,PE Ratio,34.59,36.58,29.13,27.72,36.70,32.08,28.57,-,-,-,-,-
5,PS Ratio,3.22,3.41,2.86,2.78,3.86,3.95,3.72,-,-,-,-,-
6,PB Ratio,2.02,2.03,1.79,1.88,2.52,2.78,2.62,-,-,-,-,-
7,P/TBV Ratio,2.13,2.13,1.89,1.96,2.64,2.91,2.73,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-18.29,-,-,-,-,-,-,-
9,P/OCF Ratio,71.75,-,-73.79,-,-45.05,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.82,2.76,2.16,2.06,3.12,3.09,3.60,-,-,-,-,-
11,EV/EBITDA Ratio,28.97,29.14,21.71,18.35,-,19.84,22.48,-,-,-,-,-
12,EV/EBIT Ratio,37.00,36.24,26.43,21.50,-,22.14,24.98,-,-,-,-,-
13,EV/FCF Ratio,-29.45,-,-,-,-14.76,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.05,0.05,0.02,0.03,0.02,0.03,0.03,0.07,0.06,-,-,0.21
15,Debt / EBITDA Ratio,0.91,0.76,0.21,0.42,-,0.33,0.17,0.38,0.23,-,-,1.12
16,Debt / FCF Ratio,-,-,-,-,-0.16,-,-,-,0.44,-,-,-
17,Asset Turnover,0.36,0.44,0.39,0.47,0.43,0.71,0.48,-,-,-,-,
18,Inventory Turnover,1.42,1.30,1.52,1.35,1.68,1.42,1.86,0.88,-,-,-,-
19,Quick Ratio,1.73,1.73,1.95,2.14,2.09,2.11,1.96,0.84,0.91,-,-,-
20,Current Ratio,2.39,2.39,2.67,2.85,2.79,2.82,2.57,1.53,1.50,-,-,-
21,Return on Equity (ROE),4.04%,11.38%,4.37%,4.48%,6.41%,20.24%,10.60%,-,-,-,-,
22,Return on Assets (ROA),2.53%,4.17%,2.13%,-0.88%,3.43%,7.79%,4.02%,-,-,-,-,
23,Return on Capital (ROIC),3.53%,5.79%,2.98%,-1.25%,5.02%,13.23%,8.70%,-,-,-,-,
24,Return on Capital Employed (ROCE),4.47%,4.47%,5.09%,6.37%,-,9.64%,9.94%,21.94%,21.82%,-,-,-
25,Earnings Yield,2.78%,2.73%,3.43%,3.61%,2.72%,3.12%,3.50%,-,-,-,-,-
26,FCF Yield,-2.86%,-2.81%,-6.66%,-7.64%,-5.47%,-4.55%,-0.31%,-,-,-,-,-
27,Dividend Yield,1.61%,-,-,-,1.31%,-,-,-,-,-,-,-
28,Payout Ratio,59.17%,1.99%,120.75%,1.97%,1.79%,2.37%,0.19%,1.17%,0.25%,10.34%,0.50%,5.97%
29,Buyback Yield / Dilution,-10.21%,12.83%,-5.22%,-41.37%,-24.69%,-38.76%,-26.34%,-7.30%,-,-,-,-
30,Total Shareholder Return,-8.59%,12.83%,-5.22%,-41.37%,-23.38%,-38.76%,-26.34%,-7.30%,-,-,-,-
