,Fiscal Quarter,Current,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,+7 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Dec '10 Dec 31, 2010",+7 Quarters
0,Market Capitalization,1250000,660000,850000,970000,1060000,1010000,1050000,1310000,920000,730000,790000,920000,870000,790000,940000,1050000,820000,1080000,158000,220000,516000,Upgrade
1,Market Cap Growth,-49.62%,-34.65%,-19.05%,-25.95%,15.22%,38.36%,32.91%,42.39%,5.75%,-7.59%,-15.96%,-12.38%,6.10%,-26.85%,494.94%,377.27%,58.91%,63.14%,-78.65%,-,-,Upgrade
2,Enterprise Value,1912573,1912573,2075022,2136160,1669288,1474142,1514142,1706649,1216675,1026675,1290491,1358191,1290236,1168606,1264019,1137587,907587,1167587,378641,830895,489423,Upgrade
3,Last Close Price,12500.00,3176.08,4090.40,4205.71,4595.93,4379.14,4552.57,4976.17,3494.71,2772.98,3000.90,3062.04,2895.62,2629.36,3128.60,2957.07,2309.33,3041.55,2224.84,3097.88,3091.29,Upgrade
4,PE Ratio,28.41,15.00,-,-,9.09,6.78,8.56,-,6.35,-,6.39,5.84,5.45,-,5.56,6.03,4.33,8.02,1.34,2.33,5.56,Upgrade
5,PS Ratio,0.81,0.43,0.53,0.51,0.61,0.58,0.61,0.90,0.57,0.48,0.47,0.52,0.51,0.47,0.60,0.60,0.46,0.94,0.16,0.32,0.84,Upgrade
6,PB Ratio,1.25,0.64,0.82,0.81,0.88,0.92,0.97,1.07,0.74,-,0.71,0.74,0.70,0.72,0.83,0.81,0.65,-,0.14,0.76,1.47,Upgrade
7,P/TBV Ratio,0.69,0.69,0.88,0.87,0.94,0.99,1.05,1.15,0.79,-,0.77,0.77,0.73,0.75,0.88,0.84,0.66,-,0.14,0.79,1.52,Upgrade
8,P/FCF Ratio,-,-,-2.33,-1.52,-,-9.88,-,11.72,-,5.81,6.23,5.01,-,-1.89,9.20,-1.57,-,1.63,-,0.59,-,Upgrade
9,P/OCF Ratio,-,-,-2.91,-1.72,-,-21.74,-,7.75,-,3.29,4.42,4.15,-,-1.82,7.57,-1.67,-,1.63,-,0.57,-,Upgrade
10,EV/Sales Ratio,1.24,1.24,1.30,1.12,0.96,0.85,0.88,1.17,0.75,0.68,0.77,0.77,0.75,0.69,0.80,0.65,0.51,1.02,0.37,1.22,0.80,Upgrade
11,EV/EBITDA Ratio,9.98,10.34,-,8.63,7.30,5.51,6.96,-,4.98,4.57,5.94,5.74,5.74,-,6.26,5.24,3.83,8.99,3.96,13.31,-,Upgrade
12,EV/EBIT Ratio,12.44,12.44,-,-,8.63,6.34,8.07,-,5.64,-,6.78,6.48,6.37,-,7.13,5.78,4.20,11.63,5.05,19.60,-,Upgrade
13,EV/FCF Ratio,-,-,-5.69,-3.35,-,-14.43,-,15.27,-,8.17,10.17,7.39,-,-2.80,12.37,-1.70,-,1.76,-,2.24,-,Upgrade
14,Debt / Equity Ratio,1.79,1.79,1.25,1.04,0.96,0.55,0.44,0.36,0.33,-,0.27,0.38,0.36,0.37,0.31,0.27,0.23,-,0.23,2.59,2.13,Upgrade
15,Debt / EBITDA Ratio,9.67,23.47,-,47.35,1.83,2.78,4.25,-,0.52,-,2.85,7.42,0.64,-,1.90,21.73,0.71,-,1.07,7.81,-,Upgrade
16,Debt / FCF Ratio,-,-,-3.55,-1.94,-,-5.89,-,3.99,-,-,2.39,2.61,-,-0.97,3.42,-0.53,-,-,-,2.04,-,Upgrade
17,Asset Turnover,-,0.12,0.15,0.59,0.17,0.40,-,-,-,0.32,0.27,0.95,0.54,0.50,0.26,-,-,0.98,0.43,-,Upgrade,
18,Inventory Turnover,0.32,-,0.35,0.34,0.65,0.17,0.52,-,-,-,0.49,0.47,1.39,1.02,0.85,0.50,-,-,1.60,0.75,-,Upgrade
19,Quick Ratio,0.29,0.29,0.18,0.30,0.14,0.15,0.17,0.23,0.20,-,0.54,0.69,0.44,0.62,0.71,0.80,0.88,-,0.85,0.44,0.26,Upgrade
20,Current Ratio,1.30,1.30,0.83,0.52,1.14,1.11,1.09,1.20,1.08,-,1.44,1.60,1.30,1.57,1.63,1.93,1.95,-,2.26,1.17,1.30,Upgrade
21,Return on Equity (ROE),-,-20.48%,-5.22%,37.01%,6.20%,4.01%,-,-,-,2.97%,0.32%,44.87%,-6.34%,13.66%,1.11%,-,-,26.83%,24.57%,-,Upgrade,
22,Return on Assets (ROA),-,-0.34%,-0.09%,6.42%,1.50%,1.14%,-,-,-,1.42%,0.68%,13.20%,-0.94%,3.38%,0.20%,-,-,6.57%,2.72%,-,Upgrade,
23,Return on Capital (ROIC),-,-0.94%,-0.24%,19.30%,5.50%,3.61%,-,-,-,3.01%,1.37%,26.98%,-1.86%,6.10%,0.35%,-,-,11.84%,4.96%,-,Upgrade,
24,Return on Capital Employed (ROCE),4.21%,4.21%,-,-,11.17%,18.87%,15.89%,-,16.03%,-,15.36%,13.83%,13.65%,-,13.38%,13.42%,15.22%,-,5.82%,9.60%,-,Upgrade
25,Earnings Yield,3.52%,6.67%,6.84%,12.74%,11.00%,14.74%,11.68%,9.25%,15.76%,18.15%,15.65%,17.12%,18.35%,14.92%,17.99%,16.57%,23.10%,12.47%,74.40%,43.01%,17.99%,Upgrade
