,Fiscal Quarter,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,+7 Quarters
,Period Ending,"Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Dec '10 Dec 31, 2010",+7 Quarters
0,Revenue,191894,208777,233625,904759,249873,514428,76960,888332,231664,263986,234545,776992,404775,354140,180548,746386,293759,538781,207849,107318,Upgrade
1,Revenue Growth (YoY),-23.20%,-59.42%,203.57%,1.85%,7.86%,94.87%,-67.19%,14.33%,-42.77%,-25.46%,29.91%,4.10%,37.79%,-34.27%,-13.14%,595.49%,81.96%,165.27%,47.78%,-4.05%,Upgrade
2,Cost of Revenue,156878,181350,208653,705900,182133,457354,62997,634371,206791,210519,197341,563388,374458,285388,158515,604406,239946,460484,170983,96824,Upgrade
3,Gross Profit,35016,27427,24971,198859,67741,57074,13963,253961,24872,53467,37203,213604,30317,68751,22032,141981,53814,78297,36866,10494,Upgrade
4,"Selling, General & Admin",27380,36392,27244,41472,31814,33749,37121,57495,33781,34560,27791,40491,41483,30393,19782,41416,17629,20385,15609,25428,Upgrade
5,Operating Expenses,27380,36392,27244,41472,31814,33749,37121,57495,33781,34560,27791,40491,41483,30393,19782,41416,17629,20385,15609,25428,Upgrade
6,Operating Income,7635,-8965,-2272,157387,35927,23326,-23158,196466,-8909,18907,9413,173113,-11165,38358,2250,100564,36185,57913,21257,-14934,Upgrade
7,Interest Expense,-8491,-63217,-,-34149,-4862,-13297,-8528,-20050,-9017,-12103,-8640,-5971,-12113,-13210,-6738,-5829,-5814,-7743,-2070,-16258,Upgrade
8,Interest & Investment Income,628.21,845.24,-,3489,-,3913,227.49,437.79,508.64,2002,594.57,1555,537.71,11996,1804,8919,9688,5328,913.51,-,Upgrade
9,Earnings From Equity Investments,191.37,182.48,62.78,-123.9,227.33,-43.52,43.52,112.66,153.76,146.19,58.73,103.49,78.84,49.1,105.08,1297,94.76,-40.77,-,-,Upgrade
10,Currency Exchange Gain (Loss),-,824.05,-,2536,-,162.67,-162.67,1002,-,1.72,-,-5564,-,-,34.04,-117.79,-,-698.9,-,-,Upgrade
