,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,578,452,526,812,441,790,1075,2619,2865,1076,2466,Upgrade
1,Market Cap Growth,-44.30%,-44.30%,19.33%,2.83%,-58.98%,-69.85%,-62.48%,143.44%,16.19%,-73.03%,-60.26%,Upgrade
2,Enterprise Value,162,88,116,299,-83,267,522,2259,2531,269,887,Upgrade
3,Last Close Price,0.27,0.20,0.23,0.35,0.19,0.34,0.47,1.14,1.24,0.46,1.05,Upgrade
4,PE Ratio,5.51,4.26,11.24,15.33,11.81,-1.35,-,76.77,-20.43,-,-,Upgrade
5,Forward PE,8.22,6.45,3.94,4.03,4.03,-,-,12.17,18.10,5.76,12.34,Upgrade
6,PS Ratio,0.19,0.14,0.17,0.27,0.13,0.21,0.26,0.61,0.79,0.31,0.54,Upgrade
7,PB Ratio,0.27,0.21,0.25,0.39,0.20,0.36,0.46,0.90,1.00,0.41,0.86,Upgrade
8,P/TBV Ratio,0.21,0.21,0.25,0.39,0.21,0.36,0.48,0.92,1.03,0.42,0.88,Upgrade
9,P/FCF Ratio,4.22,3.30,10.18,-,2.57,-11.44,-,5.43,5.79,9.18,-,Upgrade
10,P/OCF Ratio,1.76,1.76,1.25,1.99,1.69,80.57,-,4.49,4.34,3.19,-8.89,Upgrade
11,PEG Ratio,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,0.31,0.66,Upgrade
12,EV/Sales Ratio,0.05,0.03,0.04,0.10,-,0.07,0.13,0.53,0.70,0.08,0.19,Upgrade
13,EV/EBITDA Ratio,0.35,0.32,0.58,1.59,-,-0.89,-,16.73,241.92,-,-,Upgrade
14,EV/EBIT Ratio,0.94,0.50,1.40,5.83,-,-0.62,-,304.83,-,-,-,Upgrade
15,EV/FCF Ratio,1.18,0.64,2.24,-,-,-3.87,-,4.68,5.12,2.29,-,Upgrade
16,Debt / Equity Ratio,0.38,0.38,0.36,0.34,0.32,0.36,0.36,0.34,0.40,0.42,0.32,Upgrade
17,Debt / FCF Ratio,6.03,6.03,14.99,-,4.01,-11.71,-,2.06,2.33,9.46,-,Upgrade
18,Return on Capital Employed (ROCE),7.01%,7.00%,3.21%,2.08%,1.86%,-16.57%,-,0.23%,-,-,-,Upgrade
19,Earnings Yield,18.37%,23.46%,8.90%,6.52%,8.47%,-74.02%,-56.42%,1.30%,-4.90%,-149.35%,-58.88%,Upgrade
20,FCF Yield,23.71%,30.28%,9.83%,8.06%,38.94%,-8.74%,7.30%,18.42%,17.26%,10.89%,-20.03%,Upgrade
21,Dividend Yield,8.30%,5.52%,-,-,-,-,-,-,-,-,-,Upgrade
22,Buyback Yield / Dilution,0.96%,0.20%,0.51%,-1.22%,-0.37%,0.62%,1.23%,1.01%,1.30%,1.01%,0.56%,Upgrade
23,Total Shareholder Return,9.26%,5.72%,0.51%,-1.22%,-0.37%,0.62%,1.23%,1.01%,1.30%,1.01%,0.56%,Upgrade
