,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Rental Revenue,781321,950374,891725,152334,1093927,247180,2577447,2213586,108947,203234,393668,691627,1169347,324859,749814,2001962,1221349,202281,171523,555810,Upgrade
1,Other Revenue,71113,-5164,-1841,-6628,-12690,-2161,-234433,-4412,-467986,1997228,199691,10679,407558,-990.13,3523,1578,928.67,-275.46,2367,-345.57,Upgrade
2,Total Revenue,852434,945210,889884,145706,1081237,245019,2343014,2209175,-359039,2200462,593360,702306,1576905,323869,753336,2003541,1222277,202005,173890,555465,Upgrade
3,Revenue Growth (YoY,-21.16%,285.77%,-62.02%,-93.40%,-,-88.87%,294.87%,214.56%,-,579.43%,-21.24%,-64.95%,29.01%,60.33%,333.23%,260.70%,69.68%,-77.94%,-83.82%,11.28%,Upgrade
4,Property Expenses,396083,590717,427080,78427,606336,136308,683415,668743,-43655,105934,209701,412536,433346,165950,300969,878702,1004757,87097,58196,311884,Upgrade
5,"Selling, General & Administrative",214703,132024,165673,114439,228705,75548,350673,245625,187258,75455,104001,143662,244051,52277,134660,187485,142885,47252,55038,77763,Upgrade
6,Total Operating Expenses,610786,722741,592753,192867,835041,211857,1034088,914368,143603,181389,313701,556197,677397,218226,435629,1066187,1147642,134348,113234,389646,Upgrade
7,Operating Income,241648,222469,297132,-47161,246196,33162,1308925,1294807,-502642,2019073,279658,146109,899507,105643,317708,937354,74636,67657,60656,165819,Upgrade
8,Interest Expense,-84257,-82491,-48545,-52892,-162816,-38877,-154716,-131780,-144801,-126699,-151721,-143725,-133162,-154755,-130334,-93635,-77977,-64604,-42362,-41973,Upgrade
9,Interest & Investment Income,157789,116400,107593,66189,161799,57828,41232,146726,101762,83332,81936,69825,58414,36624,30967,41777,18953,16968,10681,15077,Upgrade
10,Other Non-Operating Income,-151527,-6112,-5465,-2428,15031,-4961,95294,4001,-13058,-16847,-501635,498240,-128983,-22153,-2851,-3374,21278,-19409,931.6,-4420,Upgrade
11,EBT Excluding Unusual Items,163652,250265,350714,-36292,260210,47152,1290735,1313753,-558739,1958860,-291761,570449,695776,-34641,215489,882122,36890,611.43,29908,134503,Upgrade
12,Gain (Loss) on Sale of Investments,-,-,-252.86,-131.11,-,-,462.02,-,-3489,-,-2707,-93.65,2878,-,140.48,-,251261,-,-,-,Upgrade
13,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,590.91,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Other Unusual Items,-,-,35773,-,-,-,74.22,-,5046,-,18429,-,-,-,-,-,-,-,-,-,Upgrade
15,Pretax Income,163652,250265,386234,-36423,260210,47152,1291271,1313753,-556591,1958860,-276039,570356,698655,-34641,215630,882122,288151,611.43,29908,134503,Upgrade
16,Income Tax Expense,101035,48789,113715,40311,110317,28604,279195,257394,3394,22627,46980,47055,80051,24645,137790,167583,64790,9276,18992,40301,Upgrade
17,Earnings From Continuing Operations,62617,201477,272519,-76734,149892,18548,1012076,1056359,-559985,1936233,-323019,523301,618604,-59286,77840,714539,223361,-8665,10916,94202,Upgrade
18,Minority Interest in Earnings,11977,-5278,-31457,-8964,-75093,-13818,-32056,-115622,52659,-17561,-42582,-42694,-95382,-9098,-36996,-115337,-29370,-12167,-13888,-40357,Upgrade
19,Net Income,74594,196199,241062,-85698,74799,4730,980020,940737,-507326,1918672,-365602,480607,523222,-68384,40844,599201,193991,-20831,-2972,53845,Upgrade
20,Net Income to Common,74594,196199,241062,-85698,74799,4730,980020,940737,-507326,1918672,-365602,480607,523222,-68384,40844,599201,193991,-20831,-2972,53845,Upgrade
21,Net Income Growth,-0.27%,4048.20%,-75.40%,-,-,-99.75%,-,95.74%,-,-,-,-19.79%,169.71%,-,-,1012.82%,-53.62%,-,-,-39.47%,Upgrade
22,Basic Shares Outstanding,769,766,767,768,813,591,768,768,762,767,595,763,760,627,626,626,626,631,566,626,Upgrade
23,Diluted Shares Outstanding,769,766,767,768,813,591,768,768,762,767,595,763,760,627,626,626,626,631,566,626,Upgrade
24,Shares Change (YoY),-5.42%,29.63%,-0.07%,-,6.69%,-22.97%,29.08%,0.66%,0.27%,22.33%,-5.06%,21.75%,21.34%,-0.61%,10.64%,0.00%,0.07%,0.69%,-9.63%,-,Upgrade
25,EPS (Basic),97.00,256.00,314.28,-111.64,92.00,8.00,1276.72,1225.55,-665.72,2500.00,-614.81,630.26,688.42,-109.00,65.21,956.66,309.72,-33.00,-5.25,85.97,Upgrade
26,EPS (Diluted),97.00,256.00,314.23,-112.00,92.00,8.00,1274.00,1225.55,-665.72,2500.00,-615.07,630.00,688.42,-109.00,64.99,956.66,309.72,-33.00,-5.25,85.97,Upgrade
27,EPS Growth,5.43%,3100.00%,-75.33%,-,-,-99.68%,-,94.53%,-,-,-,-34.15%,122.27%,-,-,1012.82%,-53.63%,-,-,-39.35%,Upgrade
28,Operating Margin,28.35%,23.54%,33.39%,-32.37%,22.77%,13.53%,55.87%,58.61%,-,91.76%,47.13%,20.80%,57.04%,32.62%,42.17%,46.78%,6.11%,33.49%,34.88%,29.85%,Upgrade
29,Profit Margin,8.75%,20.76%,27.09%,-58.82%,6.92%,1.93%,41.83%,42.58%,-,87.19%,-61.62%,68.43%,33.18%,-21.11%,5.42%,29.91%,15.87%,-10.31%,-1.71%,9.69%,Upgrade
30,Free Cash Flow Margin,-501.52%,-4.13%,-11.03%,3530.14%,-,-313.17%,74.04%,64.93%,-,-1.55%,-148.97%,-4.20%,-72.85%,-9.86%,24.39%,-11.75%,-229.23%,218.19%,-239.34%,-24.48%,Upgrade
31,EBITDA,281461,264501,336671,-7257,265235,53558,1342084,1323355,-476255,2031058,298191,165361,915795,123952,338714,957443,103269,85693,82379,186392,Upgrade
32,EBITDA Margin,33.02%,27.98%,37.83%,-4.98%,24.53%,21.86%,57.28%,59.90%,-,92.30%,50.25%,23.55%,58.08%,38.27%,44.96%,47.79%,8.45%,42.42%,47.37%,33.56%,Upgrade
33,D&A For Ebitda,39813,42033,39539,39904,19039,20396,33159,28548,26387,11985,18533,19252,16288,18309,21007,20089,28634,18037,21723,20573,Upgrade
34,EBIT,241648,222469,297132,-47161,246196,33162,1308925,1294807,-502642,2019073,279658,146109,899507,105643,317708,937354,74636,67657,60656,165819,Upgrade
35,EBIT Margin,28.35%,23.54%,33.39%,-32.37%,22.77%,13.53%,55.86%,58.61%,-,91.76%,47.13%,20.80%,57.04%,32.62%,42.17%,46.78%,6.11%,33.49%,34.88%,29.85%,Upgrade
36,Effective Tax Rate,61.74%,19.49%,29.44%,-,42.40%,60.66%,21.62%,19.59%,-,1.16%,-,8.25%,11.46%,-,63.90%,19.00%,22.48%,1517.13%,63.50%,29.96%,Upgrade
37,Revenue as Reported,781321,950374,891725,152334,1093927,247180,2337149,2213586,-,203234,393668,691627,1169347,324859,749814,2001962,1221349,202281,171523,555810,Upgrade
