,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,23258424,20878849,21646454,22260538,26827786,24371451,24640113,22529200,18614415,18576035,22260538,25100676,30254266,34641419,20434568,18038791,17921351,11462149,6670595,6506179,5214338,Upgrade
1,Market Cap Growth,-14.33%,-14.33%,-12.15%,-1.19%,44.12%,31.20%,10.69%,-10.24%,-38.47%,-46.38%,8.94%,39.15%,68.82%,202.22%,206.34%,177.26%,243.69%,57.93%,-5.33%,-2.46%,-24.49%,Upgrade
2,Enterprise Value,27028998,19392310,25565052,25881009,29833878,27154145,27422806,26662626,24491010,24563354,28550066,29684388,35168082,38752869,26164142,22652614,21731959,12187052,9355469,8860236,7385327,Upgrade
3,Last Close Price,30300.00,27200.00,28200.00,29000.00,34950.00,31750.00,32100.00,29350.00,24250.00,24200.00,29000.00,32700.00,39825.00,45600.00,32625.00,28800.00,28612.50,18300.00,10650.00,10387.50,8325.00,Upgrade
4,PE Ratio,54.59,48.99,50.77,94.77,-,12.18,17.37,6.76,9.37,-,8.71,-,30.99,31.64,-,22.18,23.29,51.16,-,-,5.90,Upgrade
5,PS Ratio,8.21,7.37,7.07,9.43,7.03,4.15,5.55,3.52,4.01,5.92,4.39,7.85,9.01,7.44,4.75,4.31,4.98,5.32,4.04,2.75,1.60,Upgrade
6,PB Ratio,1.25,1.01,1.05,1.09,1.33,1.21,-,1.12,0.98,1.04,1.19,1.50,1.78,2.09,1.34,1.43,1.58,1.08,0.64,0.62,0.50,Upgrade
7,P/FCF Ratio,40.46,-,-,-,4.39,-,-,7.86,75.54,-,-,-,-,-,-,-7.48,-,-,12.05,-,-,Upgrade
8,P/OCF Ratio,28.55,-,-,-,4.39,-,-,7.86,75.54,-,-,-,-,-,-,-7.48,-,-,12.05,-,-,Upgrade
