,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,0.63,2.08,3.4,10.12,-
1,Cash & Short-Term Investments,0.63,2.08,3.4,10.12,-
2,Cash Growth,-81.58%,-79.46%,-,-,-
3,Other Receivables,40.09,14.58,24.09,2.62,-
4,Receivables,40.09,14.58,24.09,2.62,-
5,Prepaid Expenses,0.2,0.51,0.34,0.49,-
6,Restricted Cash,1034,1034,1001,1001,-
7,Other Current Assets,0,0,-,-,7.06
8,Total Current Assets,1075,1051,1029,1014,7.06
9,Total Assets,1075,1051,1029,1014,7.06
10,Accrued Expenses,-,-,-,-,8.71
11,Other Current Liabilities,1099,1070,1024,1028,0.41
12,Total Current Liabilities,1099,1070,1024,1028,9.12
13,Other Long-Term Liabilities,103.45,102.3,102.87,102.33,-
14,Total Liabilities,1202,1172,1126,1130,9.12
15,Common Stock,0,0,0,0,0
16,Additional Paid-In Capital,-,-,-,-,0.19
17,Retained Earnings,-258.04,-197.23,-166.16,-139.06,-2.25
18,Comprehensive Income & Other,130.43,75.66,68.57,22.89,-
19,Shareholders' Equity,-127.61,-121.57,-97.59,-116.16,-2.06
20,Total Liabilities & Equity,1075,1051,1029,1014,7.06
21,Net Cash (Debt),0.63,2.08,3.4,10.12,-
22,Net Cash Growth,-81.58%,-79.46%,-,-,-
23,Net Cash Per Share,0.01,0.02,0.03,0.38,-
24,Filing Date Shares Outstanding,125.13,125.13,125.13,125.13,25.03
25,Total Common Shares Outstanding,125.13,125.13,125.13,125.13,39.02
26,Working Capital,-24.16,-19.27,5.29,-13.83,-2.06
27,Book Value Per Share,-1.02,-0.97,-0.78,-0.93,-0.05
28,Tangible Book Value,-127.61,-121.57,-97.59,-116.16,-2.06
29,Tangible Book Value Per Share,-1.02,-0.97,-0.78,-0.93,-0.05
