,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Other Operating Expenses,4.47,2.13,2.11,1.72,0.6
1,Operating Expenses,59.24,9.22,47.78,90.68,0.6
2,Operating Income,-59.24,-9.22,-47.78,-90.68,-0.6
3,Interest & Investment Income,25.51,23.21,21.47,2.62,-
4,Other Non Operating Income (Expenses),-27.08,-45.06,-0.79,-48.74,-1.66
5,Pretax Income,-60.81,-31.08,-27.1,-136.81,-2.25
6,Net Income,-60.81,-31.08,-27.1,-136.81,-2.25
7,Net Income to Common,-60.81,-31.08,-27.1,-136.81,-2.25
8,Shares Outstanding (Basic),125,125,125,27,37
9,Shares Outstanding (Diluted),125,125,125,27,37
10,Shares Change (YoY),-,367.77%,234.47%,-,-
11,EPS (Basic),-0.49,-0.25,-0.22,-5.11,-0.06
12,EPS (Diluted),-0.49,-0.25,-0.22,-5.11,-0.06
13,Free Cash Flow,-1.45,-1.33,-2.58,-2.32,-
14,Free Cash Flow Per Share,-0.01,-0.01,-0.02,-0.09,-
15,EBIT,-59.24,-9.22,-47.78,-90.68,-0.6
