,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,72,87,88,112,147,224,257,1725,1500,1225,2045
1,Market Cap Growth,-37.65%,-22.82%,-40.00%,-49.76%,-42.55%,-87.02%,-82.89%,40.82%,-26.65%,-63.92%,122.28%
2,Enterprise Value,60,75,110,45,193,172,128,1717,1523,1244,2089
3,PE Ratio,6.34,16.28,-,3.59,-14.18,-,-,149.55,-,282.17,236.16
4,PS Ratio,0.53,1.27,-,-6.98,2.00,1.38,-,2.69,2.22,1.90,3.44
5,PB Ratio,0.26,0.24,0.24,0.31,0.41,0.61,0.61,10.47,10.29,8.99,15.07
6,P/FCF Ratio,1.54,10.59,-,-,24.62,-,-,8.69,17.39,-23.78,-
7,P/OCF Ratio,1.69,10.45,-,-,17.04,-,-,8.60,16.99,-23.79,-
8,EV/Sales Ratio,0.45,1.10,-,-2.81,-,1.07,-,2.68,2.26,1.93,3.52
9,EV/EBITDA Ratio,1.81,4.39,-,-24.37,-,3.19,-,62.97,84.97,47.83,90.78
10,EV/EBIT Ratio,5.26,12.21,-,-2.03,-,4.13,-,74.53,-,55.44,109.25
11,EV/FCF Ratio,1.30,9.19,-,-,32.28,-,-,8.65,17.66,-24.14,-
12,Debt / Equity Ratio,0.06,0.06,0.06,0.05,0.05,0.13,0.13,0.36,0.53,0.46,0.52
13,Debt / FCF Ratio,0.47,2.65,-,-,2.79,-,-,0.29,0.89,-1.22,-
14,Return on Capital Employed (ROCE),2.86%,1.54%,-,-5.51%,-,9.71%,-,13.92%,-,16.34%,13.98%
15,Earnings Yield,8.23%,6.14%,-,27.83%,-7.05%,-11.23%,-,0.67%,-0.04%,0.35%,0.42%
16,Earnings Yield,8.23%,6.14%,-,27.83%,-7.05%,-11.23%,-,0.67%,-0.04%,0.35%,0.42%
17,FCF Yield,65.03%,9.44%,-,-8.02%,4.06%,-34.80%,-,11.51%,5.75%,-4.21%,-1.26%
18,Buyback Yield / Dilution,-,-,-,-,-9.22%,-,-,-,-,-,
19,Total Shareholder Return,-,-,-,-,-9.22%,-,-,-,-,-,
