,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,233.34,115.55,170.65,325.41,146.85,169.94,180.42,186.38,193.82,58.48
1,Short-Term Investments,-,4.73,-,4.8,-,2.22,-,2.62,-,1.52
2,Cash & Short-Term Investments,233.34,120.28,170.65,330.21,146.85,172.16,180.42,189,193.82,59.99
3,Cash Growth,36.73%,-63.58%,16.21%,91.81%,-18.61%,-8.91%,-6.92%,215.04%,-,-
4,Accounts Receivable,384,397.88,350.31,236.53,189.98,130.12,200.08,150.47,203.09,169.16
5,Other Receivables,11.02,39.5,-,1.14,-,52.69,-,30.43,-,-
6,Receivables,395.02,437.38,350.31,237.67,189.98,182.81,200.08,180.9,203.09,169.16
7,Inventory,580.65,682.01,535.66,511,478.29,255.83,200.64,269.16,184.09,129.88
8,Other Current Assets,227.92,130.23,217.76,116.37,274.97,139.6,133.43,81.39,90.99,40.68
9,Total Current Assets,1437,1370,1274,1195,1090,750.41,714.56,720.44,672,399.71
10,"Property, Plant & Equipment",471.13,484.32,437.23,403.13,265.04,213.64,145.23,119.9,116.1,115.55
11,Long-Term Investments,38.29,24.57,26.06,12.07,4.5,41.81,4.5,-,-,-
12,Long-Term Deferred Tax Assets,7.78,10.36,-,-,-,-,-,-,-,-
13,Other Long-Term Assets,62.31,39.08,44.94,88.63,58.23,76.52,34.28,13.32,11.06,11.97
14,Total Assets,2016,1928,1783,1699,1418,1082,898.57,853.66,799.16,527.22
15,Accounts Payable,48.19,54.28,115.5,86.31,56.52,13.62,27.1,6.32,12.82,17.21
16,Accrued Expenses,-,31.71,-,28.87,-,30.96,-,25.43,-,19.77
17,Current Portion of Long-Term Debt,497.23,536.82,254.5,315.1,476.18,325.3,205.57,236.14,206.1,103.02
18,Current Portion of Leases,7.26,13.78,18.38,21.33,16.26,11.98,3.96,1.21,1.3,1.23
19,Current Income Taxes Payable,10.69,14.12,17.85,9.47,18.38,16.5,15,10.37,11.9,7.01
20,Current Unearned Revenue,-,31.58,-,10.52,-,8.73,-,10.64,-,10.22
21,Other Current Liabilities,115.99,33.66,115.08,46.37,62.24,15.4,44.99,10.04,41.43,4.64
22,Total Current Liabilities,679.36,715.94,521.31,517.96,629.57,422.49,296.62,300.16,273.56,163.08
23,Long-Term Debt,164.3,101.86,196.16,167.45,27.04,19.82,24.8,29.79,34.76,40.25
24,Long-Term Leases,2.02,4.25,9.16,11.57,14.31,17.28,6.51,1.95,2.67,3.3
25,Total Liabilities,845.68,822.05,726.63,696.98,670.92,459.6,327.94,331.9,310.99,206.62
26,Common Stock,3.23,3.23,3.23,3.23,2.71,2.71,2.71,2.71,2.71,-
27,Additional Paid-In Capital,328.18,328.18,328.18,328.18,128.68,128.68,128.68,128.68,128.68,-
28,Retained Earnings,703.7,642.97,600.65,555.83,513.2,451.1,398.15,349.03,313.97,278.72
29,Comprehensive Income & Other,59.01,55.63,58.63,53.58,43.24,40.29,41.1,41.34,42.81,41.88
30,Total Common Equity,1094,1030,990.69,940.82,687.82,622.78,570.64,521.76,488.17,320.6
31,Minority Interest,76.63,76.17,65.29,61.29,59.12,-,-,-,-,-
32,Shareholders' Equity,1171,1106,1056,1002,746.95,622.78,570.64,521.76,488.17,320.6
33,Total Liabilities & Equity,2016,1928,1783,1699,1418,1082,898.57,853.66,799.16,527.22
34,Total Debt,670.81,656.7,478.2,515.44,533.79,374.39,240.85,269.1,244.84,147.79
35,Net Cash (Debt),-437.47,-536.42,-307.55,-185.23,-386.94,-202.23,-60.43,-80.1,-51.01,-87.8
36,Net Cash Per Share,-1.22,-1.49,-0.86,-0.53,-1.29,-0.67,-0.20,-0.27,-0.19,-0.39
37,Filing Date Shares Outstanding,360,360,360,360,300,300,300,300,300,300
38,Total Common Shares Outstanding,360,360,360,360,300,300,300,300,300,225
39,Working Capital,757.57,653.96,753.07,677.29,460.53,327.91,417.94,420.29,398.44,236.63
40,Book Value Per Share,3.04,2.86,2.75,2.61,2.29,2.08,1.90,1.74,1.63,1.42
41,Tangible Book Value,1094,1030,990.69,940.82,687.82,622.78,570.64,521.76,488.17,320.6
42,Tangible Book Value Per Share,3.04,2.86,2.75,2.61,2.29,2.08,1.90,1.74,1.63,1.42
43,Buildings,-,177.24,-,54.9,-,54.21,-,52.85,-,50.63
44,Machinery,-,254.41,-,118.34,-,84.15,-,73.73,-,73.2
45,Construction In Progress,-,64.23,-,207.92,-,86.08,-,16.45,-,7.84
