,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1429,1062,1364,1246,1480,1509,1422,1476,651,903,-
1,Market Cap Growth,-14.74%,-14.74%,-7.79%,-17.46%,4.05%,2.24%,118.43%,63.46%,-,-,-
2,Enterprise Value,1982,1737,1767,1524,2002,1757,1495,1571,707,1001,-
3,Last Close Price,3.97,2.95,3.79,3.46,4.11,5.03,4.74,4.92,2.17,3.01,-
4,PE Ratio,12.70,9.45,14.21,13.18,12.50,11.20,11.35,14.58,7.80,12.80,-
5,PS Ratio,0.79,0.59,0.88,0.97,1.28,1.45,1.52,1.95,0.91,1.34,-
6,PB Ratio,1.22,0.84,1.12,1.09,1.31,1.72,1.86,2.15,1.05,1.69,-
7,P/TBV Ratio,0.90,0.90,1.20,1.16,1.39,1.87,1.86,2.15,1.05,1.69,-
8,P/FCF Ratio,-,-10.07,-,-,-6.27,-,-,70.14,-,-,-
9,P/OCF Ratio,-,-15.20,-,-,-30.96,-,10.35,23.26,-,-,-
10,EV/Sales Ratio,1.10,0.97,1.14,1.19,1.74,1.69,1.59,2.07,0.99,1.48,-
11,EV/EBITDA Ratio,9.36,8.52,9.70,8.84,9.07,7.61,9.17,15.78,6.52,8.29,-
12,EV/EBIT Ratio,12.09,10.53,12.00,9.87,9.95,8.38,10.14,18.61,7.53,9.21,-
13,EV/FCF Ratio,-18.79,-16.47,-,-,-8.48,-,-,74.66,-,-,-
14,Debt / Equity Ratio,0.57,0.57,0.59,0.45,0.51,0.71,0.60,0.42,0.52,0.50,0.46
15,Debt / FCF Ratio,-,-6.84,-,-,-2.47,-,-,13.77,-,-,-
16,Return on Capital Employed (ROCE),11.65%,11.48%,11.03%,11.33%,15.07%,22.71%,18.19%,11.66%,14.29%,18.85%,26.10%
17,Earnings Yield,7.86%,10.58%,7.04%,7.59%,8.00%,8.93%,8.81%,6.86%,12.83%,7.81%,-
18,FCF Yield,-7.38%,-9.93%,-25.09%,-6.06%,-15.96%,-22.82%,-2.85%,1.43%,-20.25%,-19.06%,-
19,Buyback Yield / Dilution,-1.11%,0.07%,-2.32%,-19.88%,-17.09%,-,0.08%,-10.87%,-33.44%,-20.26%,-
20,Total Shareholder Return,-1.11%,0.07%,-2.32%,-19.88%,-17.09%,-,0.08%,-10.87%,-33.44%,-20.26%,-
