,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,293.89,576.94,166.68,208.77,244.75,427.27,151.5,174.49,219.49,219.49
1,Other Revenue,-0.4,0.4,-,0.66,-0.37,0.37,-,0.44,-,-
2,Revenue,293.49,577.34,166.68,209.43,244.38,427.65,151.5,174.93,219.49,219.49
3,Revenue Growth (YoY),20.10%,35.00%,10.02%,19.72%,11.34%,94.84%,-,-,-,-
4,Cost of Revenue,120.37,238.06,73.85,91.94,103.56,186.4,71.45,80.3,101.97,101.97
5,Gross Profit,173.12,339.28,92.83,117.49,140.81,241.25,80.05,94.63,117.52,117.52
6,"Selling, General & Admin",76.5,170.4,57.45,72.73,60.42,117.73,50.82,62.2,66.53,66.53
7,Research & Development,9.85,7.88,6.88,7.44,6.22,6.4,5.63,5.38,4.55,4.55
8,Other Operating Expenses,1.82,3.54,0.9,6.59,-0.36,2.04,1.15,3.5,1.21,1.21
9,Operating Expenses,86.94,183.23,65.66,86.56,66.41,126.25,57.77,70.42,72.29,72.29
10,Operating Income,86.18,156.05,27.18,30.93,74.4,115,22.29,24.21,45.23,45.23
11,Interest Expense,-0.04,-0.03,-0.04,-0.05,-0.04,-0.07,-0.09,-0.12,-,-
12,Interest & Investment Income,10.02,11.32,10.62,11.28,1.01,3.67,0.45,1.9,0.38,0.38
13,Currency Exchange Gain (Loss),0,-0,-,-,-,-,-,-,-,-
14,Other Non Operating Income (Expenses),4.96,-5.08,5,-0.26,0.17,0.05,-0.01,-2.47,2.14,2.14
15,EBT Excluding Unusual Items,101.12,162.26,42.76,41.9,75.54,118.65,22.63,23.52,47.75,47.75
16,Gain (Loss) on Sale of Assets,0.01,-0.04,-0.21,-0.01,-0,0.08,-,0.05,-,-
17,Asset Writedown,-2.36,2.51,-2.51,0.21,-0.21,0.3,-0.3,0.59,-0.3,-0.3
18,Other Unusual Items,-5.2,5.2,-,9.13,-,-,-,4.29,-,-
19,Pretax Income,93.56,169.93,40.04,51.24,75.33,119.03,22.33,28.45,47.45,47.45
20,Income Tax Expense,12.71,25.37,4.57,5.94,14.06,20.68,1.21,-0.12,8.18,8.18
21,Net Income,80.86,144.55,35.47,45.29,61.27,98.35,21.12,28.57,39.27,39.27
22,Net Income to Common,80.86,144.55,35.47,45.29,61.27,98.35,21.12,28.57,39.27,39.27
23,Net Income Growth,31.98%,46.99%,67.93%,58.54%,56.00%,150.41%,-,-,-,-
24,Shares Outstanding (Basic),405,424,394,390,340,331,352,324,342,342
25,Shares Outstanding (Diluted),405,424,394,390,340,331,352,324,342,342
26,Shares Change (YoY),18.88%,28.29%,11.95%,20.22%,-0.34%,-3.19%,-,-,-,-
27,EPS (Basic),0.20,0.34,0.09,0.12,0.18,0.30,0.06,0.09,0.12,0.12
28,EPS (Diluted),0.20,0.34,0.09,0.12,0.18,0.30,0.06,0.09,0.12,0.12
29,EPS Growth,11.02%,14.57%,50.00%,31.88%,56.53%,158.66%,-,-,-,-
30,Free Cash Flow,1.67,162.96,-30.29,59.88,61.02,157.8,-39.83,9.25,49.14,49.14
31,Free Cash Flow Per Share,0.00,0.38,-0.08,0.15,0.18,0.48,-0.11,0.03,0.14,0.14
32,Dividend Per Share,-,0.180,-,0.170,-,-,-,-,-,-
33,Gross Margin,58.99%,58.77%,55.69%,56.10%,57.62%,56.41%,52.84%,54.10%,53.54%,53.54%
34,Operating Margin,29.36%,27.03%,16.31%,14.77%,30.45%,26.89%,14.71%,13.84%,20.61%,20.61%
35,Profit Margin,27.55%,25.04%,21.28%,21.63%,25.07%,23.00%,13.94%,16.33%,17.89%,17.89%
36,Free Cash Flow Margin,0.57%,28.23%,-18.17%,28.59%,24.97%,36.90%,-26.29%,5.29%,22.39%,22.39%
37,EBITDA,91.08,160.86,32.08,35.83,78.71,120.07,26.6,28.52,49.28,49.28
38,EBITDA Margin,31.03%,27.86%,19.25%,17.11%,32.21%,28.08%,17.56%,16.31%,22.45%,22.45%
39,D&A For EBITDA,4.9,4.82,4.9,4.9,4.31,5.07,4.31,4.31,4.05,4.05
40,EBIT,86.18,156.05,27.18,30.93,74.4,115,22.29,24.21,45.23,45.23
41,EBIT Margin,29.36%,27.03%,16.30%,14.77%,30.45%,26.89%,14.71%,13.84%,20.61%,20.61%
42,Effective Tax Rate,13.58%,14.93%,11.41%,11.60%,18.67%,17.38%,5.41%,-,17.23%,17.23%
43,Revenue as Reported,293.49,577.34,166.68,209.43,244.38,427.65,151.5,174.93,-,-
