,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,129.41,259.18,104.74,243.83,458.6,-,-,368.21,-,-
1,Short-Term Investments,-,1287,-,1340,-,-,-,-,-,-
2,Trading Asset Securities,266.92,134.6,27.64,19,93.4,-,-,8.24,-,-
3,Cash & Short-Term Investments,396.33,1681,132.38,1603,552,-,376.45,376.45,-,262.43
4,Cash Growth,-28.20%,-,-64.83%,325.85%,-,-,-,-,-,-
5,Accounts Receivable,15.78,39.58,12.36,4.82,8.44,-,-,1.19,-,-
6,Other Receivables,3.2,4.01,2.46,2.32,3.63,-,-,6,-,-
7,Receivables,18.98,43.59,14.82,7.14,12.07,-,-,7.2,-,-
8,Inventory,123.43,166.25,141.06,92.91,101.02,-,-,102.71,-,-
9,Other Current Assets,1319,21.61,1470,13.16,12.8,-,-,23.68,-,-
10,Total Current Assets,1858,1913,1759,1716,677.88,-,-,510.04,-,-
11,"Property, Plant & Equipment",262.9,260.92,259.26,260.42,264.69,-,-,277.56,-,-
12,Other Intangible Assets,18.26,18.43,18.59,18.76,18.9,-,-,19.36,-,-
13,Long-Term Deferred Tax Assets,41.61,40.81,25.92,20.82,18.21,-,-,14.8,-,-
14,Long-Term Deferred Charges,1.3,1.34,1.38,1.41,1.34,-,-,-,-,-
15,Other Long-Term Assets,36.62,-,1.29,1.13,5.66,-,-,3.65,-,-
16,Total Assets,2218,2234,2065,2019,986.69,-,-,825.42,-,-
17,Accounts Payable,49.31,126.71,69.35,40.15,39.34,-,-,36.99,-,-
18,Accrued Expenses,12.98,26.79,9.75,26.21,10.83,-,-,24.43,-,-
19,Current Portion of Leases,1.35,1.34,1.33,1.95,1.9,-,-,2.51,-,-
20,Current Income Taxes Payable,33.94,34.92,20.86,15.47,22.12,-,-,18.28,-,-
21,Current Unearned Revenue,3.25,4.51,2.63,5.97,2.92,-,-,4.5,-,-
22,Other Current Liabilities,74.37,4.47,1.46,5.36,1.7,-,-,9.89,-,-
23,Total Current Liabilities,175.2,198.74,105.36,95.12,78.81,-,-,96.6,-,-
24,Long-Term Leases,1.76,2.11,2.45,2.04,2.51,-,-,5.39,-,-
25,Long-Term Unearned Revenue,0.01,0.01,0.01,0.01,0.01,-,-,0.27,-,-
26,Long-Term Deferred Tax Liabilities,0.34,0.4,0.39,0.44,0.46,-,-,0.57,-,-
27,Total Liabilities,177.32,201.26,108.21,97.61,81.79,-,-,102.83,-,-
28,Common Stock,404.59,404.59,404.59,404.59,343.9,-,-,343.9,-,-
29,Additional Paid-In Capital,1015,1015,1015,1015,104.16,-,-,102.59,-,-
30,Retained Earnings,621.4,613.37,537.59,502.12,456.83,-,-,276.09,-,-
31,Shareholders' Equity,2041,2033,1957,1921,904.89,-,722.59,722.59,-,561.65
32,Total Liabilities & Equity,2218,2234,2065,2019,986.69,-,-,825.42,-,-
33,Total Debt,3.11,3.44,3.77,4,4.41,-,7.91,7.91,-,10.31
34,Net Cash (Debt),393.21,1678,128.61,1599,547.58,-,368.54,368.54,-,252.12
35,Net Cash Growth,-28.19%,-,-65.10%,333.90%,-,-,-,-,-,-
36,Net Cash Per Share,0.97,3.96,0.33,4.10,1.61,-,1.05,1.14,-,0.74
37,Filing Date Shares Outstanding,404.59,404.59,404.59,404.59,343.9,330.62,352.06,404.59,341.51,341.51
38,Total Common Shares Outstanding,404.59,404.59,404.59,404.59,343.9,330.62,352.06,343.9,341.51,341.51
39,Working Capital,1683,1714,1653,1621,599.07,-,-,413.44,-,-
40,Book Value Per Share,5.04,5.02,4.84,4.75,2.63,-,2.10,2.10,-,1.63
41,Tangible Book Value,2023,2014,1938,1903,885.99,-,703.22,703.22,-,541.76
42,Tangible Book Value Per Share,5.00,4.98,4.79,4.70,2.58,-,2.04,2.04,-,1.58
43,Buildings,-,229.67,-,232.54,-,-,-,231.65,-,-
44,Machinery,-,92.2,-,87.77,-,-,-,79.06,-,-
45,Construction In Progress,-,7.94,-,1.82,-,-,-,5.76,-,-
