,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2134,1438,1437,1401,1401,2014,1897,2193,1893,1527,1466,1713,2042,2438,2321,2721,-,-,-,-,-
1,Market Cap Growth,-28.61%,-28.61%,-24.26%,-36.13%,-26.00%,31.88%,29.39%,28.04%,-7.32%,-37.36%,-36.84%,-37.06%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2192,1495,1456,1412,1284,1898,1752,2012,1637,1272,1226,1490,1759,2155,2077,2693,-,-,-,-,-
3,Last Close Price,16.00,10.78,10.77,10.50,10.41,14.97,14.09,16.29,13.99,11.29,10.84,12.66,15.01,17.92,17.05,19.99,-,-,-,-,-
4,PE Ratio,-,-,-,163.14,-,149.54,132.32,62.66,38.11,32.84,29.55,35.31,38.61,38.05,30.20,39.44,-,-,-,-,-
5,PS Ratio,6.38,3.03,3.03,2.95,3.05,4.34,4.20,4.99,4.22,3.43,3.22,3.42,3.75,4.32,4.04,5.08,-,-,-,-,-
6,PB Ratio,3.11,2.09,2.09,2.03,2.02,2.91,2.75,3.20,2.74,2.23,2.15,2.60,3.14,3.76,3.62,4.39,-,-,-,-,-
7,P/TBV Ratio,2.17,2.17,2.17,2.11,2.10,3.02,2.85,3.32,2.84,2.32,2.24,2.71,3.27,3.92,3.78,4.58,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-19.65,-,-,-,-,-,-,-219.12,231.97,-,-,42.99,98.16,-,-,-,-,-
9,P/OCF Ratio,-,-,21.35,27.95,55.44,54.21,34.34,27.69,20.69,18.57,16.59,19.42,21.41,28.57,29.89,56.30,-,-,-,-,-
10,EV/Sales Ratio,4.61,3.15,3.07,2.97,2.80,4.09,3.88,4.58,3.65,2.86,2.69,2.97,3.23,3.82,3.62,5.03,-,-,-,-,-
11,EV/EBITDA Ratio,46.33,31.68,34.58,40.06,42.71,53.84,59.85,45.10,27.71,-,20.23,23.16,22.83,24.10,20.11,28.01,-,-,-,-,-
12,EV/EBIT Ratio,245.25,245.25,1462.03,-,-156.62,-,-489.83,-,52.96,-,35.45,38.09,34.60,33.68,26.42,37.51,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-19.81,-,-,-,-,-,-,-183.20,201.87,-,-,38.47,97.16,-,-,-,-,-
14,Debt / Equity Ratio,0.28,0.28,0.28,0.27,0.28,0.12,0.13,0.10,0.09,0.09,0.03,0.03,0.03,0.02,0.03,0.03,0.04,0.02,-,0.05,0.07
15,Debt / EBITDA Ratio,4.04,4.50,2.68,4.47,4.37,1.99,1.98,2.91,0.93,3.26,0.20,0.27,0.55,0.33,0.14,0.16,0.16,0.08,-,0.19,0.43
16,Debt / FCF Ratio,-,-,-,-2.65,-,-,-,-,-,-,-3.08,2.89,-,-,0.31,0.68,-,0.15,-,0.63,1.27
17,Asset Turnover,-,0.43,0.47,0.38,0.49,0.47,0.44,0.41,0.48,0.51,0.58,0.49,0.57,0.70,0.90,0.83,-,-,-,-,
18,Inventory Turnover,-,-,7.84,8.96,8.11,10.38,9.91,10.43,8.44,9.49,6.70,7.08,6.11,6.21,6.88,9.50,8.41,-,-,-,-
19,Quick Ratio,-,-,1.18,1.32,1.34,1.23,1.30,1.50,1.49,1.59,3.30,2.85,2.71,2.48,2.27,2.38,1.48,1.50,-,1.48,-
20,Current Ratio,-,-,1.43,1.51,1.55,1.36,1.47,1.63,1.67,1.72,3.60,3.16,3.06,2.77,2.58,2.63,1.73,1.70,-,1.71,-
21,Return on Equity (ROE),-1.93%,-1.49%,3.04%,-0.73%,1.75%,0.92%,1.52%,3.63%,2.28%,13.28%,10.56%,1.91%,4.34%,13.40%,17.02%,14.61%,-,-,20.23%,-,
22,Return on Assets (ROA),-,1.71%,-0.53%,0.14%,-1.15%,0.82%,-1.81%,2.04%,-2.13%,5.89%,3.20%,1.10%,0.11%,6.91%,7.71%,7.14%,-,-,-,-,
23,Return on Capital (ROIC),0.09%,2.14%,-0.66%,0.18%,-1.54%,1.10%,-2.45%,2.84%,-2.78%,7.15%,3.96%,1.38%,0.15%,9.37%,10.66%,10.48%,-,-,13.77%,-,
24,Return on Capital Employed (ROCE),-,-,0.12%,-,-1.00%,-,-0.49%,-,4.18%,-,4.93%,5.76%,7.56%,9.74%,12.01%,11.32%,17.21%,15.32%,-,7.60%,-
25,Earnings Yield,-0.09%,-0.13%,0.31%,0.61%,0.43%,0.67%,0.76%,1.60%,2.62%,3.05%,3.38%,2.83%,2.59%,2.63%,3.31%,2.54%,-,-,-,-,-
26,FCF Yield,-,-4.92%,-5.09%,-8.44%,-7.03%,-6.12%,-3.10%,-1.03%,0.60%,-0.46%,0.43%,1.20%,0.56%,2.33%,1.02%,-,-,-,-,-,
27,Dividend Yield,0.47%,-,-,-,-,0.50%,-,-,-,0.66%,-,-,-,0.42%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,209.86%,-,2.64%,24.99%,391.10%,3.60%,11.26%,-,55.38%,0.74%,0.89%,0.35%,0.52%,0.85%,0.41%,0.48%,0.74%,2.26%
29,Buyback Yield / Dilution,-40.58%,-124.88%,-16.48%,-8.69%,-0.76%,-11.45%,-8.27%,-9.97%,19.42%,3.04%,3.21%,4.86%,-51.95%,-28.70%,-40.75%,-23.73%,2.59%,-,-,-,-
30,Total Shareholder Return,-40.10%,-124.88%,-16.48%,-8.69%,-0.76%,-10.95%,-8.27%,-9.97%,19.42%,3.70%,3.21%,4.86%,-51.95%,-28.28%,-40.75%,-23.73%,2.59%,-,-,-,-
