,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,133.75,169.04,179.18,110.81,203.24,210.65,240.9,219.43,167.03,136.56,126.56,135.65,149.43,57.79,42.56,47.41,-,64.98,-
1,Trading Asset Securities,-,-,-,-,50.14,-,-,-,85.28,109.16,125.13,118.09,122.05,150.28,205.3,-,-,-,-,-
2,Cash & Short-Term Investments,133.75,133.75,169.04,179.18,160.95,203.24,210.65,240.9,304.71,276.19,261.69,244.65,257.7,299.72,263.09,42.56,47.41,-,64.98,26.56
3,Cash Growth,-16.90%,-34.19%,-19.76%,-25.62%,-47.18%,-26.41%,-19.50%,-1.53%,18.24%,-7.85%,-0.54%,474.79%,443.58%,-,304.89%,60.26%,-,-,-,-
4,Accounts Receivable,-,186.48,183.75,182.64,220.09,148.28,182.42,181.6,187.08,172.86,186.38,200.4,219.33,258.15,263.9,245.78,241.3,-,191.21,-
5,Other Receivables,-,2.73,18.18,2.79,18.34,53.37,9.85,4.89,5.13,1.58,2.65,1.55,4.73,1.92,1.98,2.67,1.88,-,1.23,-
6,Receivables,-,189.21,201.93,185.42,238.42,201.65,192.27,186.48,192.2,174.44,189.03,201.96,224.06,260.07,265.88,248.45,243.18,-,192.43,-
7,Inventory,-,47.12,51.14,41.31,40.86,40.85,35.48,39.03,39.72,40.77,49.58,52.62,55.44,74.3,54.17,46.54,35.73,-,37.88,-
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.26,-,0.19,-
9,Other Current Assets,-,21.34,1.6,14.94,0.39,10.48,1.03,14.05,0.38,0.6,0.55,4.88,0.73,1.32,2.12,2.97,0.82,-,2.41,-
10,Total Current Assets,-,391.42,423.71,420.85,440.62,456.21,439.43,480.47,537.01,492,500.85,504.1,537.93,635.41,585.27,340.52,329.41,-,297.89,-
11,"Property, Plant & Equipment",-,615.88,596.35,591.33,510.45,507.37,497.93,481.63,469.88,307.86,297.46,246.71,236.61,233.58,240.46,226.29,230,-,217.88,-
12,Long-Term Investments,-,25.94,25.46,24.66,24.66,24.66,24.66,24.66,-,-,-,-,-,-,-,-,-,-,-,-
13,Goodwill,-,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,-,1.88,-
14,Other Intangible Assets,-,22.44,22.58,22.71,22.84,22.98,23.19,23.39,23.6,23.8,23.95,24.24,24.55,24.96,24.7,25.12,5.25,-,5.77,-
15,Long-Term Deferred Tax Assets,-,18.24,18.23,16.92,10.92,8.71,8.28,4.15,7.2,3.11,3.14,2.95,3.24,3.33,3.39,2.93,2.93,-,2.42,-
16,Long-Term Deferred Charges,-,6.6,6.57,6.33,6.73,8.24,7.82,8.19,8.03,7.87,3.52,3.68,1.62,1.16,1.23,1.16,1.01,-,1.25,-
17,Other Long-Term Assets,-,17.72,4.12,3.41,18.86,18.39,1.72,2.01,1.44,1.97,6.49,54.14,44.87,0.85,0.37,0.79,10.78,-,0.69,-
18,Total Assets,-,1100,1099,1088,1037,1048,1005,1026,1049,838.49,837.29,837.7,850.69,901.16,857.28,598.69,581.26,-,527.78,-
19,Accounts Payable,-,173.31,172.28,160.13,209.08,225.2,209.38,234.09,259.19,109.85,130.43,138.83,160.01,211.81,182.81,150.86,160.65,-,128.44,-
20,Accrued Expenses,-,9.29,14.26,9.12,18.17,8.45,16.67,8.97,15.43,7.03,16.66,7.87,15.24,7.65,17.72,7.68,16.18,-,17.08,-
21,Short-Term Debt,-,28.52,41.53,41.53,41.53,41.5,20,11,11,-,-,-,5.6,6.8,8,14.8,6.8,-,19.09,-
22,Current Portion of Long-Term Debt,-,43.43,31.17,39.17,27.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,Current Portion of Leases,-,-,6.87,-,3.64,5.56,3.65,4.71,5.1,4.41,4.28,4.31,4.33,-,-,-,-,-,-,-
