,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,127.7,127.75,117.81,101.74,108.05,127.08,104.02,106.51,99.08,114.6,113.44,102.85,105.84,162.75,154.57,122.53,124.81,118.12,123.47,71.56
1,Other Revenue,-,-9.44,9.44,-,18.46,-7.53,7.53,-,14.69,-7.4,7.4,-,18.39,-9.54,9.54,-,9.59,-3.98,3.98,-
2,Revenue,127.7,118.31,127.25,101.74,126.5,119.56,111.55,106.51,113.77,107.2,120.84,102.85,124.23,153.21,164.1,122.53,134.4,114.13,127.45,71.56
3,Revenue Growth (YoY),0.95%,-1.04%,14.08%,-4.49%,11.19%,11.53%,-7.69%,3.56%,-8.42%,-30.03%,-26.37%,-16.06%,-7.57%,34.24%,28.76%,71.22%,-,-,-,-
4,Cost of Revenue,185.69,96.3,103.59,83.32,105.97,94.51,97.11,83.11,95.44,75.62,90.43,82.56,100.74,110.49,119.64,86.46,93.53,79.84,87.68,50.92
5,Gross Profit,-57.99,22.01,23.66,18.42,20.53,25.05,14.43,23.41,18.33,31.58,30.41,20.29,23.49,42.72,44.46,36.07,40.86,34.3,39.78,20.64
6,"Selling, General & Admin",-39.62,14.81,11.87,12.94,8.7,13.93,14.57,10.8,7.98,12.58,10.81,9.85,11.25,9.47,7.83,11.95,12.19,10.23,10.1,8.96
7,Research & Development,-24.77,7.19,9.25,8.32,9.62,8.08,7.54,7.26,6.87,7.05,8.14,7.55,7.67,10.26,11,8.16,8.13,7.78,7.35,5.13
8,Other Operating Expenses,5.48,-6.35,2.57,-1.7,6.28,-0.56,0.39,-2.96,9.44,-5.59,-1.39,0.54,4.37,-0.56,0.06,0.08,6.27,-2.17,-0.44,-0.71
9,Operating Expenses,-58.3,14.51,25.98,17.81,25.33,21.7,21.8,14.92,26.39,11.82,19.68,16.59,23.1,18.41,22.02,19.22,25.84,16.8,19.97,13.55
10,Operating Income,0.3,7.51,-2.32,0.61,-4.8,3.36,-7.36,8.49,-8.06,19.76,10.73,3.7,0.4,24.31,22.44,16.85,15.02,17.5,19.81,7.09
11,Interest Expense,-1.52,-0.15,-1.63,-1.08,-0.68,-0.61,-0.32,-0.57,-0.52,-0,-0.26,-0.19,-0.2,-0.2,-,-0.66,-0.12,-0.1,-0.44,-0.18
12,Interest & Investment Income,2.87,0.04,0.64,0.84,0.87,0.97,0.87,2.32,1.51,1.18,1.03,1.05,1.62,1.59,0.52,0.01,0.03,0.03,0.03,0.01
13,Currency Exchange Gain (Loss),-,-1.53,1.53,-,3.56,-5.07,5.07,-,8.04,-4.81,4.81,-,-1.23,0.2,-0.2,-,-2.25,-0.37,0.37,-
14,Other Non Operating Income (Expenses),1.01,-2.08,0.24,0.38,-5.13,4.93,1.47,-1.7,-11.23,10.9,0.18,-0.4,0.15,-0.38,-0.69,0.73,-0.06,-0.4,-0.76,0.46
15,EBT Excluding Unusual Items,2.66,3.78,-1.54,0.75,-6.18,3.58,-0.27,8.55,-10.25,27.03,16.49,4.17,0.73,25.52,22.07,16.93,12.62,16.66,19,7.39
16,Gain (Loss) on Sale of Investments,0.14,-,-,-0.14,0.14,-,-,-0.28,0.12,0.03,0.04,0.04,-0.23,-0.02,0.3,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.07,-0.04,-0.03,-0,-0.02,-0.02,-0.03,0.01,-0.01,0.09,0.01,0.05,-0.06,0,-0,-,-0,0,-0,0
18,Asset Writedown,2.82,-2.82,1.89,-1.89,2.22,-2.22,1.5,-1.5,1.07,-1.07,0.87,-0.87,2.48,-2.48,1.22,-1.22,2.41,-2.41,0.64,-0.64
19,Other Unusual Items,-0.17,-3.85,4,0.01,5.3,-0.24,0.24,-,12.15,-1.2,1.2,-,4.17,0.1,-0.1,-,7.32,0.36,-0.36,-
20,Pretax Income,5.53,-2.93,4.32,-1.27,1.47,1.1,1.43,6.79,3.06,24.88,18.6,3.39,7.09,23.12,23.5,15.7,22.34,14.62,19.28,6.75
21,Income Tax Expense,8.85,-0.37,-0.92,-0.01,-1.56,-0.48,-1.19,0.54,-0.83,2.65,1.31,0.29,0.09,1.99,1.83,1.41,2.57,1.35,2.11,0.46
22,Net Income,-3.32,-2.56,5.24,-1.26,3.02,1.58,2.62,6.25,3.89,22.24,17.28,3.1,6.99,21.13,21.67,14.29,19.77,13.27,17.16,6.29
23,Net Income to Common,-3.32,-2.56,5.24,-1.26,3.02,1.58,2.62,6.25,3.89,22.24,17.28,3.1,6.99,21.13,21.67,14.29,19.77,13.27,17.16,6.29
24,Net Income Growth,-,-,100.28%,-,-22.24%,-92.90%,-84.86%,101.45%,-44.37%,5.27%,-20.23%,-78.29%,-64.63%,59.21%,26.23%,127.28%,-,-,-,-
25,Shares Outstanding (Basic),331,161,139,126,147,138,128,125,132,128,117,155,136,132,123,102,106,94,99,105
26,Shares Outstanding (Diluted),331,161,139,126,147,138,128,125,132,128,117,155,136,132,123,102,106,94,99,105
27,Shares Change (YoY),124.88%,16.48%,8.69%,0.76%,11.45%,8.27%,9.97%,-19.42%,-3.04%,-3.21%,-4.86%,51.95%,28.70%,40.75%,23.73%,-2.59%,-,-,-,-
28,EPS (Basic),-0.01,-0.02,0.04,-0.01,0.02,0.01,0.02,0.05,0.03,0.17,0.15,0.02,0.05,0.16,0.18,0.14,0.19,0.14,0.17,0.06
29,EPS (Diluted),-0.01,-0.02,0.04,-0.01,0.02,0.01,0.02,0.05,0.03,0.17,0.15,0.02,0.05,0.16,0.18,0.14,0.19,0.14,0.17,0.06
30,EPS Growth,-,-,84.27%,-,-30.23%,-93.44%,-86.23%,150.00%,-42.63%,8.76%,-16.16%,-85.71%,-72.52%,13.12%,2.02%,133.33%,-,-,-,-
31,Free Cash Flow,-,-33.55,8.45,-9.51,-36.02,-34.19,-38.49,-32.95,-10.43,13.9,10.07,-4.32,-26.35,27.98,27.18,-15.26,14.09,1.71,13.42,17.12
32,Free Cash Flow Per Share,-,-0.21,0.06,-0.08,-0.24,-0.25,-0.30,-0.26,-0.08,0.11,0.09,-0.03,-0.19,0.21,0.22,-0.15,0.13,0.02,0.14,0.16
33,Dividend Per Share,-,-,-,-,0.075,-,-,-,0.075,-,-,-,0.075,-,-,-,-,-,-,-
34,Gross Margin,-45.42%,18.61%,18.59%,18.10%,16.23%,20.95%,12.94%,21.98%,16.11%,29.46%,25.16%,19.73%,18.91%,27.88%,27.10%,29.44%,30.41%,30.05%,31.21%,28.85%
35,Operating Margin,0.24%,6.34%,-1.82%,0.59%,-3.79%,2.81%,-6.60%,7.97%,-7.08%,18.43%,8.88%,3.60%,0.32%,15.87%,13.67%,13.75%,11.18%,15.33%,15.54%,9.91%
36,Profit Margin,-2.60%,-2.16%,4.12%,-1.24%,2.39%,1.32%,2.35%,5.87%,3.42%,20.75%,14.30%,3.02%,5.63%,13.79%,13.20%,11.66%,14.71%,11.63%,13.47%,8.79%
37,Free Cash Flow Margin,-,-28.36%,6.64%,-9.35%,-28.47%,-28.60%,-34.51%,-30.94%,-9.17%,12.97%,8.33%,-4.20%,-21.21%,18.26%,16.56%,-12.45%,10.48%,1.50%,10.53%,23.93%
38,EBITDA,10.61,17.81,7.88,10.91,5.51,10.95,2.7,16.09,-0.46,26.28,17.17,10.22,6.92,30.05,29.85,22.59,20.77,22.94,25.55,12.52
39,EBITDA Margin,8.31%,15.05%,6.19%,10.72%,4.35%,9.16%,2.42%,15.10%,-0.41%,24.52%,14.21%,9.94%,5.57%,19.62%,18.19%,18.44%,15.45%,20.10%,20.05%,17.50%
40,D&A For EBITDA,10.3,10.3,10.2,10.3,10.3,7.6,10.07,7.6,7.6,6.53,6.44,6.53,6.53,5.75,7.41,5.75,5.75,5.44,5.74,5.44
41,EBIT,0.3,7.51,-2.32,0.61,-4.8,3.36,-7.36,8.49,-8.06,19.76,10.73,3.7,0.4,24.31,22.44,16.85,15.02,17.5,19.81,7.09
42,EBIT Margin,0.24%,6.34%,-1.82%,0.59%,-3.79%,2.81%,-6.60%,7.97%,-7.08%,18.43%,8.88%,3.60%,0.32%,15.87%,13.67%,13.75%,11.18%,15.33%,15.54%,9.91%
43,Effective Tax Rate,159.94%,-,-,-,-,-,-,7.91%,-,10.63%,7.06%,8.57%,1.30%,8.63%,7.79%,8.99%,11.52%,9.22%,10.97%,6.80%
44,Revenue as Reported,-,118.31,127.25,101.74,126.5,119.56,111.55,106.51,113.77,107.2,120.84,102.85,124.23,153.21,164.1,122.53,134.4,114.13,199.01,-
