,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,513.64,426.02,581.46,669.4,814.49,155.17,-
1,Short-Term Investments,8.95,8.78,-,8.81,-,59.07,-
2,Trading Asset Securities,63.63,63.63,-,-,-,-,-
3,Cash & Short-Term Investments,586.22,498.43,581.46,678.2,814.49,214.24,-
4,Cash Growth,0.82%,-26.51%,-28.61%,216.57%,-,-,-
5,Accounts Receivable,26.66,37.8,-,3.04,-,-,-
6,Other Receivables,15.16,17.37,123.66,22.3,100.4,0.07,-
7,Receivables,41.82,55.17,123.66,25.34,100.4,0.07,-
8,Inventory,22.28,29.41,24.67,24.06,27.55,24.18,-
9,Prepaid Expenses,88.74,89.36,-,81.62,-,73.34,-
10,Other Current Assets,5.03,4.78,-,3.58,-,2.3,-
11,Total Current Assets,744.08,677.15,729.8,812.8,942.44,314.13,-
12,"Property, Plant & Equipment",1078,1087,1067,1039,1010,978.44,-
13,Long-Term Investments,122.65,126.69,100.89,122.39,126.33,137.97,-
14,Goodwill,52.64,52.64,52.64,52.64,52.64,52.64,-
15,Other Intangible Assets,361.97,381.59,384.81,398.18,407.84,422.45,-
16,Long-Term Deferred Charges,18.3,-,2.55,-,-,-,-
17,Other Long-Term Assets,63.68,59.01,61.67,104.1,103.97,176.43,-
18,Total Assets,2441,2384,2400,2529,2643,2082,-
19,Accounts Payable,228.05,207.61,176.14,166.13,188.87,158.82,-
20,Accrued Expenses,-,32.88,-,32.51,-,23.96,-
21,Short-Term Debt,449.34,393.98,434.05,329.63,142.17,40.41,-
22,Current Portion of Long-Term Debt,50.27,40.32,35.32,30.36,25,20,-
23,Current Portion of Leases,26.47,28.34,24.45,37.17,22.19,22.91,-
24,Current Income Taxes Payable,-,1,-,1.51,-,1.94,-
25,Current Unearned Revenue,-,-,-,-,-,4,-
26,Other Current Liabilities,231.68,195.43,215.09,246.49,295.13,277.02,-
27,Total Current Liabilities,985.81,899.56,885.05,843.79,673.36,549.06,-
28,Long-Term Debt,230,260,280,290.06,255.26,232.47,-
29,Long-Term Leases,18.8,24.18,1.69,3.09,9.72,19.48,-
30,Long-Term Unearned Revenue,12,12,12,12,12,12,-
31,Long-Term Deferred Tax Liabilities,37.69,37.69,37.69,37.69,37.69,37.69,-
32,Other Long-Term Liabilities,254.7,262.17,421.11,441.79,442.68,384.29,-
33,Total Liabilities,1539,1496,1638,1628,1431,1235,-
34,Common Stock,1711,1659,1659,1659,1659,1532,-
35,Additional Paid-In Capital,-,2420,-,2420,-,1842,-
36,Retained Earnings,-2546,-2354,-2473,-2331,-1987,-1642,-
37,Comprehensive Income & Other,1750,-828.8,1576,-847.04,1533,-894.2,-
38,Total Common Equity,914.75,896.91,762.23,900.76,1206,836.71,-
39,Minority Interest,-12.74,-8.21,-,-,6.29,10.37,-
40,Shareholders' Equity,902.01,888.7,762.23,900.76,1212,847.08,-
41,Total Liabilities & Equity,2441,2384,2400,2529,2643,2082,-
42,Total Debt,774.88,746.82,775.51,690.3,454.34,335.26,-
43,Net Cash (Debt),-188.67,-248.4,-194.04,-12.1,360.14,-121.03,-
44,Net Cash Per Share,-0.11,-0.15,-0.12,-0.01,0.22,-0.08,-
45,Filing Date Shares Outstanding,1711,1659,1659,1659,1659,1659,1509
46,Total Common Shares Outstanding,1711,1659,1659,1659,1659,1532,1509
47,Working Capital,-241.73,-222.42,-155.25,-30.99,269.08,-234.93,-
48,Book Value Per Share,0.53,0.54,0.46,0.54,0.73,0.55,-
49,Tangible Book Value,500.15,462.68,324.79,449.95,745.49,361.62,-
50,Tangible Book Value Per Share,0.29,0.28,0.20,0.27,0.45,0.24,-
51,Buildings,660.23,45.55,45.55,45.55,-,-,-
52,Machinery,371.76,365.38,354.83,246.16,202.29,195.06,-
53,Construction In Progress,19.96,628.15,618.16,661.64,695,633.35,-
54,Leasehold Improvements,114.78,106.03,106.03,105.71,102.42,102.42,-
