,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,5713,6056,6986,9061,12197,11483,-,-
1,Market Cap Growth,-33.17%,-33.17%,-42.72%,-21.10%,-,-,-,-
2,Enterprise Value,5902,6320,7196,9074,11782,11645,-,-
3,Last Close Price,3.34,3.54,4.21,5.46,7.35,6.92,-,-
4,PE Ratio,-,-,-287.00,-,-,-,-,-
5,PS Ratio,25.23,27.48,28.14,49.58,692.84,-,-,-
6,PB Ratio,5.81,6.25,7.14,11.00,11.98,8.09,-,-
7,P/TBV Ratio,11.27,11.27,13.71,25.82,23.98,13.15,-,-
8,EV/Sales Ratio,26.79,28.68,28.99,49.65,669.30,-,-,-
9,Debt / Equity Ratio,0.86,0.86,0.84,1.02,0.77,0.37,0.40,-
10,Earnings Yield,-1.37%,-1.29%,-0.35%,-5.80%,-6.39%,-8.60%,-,-
11,FCF Yield,-5.88%,-5.55%,-4.40%,-5.13%,-5.48%,-6.44%,-,-
12,Buyback Yield / Dilution,-0.31%,-0.64%,0.02%,-2.32%,-8.35%,-7.49%,-,-
13,Total Shareholder Return,-0.31%,-0.64%,0.02%,-2.32%,-8.35%,-7.49%,-,-
