,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,133.28,71.8,153.55,15.57,-,-,-
1,Revenue Growth (YoY),-13.20%,361.08%,-,-,-,-,-
2,Cost of Revenue,21.04,22.52,5.76,2.01,-,-,-
3,Gross Profit,112.24,49.28,147.8,13.57,-,-,-
4,"Selling, General & Admin",74.63,77.03,52.93,55.85,84.73,78.48,77.76
5,Research & Development,216.61,226.2,231.87,293.58,230.71,378.54,412.67
6,Other Operating Expenses,4.9,0.89,-1.27,-4.1,-4.75,-4.54,0.77
7,Operating Expenses,296.14,304.12,283.53,345.33,310.69,452.48,491.19
8,Operating Income,-183.9,-254.84,-135.73,-331.77,-310.69,-452.48,-491.19
9,Interest Expense,-7.83,-7.39,-7.29,-5.17,-2.3,-1.51,-1.18
10,Interest & Investment Income,2.14,3.17,5.01,6.41,1.94,2.48,6.62
11,Earnings From Equity Investments,-7.04,-5.84,-21.5,-20.59,-11.64,-16.44,-1.25
12,Currency Exchange Gain (Loss),0.43,-0.31,0.52,2.77,34.98,-1.23,-1.18
13,Other Non Operating Income (Expenses),-0.76,156.55,17.09,-2.73,-61.26,-76.61,-0.25
14,EBT Excluding Unusual Items,-196.96,-108.66,-141.9,-351.07,-348.98,-545.8,-488.44
15,Gain (Loss) on Sale of Investments,-,220.26,-,-,-,39.65,-34.28
16,Gain (Loss) on Sale of Assets,-0.01,-,-,-,0.61,-,-
17,Pretax Income,-196.97,111.6,-141.9,-351.07,-348.37,-506.15,-522.72
18,Earnings From Continuing Operations,-196.97,111.6,-141.9,-351.07,-348.37,-506.15,-522.72
19,Minority Interest in Earnings,4.54,8.21,-,6.3,4.09,7.1,10.77
20,Net Income,-192.43,119.81,-141.9,-344.77,-344.29,-499.04,-511.95
21,Net Income to Common,-192.43,119.81,-141.9,-344.77,-344.29,-499.04,-511.95
22,Shares Outstanding (Basic),1670,1659,1659,1660,1622,1532,1509
23,Shares Outstanding (Diluted),1670,1659,1659,1660,1622,1532,1509
24,Shares Change (YoY),0.64%,-0.02%,2.32%,8.35%,7.49%,-,-
25,EPS (Basic),-0.12,0.07,-0.09,-0.21,-0.21,-0.33,-0.34
26,EPS (Diluted),-0.12,0.07,-0.09,-0.21,-0.21,-0.33,-0.34
27,Free Cash Flow,-127.29,-185.42,-93.42,-337,-254.38,-377.32,-457.81
28,Free Cash Flow Per Share,-0.08,-0.11,-0.06,-0.20,-0.16,-0.25,-0.30
29,Operating Margin,-137.98%,-354.93%,-88.39%,-2130.52%,-,-,-
30,Profit Margin,-144.38%,166.87%,-92.41%,-2214.01%,-,-,-
31,Free Cash Flow Margin,-95.50%,-258.25%,-60.84%,-2164.13%,-,-,-
32,EBITDA,-145.34,-212.81,-84.19,-299.26,-265.37,-422.81,-443.69
33,D&A For EBITDA,38.56,42.03,51.54,32.5,45.32,29.68,47.51
34,EBIT,-183.9,-254.84,-135.73,-331.77,-310.69,-452.48,-491.19
