,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+16 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+16 Quarters
0,Cash & Equivalents,12386,7725,2254,9538,192.34,-,9659,5782,8975,8975,6664,1956,2217,2217,1242,-,706.43,828.26,-,10569,Upgrade
1,Short-Term Investments,-,-,-,-,2543,-,3213,1696,1610,1610,-,-,-,-,-,-,-,-,-,25500,Upgrade
2,Trading Asset Securities,417.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,12804,7725,2254,9538,2735,-,12872,7478,10585,10585,6664,1956,2217,2217,1242,-,706.43,828.26,36069,36069,Upgrade
4,Cash Growth,368.09%,-,-82.49%,27.54%,-74.16%,-,93.16%,282.35%,377.42%,377.42%,436.41%,-,213.86%,167.69%,-96.56%,-,-98.03%,-97.29%,64.46%,-,Upgrade
5,Accounts Receivable,12120,13640,11823,11729,11489,-,8215,10390,5467,5467,-,-,-,-,1544,-,22018,29659,-,29852,Upgrade
6,Other Receivables,12088,45117,39839,44908,48507,-,51662,37003,46733,46733,69443,50237,61964,61964,59212,-,12580,39207,-,4191,Upgrade
7,Receivables,37708,58757,51662,56637,59996,-,59877,47393,52200,52200,69443,50237,61964,61964,60756,-,34597,68866,-,34043,Upgrade
8,Inventory,3983,6630,4693,4003,4489,-,6763,16077,11583,11583,-,-,-,-,-,-,7147,7262,-,7262,Upgrade
9,Prepaid Expenses,-,-,-,-,91,-,9.65,0.33,2.1,2.1,5.63,-,-,-,-,-,-,7.66,-,-,Upgrade
10,Other Current Assets,17881,343.45,12870,2348,6158,-,560.25,1506,1210,1210,48.99,29982,18862,18862,20440,-,14904,5.94,-,-,Upgrade
11,Total Current Assets,72376,73455,71478,72526,73470,-,80082,72455,75581,75581,76161,82175,83043,83043,82439,-,57355,76970,-,77374,Upgrade
12,"Property, Plant & Equipment",-,-,-,-,-,-,-,-,-,-,179.09,220.42,261.74,261.74,412.02,-,705.43,871.01,-,1254,Upgrade
13,Long-Term Investments,5900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38600,24000,-,23808,Upgrade
14,Other Long-Term Assets,28.19,5039,5084,5095,5105,-,5075,11075,5182,5182,6182,114.32,9.17,9.17,514.62,-,1112,1357,-,3371,Upgrade
15,Total Assets,78304,78494,76563,77621,78575,-,85157,83530,80763,80763,82522,82510,83313,83313,83366,-,97772,103197,-,105806,Upgrade
16,Accounts Payable,-,641.82,129.9,433.1,363.4,-,4850,5414,4772,4772,3922,3717,3717,3717,3717,-,13992,19439,-,-,Upgrade
