,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+16 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+16 Quarters
0,Revenue,8112,15574,4837,7138,22479,10502,14873,26828,36876,21031,1903,-,-,-,21207,-,5033,-,-,7024,Upgrade
1,Revenue Growth (YoY),-63.91%,48.29%,-67.48%,-73.39%,-39.04%,-50.07%,681.36%,-,-,-,-91.02%,-,-,-,-,-,20.34%,-,-,-38.69%,Upgrade
2,Cost of Revenue,7820,15026,4668,6812,21631,10517,14706,26204,35581,20283,1850,-,-,-,20039,-,5016,-,-,6853,Upgrade
3,Gross Profit,292.03,547.83,168.49,325.38,848.16,-15.04,166.99,624.17,1295,748.15,53.92,-,-,-,1168,-,16.42,-,-,170.95,Upgrade
4,"Selling, General & Admin",2.71,-1106,498.64,443.93,448.19,234.36,192.69,475.53,23.47,182.61,595.13,247.58,443.85,468.17,458.81,326.7,127.38,683.4,471.05,760.56,Upgrade
5,Operating Expenses,2.71,-1106,498.64,443.93,448.19,234.36,192.69,475.53,23.47,182.61,595.13,247.58,443.85,468.17,458.81,326.7,127.38,683.4,471.05,760.56,Upgrade
6,Operating Income,289.32,1654,-330.15,-118.55,399.97,-249.39,-25.7,148.64,1271,565.55,-541.21,-247.58,-443.85,-468.17,708.79,-326.7,-110.95,-683.4,-471.05,-589.61,Upgrade
7,Interest Expense,-,-,-,-129.89,-24.82,-30.92,-,-,-,-,-,-,-,-,-,-,-,-,-500,-,Upgrade
8,Interest & Investment Income,841.12,241.14,424.29,525.6,480.02,582.88,402.13,365.33,627.37,499.56,283.83,276.58,349.51,349.51,453.2,494.08,374.22,370.1,270,680.47,Upgrade
9,Other Non Operating Income (Expenses),-12.38,-28.5,-14.44,64.48,-553.56,-131.76,404.01,149.91,-5134,-2553,77.53,-,-,91.09,-88.59,-121.68,-249.92,-252.97,-,-,Upgrade
10,Pretax Income,1118,1867,79.69,341.64,301.6,170.8,780.43,663.88,-3236,-1488,-179.86,29,-94.34,-27.57,1073,45.69,13.35,-566.27,-701.05,90.86,Upgrade
11,Income Tax Expense,225.46,100.49,18.81,68.33,129.78,419.2,-,-,-,-,-6,6,-85.88,-40.19,232.4,41.48,-,-,-,18.17,Upgrade
12,Earnings From Continuing Operations,892.61,1766,60.87,273.31,171.82,-248.41,780.43,663.88,-3236,-1488,-173.85,23,-8.47,12.62,841,4.22,13.35,-566.27,-701.05,72.69,Upgrade
13,Minority Interest in Earnings,-,-,-,-,-,-,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Net Income,892.61,1766,60.87,273.31,171.82,-248.41,780.83,663.88,-3236,-1488,-173.85,23,-8.47,12.62,841,4.22,13.35,-566.27,-701.05,72.69,Upgrade
15,Net Income to Common,892.61,1766,60.87,273.31,171.82,-248.41,780.83,663.88,-3236,-1488,-173.85,23,-8.47,12.62,841,4.22,13.35,-566.27,-701.05,72.69,Upgrade
