,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+20 Quarters
0,Cash & Equivalents,16758,12941,7446,6363,5512,-,4766,-,9158,-,8255,2588,4523,8377,7297,11361,-,10268,22019,-,Upgrade
1,Short-Term Investments,-,7000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,192,-,-,Upgrade
2,Cash & Short-Term Investments,16758,19941,7446,6363,5512,4766,4766,-,9158,-,8255,2588,4523,8377,7297,11361,10460,10460,22019,13641,Upgrade
3,Cash Growth,204.01%,318.43%,56.24%,-,-39.81%,-,-42.27%,-,102.47%,-,13.13%,-77.22%,-56.76%,-19.91%,-66.86%,-16.71%,-23.32%,107.24%,-,-,Upgrade
4,Accounts Receivable,8294,13480,11088,12471,10519,-,4818,-,5659,-,2484,5774,5896,5999,7202,15380,-,12787,10123,-,Upgrade
5,Other Receivables,1022,1286,2801,3318,3520,-,4088,-,4454,-,4550,3054,2366,2181,2612,2922,-,338.87,2025,-,Upgrade
6,Receivables,9316,14766,13890,15789,14039,-,8905,-,10114,-,7034,8828,8262,8180,9815,18301,-,13126,12148,-,Upgrade
7,Inventory,5029,5017,5474,5373,5149,-,4882,-,4607,-,4104,4384,4429,4793,5441,5846,-,7570,7263,-,Upgrade
8,Prepaid Expenses,3042,2869,3177,2488,2496,-,1118,-,2486,-,710.89,1357,2731,3486,2201,3086,-,2243,4033,-,Upgrade
9,Other Current Assets,244.41,29,89.13,176.01,68.04,-,419.34,-,318.12,-,51.85,123.17,103.1,64.27,105.52,66.49,-,2536,781.31,-,Upgrade
10,Total Current Assets,34389,42622,30076,30189,27264,-,20091,-,26682,-,20156,17281,20048,24901,24860,38662,-,35934,46245,-,Upgrade
11,"Property, Plant & Equipment",33931,33268,37183,38523,39218,-,43813,-,48906,-,54085,59769,62693,66529,74585,78652,-,85026,89311,-,Upgrade
12,Other Intangible Assets,548.87,558.2,586.2,528.27,538.39,-,563.81,-,506.84,-,520.46,527.27,534.08,540.89,554.5,561.31,-,574.93,581.74,-,Upgrade
13,Other Long-Term Assets,3040,2946,3494,3799,3786,-,3339,-,1805,-,1000,1157,1524,1764,2813,3184,-,3647,2500,-,Upgrade
14,Total Assets,71910,79395,71338,73040,70807,-,67807,-,77899,-,75762,78733,84799,93735,102812,121059,-,125181,138638,-,Upgrade
15,Accounts Payable,9579,9113,9739,10240,9827,-,9820,-,7973,-,6255,10658,10079,8936,13001,15081,-,14239,14608,-,Upgrade
16,Accrued Expenses,3908,11392,6226,5659,2976,-,1204,-,4786,-,3746,3127,3751,6944,6190,7385,-,10795,11433,-,Upgrade
17,Short-Term Debt,318,477,8494,9348,14574,-,13223,-,13720,-,9945,7546,9806,12766,8364,10922,-,7096,2598,-,Upgrade
18,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8148,-,-,Upgrade
19,Current Income Taxes Payable,538.07,615.23,571.05,427.34,612.12,-,439.82,-,304.17,-,993.06,-,12.76,419.05,237.43,1130,-,833.29,2370,-,Upgrade
20,Current Unearned Revenue,4936,6659,2751,4868,3424,-,3003,-,7025,-,3149,3776,4126,4381,3529,3716,-,3093,3224,-,Upgrade
21,Other Current Liabilities,11622,12148,7394,8101,6813,-,8798,-,12888,-,17579,16803,13821,13307,16124,21680,-,10022,16716,-,Upgrade
22,Total Current Liabilities,30900,40405,35176,38644,38226,-,36488,-,46696,-,41666,41911,41596,46754,47445,59913,-,54227,50947,-,Upgrade
23,Long-Term Debt,2968,953.99,1908,-,-,-,-,-,2851,-,2804,5269,5269,5281,10076,10081,-,10068,18219,-,Upgrade
24,Other Long-Term Liabilities,3640,3640,3640,3640,3640,-,3640,-,3640,-,3640,3640,3640,3640,3640,3640,-,3640,3640,-,Upgrade
25,Total Liabilities,37509,44999,40724,42284,41866,-,40128,-,53187,-,48111,50820,50505,55675,61161,73635,-,67934,72806,-,Upgrade
