,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+20 Quarters
0,Revenue,36798,47980,38075,43112,34682,32554,29946,33378,25001,20778,-,4839,12207,19279,15665,13436,43508,59642,66563,60879,Upgrade
1,Revenue Growth (YoY),6.10%,47.38%,27.14%,29.16%,38.72%,56.68%,-,589.78%,104.81%,7.78%,-,-63.98%,-71.94%,-67.68%,-76.47%,-77.93%,-29.33%,8.71%,3.71%,5.67%,Upgrade
2,Cost of Revenue,31702,39436,31950,34808,28353,27131,24929,29040,21014,17948,-,9219,13270,18391,17863,16327,38333,49314,53862,49492,Upgrade
3,Gross Profit,5097,8544,6125,8304,6329,5423,5017,4338,3987,2830,-,-4380,-1063,887.35,-2198,-2891,5175,10328,12700,11387,Upgrade
4,"Selling, General & Admin",4804,6846,5600,5860,4529,4267,3049,3054,3274,3117,-,1875,2178,3044,2330,2477,5512,6365,6314,6715,Upgrade
5,Operating Expenses,4804,6846,5600,5860,4529,4267,3049,3054,3274,3117,-,1875,2178,3044,2330,2477,5512,6365,6314,6715,Upgrade
6,Operating Income,292.78,1699,524.39,2443,1800,1156,1968,1284,712.98,-287.34,-,-6255,-3241,-2157,-4528,-5368,-337.42,3963,6386,4672,Upgrade
7,Interest Expense,-52.35,-72.59,-209.26,-270.22,-335.9,-316.1,-274.25,-287.58,-238.83,-255.39,-,-185.57,-299.06,-277.42,-401.23,-454.56,-538.55,-537.31,-528.08,-995.5,Upgrade
8,Interest & Investment Income,84.2,12.23,42.13,17.64,3.95,2.36,7.68,3.13,2.34,2.02,-,1.18,19.88,1.54,4.22,13.64,3.69,-,7.7,50.07,Upgrade
