,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,516.76,799.29,873.66,1108,584.42,547.01,704.86,713.12,481.54,323.76,-,222.44,-,-,-,92.67,92.67,92.95,92.95
1,Trading Asset Securities,70,73,125,125,120,100,90,50,368.46,478,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,586.76,872.29,998.66,1233,704.42,647.01,794.86,763.12,850,801.76,222.44,222.44,-,-,92.67,92.67,92.67,92.95,92.95
3,Cash Growth,-16.70%,34.82%,25.64%,61.54%,-17.13%,-19.30%,257.34%,243.07%,-,-,140.04%,140.04%,-,-,-0.31%,-,-,-,-
4,Accounts Receivable,1043,973.27,513.63,512.84,430.17,421.76,368.4,420.39,554.83,728.65,-,488.05,-,-,-,225.63,225.63,207.95,207.95
5,Other Receivables,61.99,48.04,39.83,29.67,184.69,210.08,73.21,30.49,22.39,18.22,-,14.32,-,-,-,12.99,12.99,13.98,13.98
6,Receivables,1105,1021,553.46,542.52,614.86,631.83,441.61,450.88,577.22,746.87,-,502.37,-,-,-,238.62,238.62,221.93,221.93
7,Inventory,153.86,191.28,220.72,179.02,26.95,17.42,20.42,5.01,7.59,3.86,-,10.85,-,-,-,2.11,2.11,2.08,2.08
8,Other Current Assets,610.46,801.39,1136,433.73,652.56,139.96,84.28,78.33,24.83,5.19,-,17.82,-,-,-,18.23,18.23,14.14,14.14
9,Total Current Assets,2456,2886,2909,2388,1999,1436,1341,1297,1460,1558,-,753.47,-,-,-,351.63,351.63,331.1,331.1
10,"Property, Plant & Equipment",642.87,623.87,594.69,591.21,562.16,482.77,413.16,359.61,241.51,229.86,-,213.24,-,-,-,197.53,197.53,175.32,175.32
11,Long-Term Investments,149.5,181.26,179.56,173.3,171.78,166.72,48.6,44.98,5.76,3.94,-,3.36,-,-,-,2.3,2.3,2.03,2.03
12,Goodwill,224.22,224.22,224.22,224.22,207.64,207.84,186.48,155.44,139.68,139.81,-,140.07,-,-,-,140.62,140.62,140.94,140.94
13,Other Intangible Assets,388.67,391.55,395.34,383.33,386.32,318.62,284.96,287.06,165.25,166.49,-,168.96,-,-,-,167.27,167.27,169.5,169.5
14,Long-Term Accounts Receivable,37.95,37.99,14.56,13.09,-,-,-,-,-,-,-,-,-,-,-,2.37,2.37,5.24,5.24
15,Long-Term Deferred Tax Assets,39.84,30.8,27.1,28.71,26.02,24.22,27.9,13.33,12.17,14.22,-,12.12,-,-,-,8.35,8.35,7.42,7.42
16,Long-Term Deferred Charges,3.55,3.83,4.21,4.6,2.56,2.69,3.03,1.9,2.93,1.56,-,1.35,-,-,-,0.85,0.85,1.07,1.07
17,Other Long-Term Assets,99.23,65.73,103.83,111.67,114.69,142.25,40.99,33.35,79.42,24.27,-,25.78,-,-,-,32.57,32.57,26.32,26.32
18,Total Assets,4042,4446,4452,3918,3470,2781,2346,2193,2106,2138,-,1318,-,-,-,903.48,903.48,858.94,858.94
19,Accounts Payable,591.9,1460,1583,1253,817.62,216.93,192.12,188.25,238.16,335.82,-,292.61,-,-,-,119.24,119.24,99.81,99.81
20,Accrued Expenses,28.77,36.01,18.47,39.69,27.43,28.05,21.9,42.22,43.03,48,-,27.95,-,-,-,17.13,17.13,11.79,11.79
21,Short-Term Debt,1049,433.51,400.8,342.53,555.33,479.2,174,105.08,76.3,93.51,-,176.02,-,-,-,151.29,151.29,168.35,168.35
22,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.42,1.42,2.43,2.43
23,Current Portion of Leases,7.94,8.42,7.31,8.5,9,7.32,9.17,4.48,4.15,4.54,-,3.84,-,-,-,-,-,-,-
24,Current Income Taxes Payable,31.5,22.26,28.96,15.68,23.24,27.26,9.57,24.22,39.54,35.37,-,20.34,-,-,-,6.54,6.54,10.04,10.04
25,Current Unearned Revenue,201.84,334.47,265.46,111.56,17.84,12.81,7.95,6.96,8.49,7.23,-,5.55,-,-,-,0.89,0.89,1.98,1.98
26,Other Current Liabilities,103.55,128.41,85.75,87.96,60.14,86.81,41.89,39.16,5.08,13.81,-,12.76,-,-,-,10.35,10.35,5.85,5.85
27,Total Current Liabilities,2015,2423,2390,1859,1511,858.38,456.61,410.38,414.75,538.27,-,539.07,-,-,-,306.86,306.86,300.25,300.25
28,Long-Term Debt,56.15,60.87,58.73,65.26,-,4,-,-,-,-,-,-,-,-,-,-,-,0.2,0.2
29,Long-Term Leases,51.91,52.07,55.01,56.2,57.92,57.56,60.38,12.7,15.33,13.94,-,8.93,-,-,-,-,-,-,-
30,Long-Term Deferred Tax Liabilities,56.99,57.13,62.67,59.35,53.95,44.79,45.98,28.84,14.72,14.87,-,15.16,-,-,-,15.78,15.78,16.13,16.13
31,Other Long-Term Liabilities,0.04,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
