,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2229,2205,2160,2603,3305,3896,3992,5270,5142,4946,5624,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-43.40%,-43.40%,-45.88%,-50.61%,-35.73%,-21.23%,-29.03%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2935,2021,1815,2633,3335,3908,3553,4581,4453,4307,5635,-,-,-,-,-,-,-,-,-
3,Last Close Price,21.90,21.17,20.74,24.15,30.66,36.15,37.03,48.54,47.37,45.56,51.52,-,-,-,-,-,-,-,-,-
4,PE Ratio,23.20,22.36,19.87,17.77,22.04,20.47,15.43,18.72,17.50,16.38,22.99,-,-,-,-,-,-,-,-,-
5,Forward PE,14.70,14.44,10.44,8.69,12.45,12.03,12.11,12.89,13.60,15.61,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,0.64,0.62,0.73,1.12,1.53,1.78,1.66,1.88,1.71,1.57,1.87,-,-,-,-,-,-,-,-,-
7,PB Ratio,1.28,1.18,1.17,1.38,1.76,2.11,2.20,2.96,2.95,2.98,3.58,-,-,-,-,-,-,-,-,-
8,P/TBV Ratio,1.97,1.97,1.96,2.30,2.88,3.41,3.38,4.40,4.32,3.83,4.63,-,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,15.41,-,22.67,-,-,25.01,24.99,18.63,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,8.87,-,8.03,-,-,19.55,19.39,15.31,-,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,0.82,0.57,0.61,1.13,1.55,1.79,1.48,1.64,1.48,1.37,1.88,-,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,13.52,9.42,8.60,11.58,14.09,13.73,10.16,11.89,11.19,10.54,15.95,-,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,21.47,12.62,11.17,14.43,16.89,15.56,11.19,12.84,12.01,11.25,17.19,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-7.14,-,12.95,-,22.87,-,-,21.74,21.64,16.22,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.63,0.63,0.30,0.28,0.25,0.34,0.30,0.14,0.07,0.06,0.07,0.25,0.25,-,-,0.26,0.26,0.26,0.32,0.32
16,Debt / EBITDA Ratio,5.37,4.44,2.03,2.26,3.04,2.50,1.63,0.91,0.37,0.19,0.24,0.59,0.52,-,-,0.76,1.00,1.00,1.39,1.39
17,Debt / FCF Ratio,-,-,3.96,-,3.24,-,-,1.16,0.59,0.36,-,1.48,1.55,-,-,8.32,-16.23,-6.33,-,-
18,Asset Turnover,1.07,1.06,0.64,0.62,0.70,0.85,0.88,1.12,1.43,-,-,-,-,-,-,1.13,1.16,1.03,-,
19,Inventory Turnover,35.67,23.71,20.82,11.73,19.40,81.62,96.54,129.50,314.72,429.10,-,-,-,-,-,-,396.84,400.10,348.16,-
20,Quick Ratio,0.84,0.84,0.78,0.65,0.96,0.87,1.49,2.71,2.96,3.44,2.88,-,1.34,-,-,-,1.08,1.08,1.05,1.05
21,Current Ratio,1.22,1.22,1.19,1.22,1.28,1.32,1.67,2.94,3.16,3.52,2.89,-,1.40,-,-,-,1.15,1.15,1.10,1.10
22,Return on Equity (ROE),6.52%,6.53%,7.64%,1.65%,8.31%,14.96%,8.95%,11.65%,27.66%,31.66%,28.06%,-,-,-,21.97%,13.25%,13.71%,12.97%,-,
