,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,1136,1176,670.65,562.88,547.06,542.08,496.68,596.25,758.74,944.58,708.09,733.75,610.75,397.87,397.87,254.68,254.68,219.7,219.7
1,Other Revenue,-2.37,2.37,-,6.05,-3.05,3.05,-,4.24,-2.27,2.27,-,4.33,-2.18,1.09,1.09,0.64,0.64,1.13,1.13
2,Revenue,1134,1178,670.65,568.93,544.01,545.12,496.68,600.49,756.47,946.86,708.09,738.08,608.57,398.96,398.96,255.32,255.32,220.83,220.83
3,Revenue Growth (YoY),108.46%,116.18%,35.03%,-5.26%,-28.09%,-42.43%,-29.86%,-18.64%,24.30%,137.33%,77.48%,189.08%,138.36%,80.67%,80.67%,-,-,-,-
4,Cost of Revenue,1023,1072,586.12,499.41,452.74,456.63,411.56,495.46,614.04,795.22,595.37,613.72,512,334.16,334.16,209.79,209.79,181.05,181.05
5,Gross Profit,111.15,106.1,84.52,69.51,91.27,88.49,85.12,105.03,142.43,151.64,112.72,124.35,96.57,64.8,64.8,45.53,45.53,39.77,39.77
6,"Selling, General & Admin",36.92,37.01,37.88,45.03,31.92,34.54,29.35,23.71,31.2,42.15,36.06,31.74,26.2,17.24,17.24,15.45,15.45,13.87,13.87
7,Research & Development,0.42,3.84,1.57,3,1.12,1.6,1.13,2.61,-,0.71,0.68,1.21,0.51,0.49,0.49,0.5,0.5,0.41,0.41
8,Other Operating Expenses,3.84,3.64,2.46,3.88,1.33,-20.41,0.5,18.49,-0.38,-12.95,0.41,8.01,-6.44,0.3,0.3,-3.41,-3.41,-0.05,-0.05
9,Operating Expenses,58.83,58.24,39.96,54.12,36.6,20.69,25.49,36,21.42,44.46,39.01,43.31,30.73,21.68,21.68,13,13,14.46,14.46
10,Operating Income,52.33,47.86,44.57,15.39,54.67,67.8,59.63,69.03,121.01,107.18,73.71,81.04,65.84,43.13,43.13,32.53,32.53,25.31,25.31
11,Interest Expense,-7.74,-6.08,-4.08,-5.19,-7.53,-3.39,-1.41,-1.06,-0.89,-1.55,-1.76,-2.13,-1.8,-1.84,-1.84,-1.91,-1.91,-2,-2
12,Interest & Investment Income,7.81,6.14,5.68,3.9,3.83,5.21,2.31,3.82,5.34,0.72,0.35,0.65,0.79,0.32,0.32,0.2,0.2,0.23,0.23
13,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-0.58,0.58,-,-,-0.46,0.23,0.23,-,-,-,-
14,Currency Exchange Gain (Loss),-7.45,7.45,-,10.19,-17.35,17.35,-,32.65,-16.48,16.48,-,-2.42,-0.11,0.06,0.06,-3.69,-3.69,0.5,0.5
15,Other Non Operating Income (Expenses),16.99,-17.18,0.75,-14.27,14.56,5.24,-6.4,-46.23,40.77,0.53,-0.97,-8.91,7.58,0.38,0.38,-0.23,-0.23,-0.11,-0.11
16,EBT Excluding Unusual Items,61.93,38.2,46.92,10.01,48.18,92.21,54.13,58.2,149.16,123.94,71.34,68.24,71.83,42.28,42.28,26.9,26.9,23.93,23.93
17,Impairment of Goodwill,-,-,-,-3.35,0.45,-0.45,-,-0.58,0.26,-0.26,-,-0.56,0.27,-0.14,-0.14,-0.16,-0.16,-0.16,-0.16
18,Gain (Loss) on Sale of Investments,-33.71,-,-,0.25,-,0.1,-0.1,-,-,-,-,-,-,-,-,0.12,0.12,-0.12,-0.12
19,Gain (Loss) on Sale of Assets,1.69,4.16,2.55,4.32,0.3,0.18,0.44,-0.15,-0.01,0.15,-,0.02,-0.01,0.09,0.09,-0.26,-0.26,-,-
20,Asset Writedown,-0.81,0.04,-0.04,0.71,-0.65,-0.27,0.27,0.24,-0.26,-,-,0.48,-0.48,-,-,-0.87,-0.87,-0,-0
21,Other Unusual Items,10.43,0.48,0.93,8.73,-,-,-,15.3,-,-,-,11.09,-,-,-,0.11,0.11,-0.09,-0.09
22,Pretax Income,39.52,42.88,50.36,20.67,48.28,91.76,54.74,73.01,149.15,123.83,71.34,79.27,71.62,42.23,42.23,25.85,25.85,23.56,23.56
23,Income Tax Expense,9.27,12.34,14.4,12.97,10.23,24.46,15.31,23.44,37.38,31.76,18.37,19.42,20.29,10.33,10.33,6.61,6.61,5.97,5.97
24,Earnings From Continuing Operations,30.25,30.54,35.96,7.7,38.05,67.3,39.43,49.57,111.77,92.06,52.97,59.85,51.33,31.91,31.91,19.24,19.24,17.59,17.59
25,Minority Interest in Earnings,-1.58,-3.27,-1.41,0.45,0.68,-2.27,-1.38,-1.04,-4.75,-4.1,-2.61,-3.25,-1.66,-1.27,-1.27,0.21,0.21,0.06,0.06
26,Net Income,28.67,27.27,34.55,8.15,38.73,65.03,38.05,48.53,107.02,87.96,50.36,56.61,49.67,30.63,30.63,19.46,19.46,17.64,17.64
