,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,15694205,14288754,10494036,13234665,11665245,10494036,10962519,11641821,12180577,11243610,10540884,11267034,12859878,11454427,10840650,9343076,7264353,7107890,6683205,6683205,6286164,Upgrade
1,Market Cap Growth,36.16%,36.16%,-4.27%,13.68%,-4.23%,-6.67%,4.00%,3.33%,-5.28%,-1.84%,-2.77%,20.59%,77.03%,61.15%,62.21%,39.80%,15.56%,-0.14%,-13.68%,-21.42%,-27.47%,Upgrade
2,Enterprise Value,15864762,15158705,11166548,13531581,11118369,10569057,10413598,11555731,11041975,11099596,10821225,10120898,12320208,10786351,9691515,8642046,6399039,6436848,6039043,6198690,6062367,Upgrade
3,PE Ratio,18.84,17.16,11.82,13.01,11.12,11.10,11.02,11.89,14.34,14.09,15.31,14.80,15.52,14.52,11.32,11.96,8.36,9.11,10.63,10.95,12.97,Upgrade
4,PS Ratio,1.77,1.62,1.24,1.58,1.42,1.32,1.37,1.51,1.61,1.54,1.56,1.77,2.14,1.99,1.85,1.63,1.27,1.27,1.20,1.19,1.02,Upgrade
5,PB Ratio,2.01,1.75,1.29,1.52,1.38,1.30,1.37,1.39,1.50,1.43,1.37,1.37,1.59,1.46,1.49,1.23,0.99,0.98,0.96,0.91,0.87,Upgrade
6,P/FCF Ratio,10.17,-,8.86,-,10.31,-,7.58,12.66,-14.76,-,26.60,-,18.39,37.60,-,-,29.84,-,-15.60,-,-,Upgrade
7,P/OCF Ratio,9.07,-,8.58,-,9.82,-,7.36,12.23,-15.20,-,26.61,-,18.03,35.98,-,-,23.03,-,-17.62,-,-,Upgrade
8,EV/Sales Ratio,1.79,1.71,1.31,1.61,1.36,1.33,1.30,1.49,1.46,1.52,1.61,1.59,2.05,1.87,1.66,1.51,1.12,1.15,1.08,1.10,0.99,Upgrade
9,EV/EBITDA Ratio,11.21,10.71,7.36,7.90,6.36,6.56,6.54,7.61,8.17,8.57,9.53,8.36,9.53,8.68,6.86,7.07,4.84,5.23,5.80,6.14,6.82,Upgrade
10,EV/EBIT Ratio,11.76,11.24,7.73,8.27,6.68,6.93,6.91,8.06,8.69,9.10,10.17,8.86,10.09,9.23,7.27,7.58,5.17,5.62,6.29,6.68,7.54,Upgrade
11,EV/FCF Ratio,10.28,-,9.43,-,9.83,-,7.20,12.56,-13.38,-,27.31,-,17.62,35.40,-,-,26.29,-,-14.10,-,-,Upgrade
12,Debt / Equity Ratio,0.02,0.02,0.14,0.11,0.10,-,0.09,0.10,0.08,0.00,0.05,0.09,0.06,0.03,0.03,0.03,0.03,-,-,-,-,Upgrade
13,Debt / EBITDA Ratio,0.14,0.21,1.14,0.57,0.43,-,0.41,0.46,0.40,0.02,0.26,0.65,0.35,0.35,0.12,0.16,0.21,-,-,-,-,Upgrade
14,Debt / FCF Ratio,0.13,-,0.96,-,0.78,-,0.50,0.89,-0.74,-,0.98,-,0.65,0.74,-,-,0.93,-,-,-,-,Upgrade
15,Quick Ratio,0.50,0.50,0.42,0.57,0.57,0.54,0.52,0.50,0.49,0.61,0.56,0.67,0.67,0.67,0.66,0.69,0.73,0.64,0.54,0.63,0.54,Upgrade
16,Current Ratio,1.12,1.12,1.01,1.18,1.17,1.15,1.10,1.11,1.11,1.24,1.18,1.27,1.27,1.29,1.22,1.26,1.30,1.21,1.13,1.20,1.16,Upgrade
17,Asset Turnover,0.29,0.27,0.27,0.30,0.29,0.29,0.28,0.28,0.32,0.28,0.27,0.26,0.25,0.24,0.24,0.25,0.28,0.23,0.24,0.23,Upgrade,
18,Return on Equity (ROE),2.89%,7.69%,13.43%,17.95%,5.75%,14.44%,15.78%,13.45%,8.72%,13.86%,9.85%,11.44%,3.13%,18.87%,14.60%,10.36%,13.30%,9.65%,19.75%,5.30%,Upgrade,
19,Return on Assets (ROA),1.68%,1.81%,3.19%,4.32%,2.85%,3.75%,3.80%,3.34%,2.86%,3.38%,2.49%,3.04%,1.48%,4.53%,3.61%,2.79%,3.36%,2.63%,4.75%,1.76%,Upgrade,
20,Return on Capital (ROIC),6.22%,6.20%,10.43%,14.31%,9.38%,11.88%,11.83%,10.75%,9.31%,10.40%,7.51%,9.23%,4.55%,14.11%,11.10%,8.57%,10.74%,8.40%,15.15%,5.59%,Upgrade,
21,Return on Capital Employed (ROCE),4.25%,4.25%,4.31%,5.24%,5.43%,5.66%,5.30%,5.05%,4.64%,4.67%,4.11%,4.31%,4.68%,4.81%,5.63%,4.74%,5.35%,5.14%,4.17%,4.09%,3.41%,Upgrade
22,Earnings Yield,5.31%,5.90%,8.56%,7.77%,9.10%,9.12%,9.23%,8.56%,7.18%,7.42%,6.83%,7.03%,6.73%,7.25%,9.29%,8.89%,12.52%,11.54%,9.94%,9.66%,8.33%,Upgrade
23,Earnings Yield,5.31%,5.90%,8.56%,7.77%,9.10%,9.12%,9.23%,8.56%,7.18%,7.42%,6.83%,7.03%,6.73%,7.25%,9.29%,8.89%,12.52%,11.54%,9.94%,9.66%,8.33%,Upgrade
24,FCF Yield,9.83%,10.80%,11.29%,0.76%,9.70%,9.75%,13.19%,7.90%,-6.77%,-4.87%,3.76%,-2.70%,5.44%,2.66%,-5.03%,3.04%,3.35%,0.65%,-6.41%,-6.33%,-6.20%,Upgrade
25,Dividend Yield,4.78%,-,-,-,-,7.61%,-,-,-,7.09%,-,-,-,8.21%,-,-,-,11.65%,-,-,-,Upgrade
26,Payout Ratio,92.53%,42.45%,490.19%,-,-,671.91%,0.93%,0.07%,3.65%,10.70%,288.39%,7.50%,-,1337.84%,3.84%,0.08%,9.35%,-,307.12%,1.10%,10.33%,Upgrade
27,Buyback Yield / Dilution,0.19%,0.01%,-1.25%,0.02%,-1.25%,3.12%,4.39%,-3.42%,4.86%,-4.02%,-9.56%,-5.70%,-93.50%,-0.50%,5.96%,3.45%,49.31%,6.73%,-2.81%,-3.87%,Upgrade,
28,Total Shareholder Return,4.78%,0.19%,0.01%,-1.25%,0.02%,6.36%,3.12%,4.39%,-3.42%,11.95%,-4.02%,-9.56%,-5.70%,-85.28%,-0.50%,5.96%,3.45%,60.96%,6.73%,-2.81%,-3.87%,Upgrade
