,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,2432,2480,2507,2546,2498,2480,2466,2499,2442,-,-,1268,-,934.61,934.61
1,Cash & Short-Term Investments,2432,2432,2480,2507,2546,2498,2480,2466,2499,2442,-,1268,1268,-,934.61,934.61
2,Cash Growth,-4.46%,-2.63%,-0.03%,1.66%,1.86%,2.28%,-,94.45%,97.08%,-,-,35.68%,-,-,-,-
3,Accounts Receivable,-,517.53,498.86,593.33,720.31,481.07,530.79,595,719.2,443.94,-,-,707.57,-,430.98,430.98
4,Other Receivables,-,14.81,12.6,15.62,9.24,10.5,10.76,10.63,10.99,14.39,-,-,12.23,-,23.93,23.93
5,Receivables,-,532.34,511.45,608.95,729.55,491.58,541.55,605.63,730.18,458.33,-,-,719.8,-,454.91,454.91
6,Inventory,-,463.72,416.2,405.11,368.12,399.21,357.78,325.89,286.92,315.34,-,-,296.32,-,256.07,256.07
7,Prepaid Expenses,-,-,-,-,-,-,-,-,0.01,-,-,-,-,-,-,-
8,Other Current Assets,-,19.88,27.8,16.07,13.33,35.28,25.53,25.16,18.43,23.95,-,-,24.81,-,14.87,14.87
9,Total Current Assets,-,3448,3435,3537,3657,3424,3405,3422,3535,3240,-,-,2309,-,1660,1660
10,"Property, Plant & Equipment",-,323.76,291.29,272.99,270.85,242.17,242.73,246.83,251.61,208.73,-,-,258.65,-,190.89,190.89
11,Long-Term Investments,-,61.02,60.87,42.68,40.6,24.76,23.64,22.6,22.36,21,-,-,18.98,-,17.08,17.08
12,Other Intangible Assets,-,59.34,48.21,48.45,48.8,48.58,48.95,49.33,49.73,47.01,-,-,51.03,-,19.43,19.43
13,Long-Term Deferred Tax Assets,-,7.51,7.81,8.46,9.02,8.18,8.38,8.64,8.8,7.11,-,-,8.25,-,6.47,6.47
14,Long-Term Deferred Charges,-,3.7,3.79,3.9,4.04,2.27,2.37,2.47,2.57,0.22,-,-,0.38,-,0.5,0.5
15,Other Long-Term Assets,-,25.3,13.03,29.34,23.22,-,0.01,-,-,40.81,-,-,-,-,-,-
16,Total Assets,-,3929,3860,3942,4053,3750,3731,3752,3870,3565,-,-,2646,-,1895,1895
17,Accounts Payable,-,270.19,252.54,273.59,364.53,229.09,250.09,239.26,300.74,192.47,-,-,353.37,-,205.35,205.35
18,Accrued Expenses,-,13.83,14.93,13.02,39.27,10.25,18.3,10.62,54.4,4.6,-,-,43.65,-,5.61,5.61
19,Current Portion of Leases,-,2.77,2.67,2.85,3.05,-,-,-,0.87,-,-,-,-,-,-,-
20,Current Income Taxes Payable,-,10.13,1.12,3.9,9.44,10.19,0.44,7.18,17.83,15.62,-,-,12.41,-,0.89,0.89
21,Current Unearned Revenue,-,111.76,109.69,140.95,134.24,89.6,81.97,77.81,74.78,76.37,-,-,62.56,-,55.69,55.69
22,Other Current Liabilities,-,41.35,29.15,28.8,26.28,21.05,19.12,20.42,22.01,13.2,-,-,43,-,23.56,23.56
23,Total Current Liabilities,-,450.04,410.1,463.11,576.82,360.17,369.91,355.29,470.63,302.26,-,-,514.99,-,291.1,291.1
24,Long-Term Leases,-,1.05,1.05,1.13,1.19,0.81,0.79,0.79,0.94,0.77,-,-,1.26,-,1.04,1.04
