,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,615.41,218.31,171.18,100.91,564.69,151.78,159.58,92.99,501.39,176.22,161.68,69.25,714.4,126.66,85.66,85.66
1,Other Revenue,-,-0.96,0.96,-,0.31,-0.18,0.18,-,0.38,-0.22,0.22,-,0.02,-0,0,0
2,Revenue,615.41,217.35,172.14,100.91,565,151.59,159.76,92.99,501.77,176,161.9,69.25,714.42,126.66,85.66,85.66
3,Revenue Growth (YoY),8.92%,43.38%,7.75%,8.52%,12.60%,-13.87%,-1.32%,34.27%,-29.77%,38.95%,89.00%,-19.16%,-,-,-,-
4,Cost of Revenue,-294.02,129.04,109.58,55.4,369.44,85.69,99.41,49.02,308.71,111.16,96.91,43.4,471.62,74.68,54.63,54.63
5,Gross Profit,909.44,88.31,62.56,45.51,195.57,65.9,60.35,43.97,193.05,64.84,64.99,25.85,242.8,51.97,31.03,31.03
6,"Selling, General & Admin",-130.66,47.03,43.09,40.54,65.79,41.85,42.56,37.4,54.71,42.58,36.79,40.44,79.86,42.4,29.73,29.73
7,Research & Development,-47.36,18.57,15.65,13.14,41.16,17.03,18.81,14.2,23.14,20.96,15.04,10.98,25.4,12.16,10.87,10.87
8,Other Operating Expenses,957.9,-1.41,0,0.33,8.35,1.3,1.06,-1.28,10.43,-4.15,1.32,0.84,9.19,-1.95,0.77,0.77
9,Operating Expenses,788.2,63.93,53.23,51.46,120.66,59.82,61.08,48.15,94.74,57.97,54.83,49.39,115.57,57.59,39.13,39.13
10,Operating Income,121.24,24.37,9.33,-5.95,74.91,6.08,-0.73,-4.19,98.32,6.87,10.16,-23.54,127.23,-5.61,-8.1,-8.1
11,Interest Expense,-33.93,-0.04,-0.05,-0.04,-0.1,-0.01,-0.03,-0.02,-0.18,-,-0.12,-0.05,-0.01,-0.12,-,-
12,Interest & Investment Income,0.13,10.64,11.33,11.97,11.1,27.47,3.72,2.96,16.99,2.55,3.74,2.6,8.72,0.55,0.62,0.62
