,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4824,4627,4622,3941,4267,4493,4704,4627,4627,4349,-,-,-,-,-,-,-
1,Market Cap Growth,2.99%,2.99%,-1.73%,-14.83%,-7.78%,3.31%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2501,2304,2251,1541,1868,2093,2322,2258,2240,1961,-,-,-,-,-,-,-
3,Last Close Price,10.05,9.64,9.63,8.21,8.78,9.25,9.68,9.52,9.45,8.88,-,-,-,-,-,-,-
4,PE Ratio,38.40,36.84,35.12,30.00,37.04,40.58,31.37,36.37,-,37.73,-,-,-,-,-,-,-
5,PS Ratio,4.36,4.18,4.38,3.98,4.37,4.63,5.19,4.97,4.96,4.78,-,-,-,-,-,-,-
6,PB Ratio,1.45,1.35,1.34,1.16,1.24,1.31,1.41,1.39,1.38,1.30,-,-,-,-,-,-,-
7,P/TBV Ratio,1.41,1.41,1.41,1.21,1.30,1.37,1.47,1.46,1.44,1.36,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,70.78,-,43.75,-,44.00,-,51.93,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,32.94,29.45,-,28.52,-,37.07,-,39.57,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.26,2.08,2.13,1.56,1.91,2.16,2.56,2.43,2.40,2.16,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,14.96,13.77,18.59,14.92,-,21.95,19.47,18.76,17.10,17.53,-,-,-,-,-,-,-
12,EV/EBIT Ratio,16.79,15.47,21.92,18.26,-,27.52,23.34,-,-,21.36,-,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,27.67,-,20.39,-,21.47,-,23.42,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,-,0.00,0.00
15,Debt / EBITDA Ratio,0.02,0.01,0.03,0.06,-,0.01,0.02,0.04,0.23,0.00,0.02,-,-,0.00,-,-,-
16,Debt / FCF Ratio,-,-,-,0.07,-,0.04,-,0.01,-,0.02,-,-,0.04,-0.54,-,-,-
17,Asset Turnover,-,0.22,0.18,0.10,0.58,0.16,0.17,0.10,0.54,-,-,-,-,-,0.18,-,
18,Inventory Turnover,-,-,1.17,1.07,0.57,3.85,0.91,1.16,0.64,4.10,-,-,-,-,-,0.85,-
19,Quick Ratio,-,-,6.59,7.29,6.73,5.68,8.30,8.17,8.64,6.86,9.60,-,-,3.86,-,4.77,4.77
20,Current Ratio,-,-,7.66,8.38,7.64,6.34,9.51,9.21,9.63,7.51,10.72,-,-,4.48,-,5.70,5.70
21,Return on Equity (ROE),8.38%,3.55%,2.28%,0.44%,10.11%,3.46%,0.37%,-0.21%,15.32%,-,-,-4.21%,-,-,-1.89%,-,
22,Return on Assets (ROA),-,1.56%,0.60%,-0.37%,4.80%,0.41%,-0.05%,-0.27%,6.61%,-,-,-,-,-,-1.07%,-,
23,Return on Capital (ROIC),8.81%,1.78%,0.68%,-0.43%,5.52%,0.46%,-0.05%,-0.31%,7.43%,-,-,-2.82%,-,-,-1.26%,-,
24,Return on Capital Employed (ROCE),-,-,2.95%,2.45%,-,2.19%,2.93%,-,-,2.70%,3.70%,-,-,4.95%,-,-,-
25,Earnings Yield,2.60%,2.71%,2.85%,3.33%,2.70%,2.46%,3.19%,2.75%,2.95%,2.65%,-,-,-,-,-,-,-
26,FCF Yield,-,0.30%,1.41%,2.03%,2.29%,2.73%,2.27%,1.20%,1.93%,-,-,-,-,-,-,-,
27,Dividend Yield,1.00%,-,-,-,-,1.08%,-,-,-,0.90%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,268.19%,-,-,-,2200.73%,-,-,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,-0.00%,0.15%,3.62%,-2.86%,-1.13%,0.42%,-38.88%,-30.79%,-31.06%,-4.51%,-38.23%,-30.28%,-30.57%,-,-,-,-
30,Total Shareholder Return,0.99%,0.15%,3.62%,-2.86%,-1.13%,1.50%,-38.88%,-30.79%,-31.06%,-3.61%,-38.23%,-30.28%,-30.57%,-,-,-,-
