,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,289,297,189,854,411,297,245,420,275,2100,-
1,Market Cap Growth,-65.19%,-65.19%,-54.02%,187.30%,67.31%,-29.20%,-10.75%,-80.00%,-,-,-
2,Enterprise Value,142,133,32,713,299,188,90,281,156,2078,-
3,Last Close Price,0.62,0.55,0.35,1.58,0.76,0.55,0.45,0.73,0.48,3.66,-
4,PE Ratio,16.92,17.19,9.71,48.79,20.39,13.43,11.08,19.62,16.87,114.41,-
5,PS Ratio,1.49,1.52,0.94,4.20,1.72,1.23,1.09,1.97,1.23,9.26,-
6,PB Ratio,1.07,1.09,0.69,3.28,1.55,1.13,0.93,1.52,1.01,8.43,-
7,P/TBV Ratio,1.09,1.09,0.69,3.28,1.55,1.13,0.93,1.52,1.01,8.43,-
8,P/FCF Ratio,219.10,-,7.62,16.95,9.58,147.23,-,14.68,17.37,481.01,-
9,P/OCF Ratio,110.49,110.49,7.27,16.44,9.31,85.36,-,13.38,14.98,468.97,-
10,EV/Sales Ratio,0.73,0.68,0.16,3.50,1.25,0.78,0.40,1.32,0.70,9.16,-
11,EV/EBITDA Ratio,8.32,8.08,1.48,24.64,8.41,6.34,3.24,10.54,5.42,61.09,-
12,EV/EBIT Ratio,9.68,9.03,1.66,26.23,8.87,6.80,3.46,11.50,5.72,63.55,-
13,EV/FCF Ratio,107.64,-,1.31,14.14,6.97,92.85,-,9.81,9.87,475.93,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
15,Debt / FCF Ratio,1.86,-,0.13,0.01,0.00,0.40,-,0.03,0.01,0.14,-
16,Return on Capital Employed (ROCE),5.35%,5.35%,7.06%,10.41%,12.69%,10.43%,9.80%,8.81%,10.02%,13.06%,22.88%
17,Earnings Yield,5.98%,5.82%,10.30%,2.05%,4.90%,7.45%,9.03%,5.10%,5.93%,0.87%,-
18,FCF Yield,0.46%,0.44%,13.12%,5.90%,10.44%,0.68%,2.62%,6.81%,5.76%,0.21%,-
19,Buyback Yield / Dilution,-,-,-,2.01%,5.60%,3.76%,-22.35%,-33.47%,-8.97%,-,
20,Total Shareholder Return,-,-,-,2.01%,5.60%,3.76%,-22.35%,-33.47%,-8.97%,-,
