,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Aug '24 Aug 31, 2024","Feb '24 Feb 29, 2024","Aug '23 Aug 31, 2023","Feb '23 Feb 28, 2023","Aug '22 Aug 31, 2022","Feb '22 Feb 28, 2022","Aug '21 Aug 31, 2021","Feb '21 Feb 28, 2021","Aug '20 Aug 31, 2020","Feb '20 Feb 29, 2020"
0,Cash & Equivalents,2840,1956,3148,2357,1677,1753,1068,1229,2266,2824
1,Short-Term Investments,-,-,-,-,-,-,1110,-,849.2,-
2,Trading Asset Securities,-,-,-,20,20,-,-,-,-,-
3,Cash & Short-Term Investments,2840,1956,3148,2377,1697,1753,2178,1229,3115,2824
4,Cash Growth,-9.80%,-17.73%,85.56%,35.65%,-22.10%,42.63%,-30.08%,-56.49%,393.27%,334.11%
5,Accounts Receivable,949.4,1330,1226,1055,1255,1107,1102,2177,1660,1487
6,Other Receivables,362.6,446.8,525.2,540.4,631.2,717.5,-,443.5,-,416.6
7,Receivables,1312,1776,1751,1595,1886,1824,1152,2621,1660,1903
8,Inventory,6120,6284,5754,6247,6404,6686,7680,6211,6594,6649
9,Other Current Assets,651.7,542.9,666.8,1881,2323,717,-,379.4,2024,4000
10,Total Current Assets,10923,10559,11320,12101,12309,10980,11011,10440,13393,15376
11,"Property, Plant & Equipment",2402,2460,2644,3158,3701,4109,4147,4644,4579,5063
12,Long-Term Investments,45.9,45.9,40.9,-,-,-,-,-,1000,-
13,Goodwill,1006,1006,1006,1002,-,1002,-,1002,-,1002
14,Other Intangible Assets,48.9,53.9,63.3,71,1085,90.5,1094,87.2,1091,100.9
15,Long-Term Deferred Tax Assets,266.8,204.6,196.7,238.9,294,305,307.1,266,285.8,237.5
16,Other Long-Term Assets,223.4,214.9,229.6,249.3,299.4,1309,1266,1266,238.9,255.5
17,Total Assets,14916,14544,15500,16821,17689,17796,17825,17706,20588,22035
18,Accounts Payable,846.8,387.1,464,991,354.2,926.7,1552,445.4,1097,1106
19,Accrued Expenses,-,464.4,-,438,-,786.9,-,797.9,-,653
20,Short-Term Debt,950,720.1,840,1545,2028,518.2,833.8,1337,2460,2400
21,Current Portion of Leases,759.1,890,910.7,1181,1272,1086,1038,1320,1302,1345
22,Current Income Taxes Payable,435.7,261.7,492.4,360.1,614.7,696.5,611.8,807.2,594.4,820.4
23,Current Unearned Revenue,-,223.7,-,241,-,318,-,265.3,-,440.2
24,Other Current Liabilities,893.7,399.5,1312,512.5,1363,540,1025,452.9,1184,2135
25,Total Current Liabilities,3885,3347,4019,5268,5631,4873,5060,5426,6637,8899
26,Long-Term Leases,1242,1098,1206,1481,1864,1970,2077,2329,2298,2520
27,Long-Term Deferred Tax Liabilities,282.4,249,303.9,237.4,298.5,372.1,319.6,245.6,200,73.2
28,Total Liabilities,5409,4694,5529,6987,7793,7215,7457,8001,9135,11492
29,Additional Paid-In Capital,19326,19326,19326,19326,19326,21187,-,22737,-,26396
30,Retained Earnings,8486,8853,8969,8872,8987,7842,6073,5395,3236,2625
31,Comprehensive Income & Other,-18308,-18330,-18327,-18365,-18418,-18447,4294,-18426,8217,-18478
32,Total Common Equity,9505,9849,9969,9834,9896,10582,10367,9706,11453,10543
33,Minority Interest,1.5,1.5,2.7,-,-,-,-,-,-,-
34,Shareholders' Equity,9506,9850,9971,9834,9896,10582,10367,9706,11453,10543
35,Total Liabilities & Equity,14916,14544,15500,16821,17689,17796,17825,17706,20588,22035
36,Total Debt,2951,2708,2957,4207,5163,3575,3949,4986,6059,6265
37,Net Cash (Debt),-111.1,-752.2,191.6,-1830,-3467,-1822,-1771,-3758,-2944,-3441
38,Net Cash Per Share,-0.02,-0.12,0.03,-0.30,-0.56,-0.29,-0.29,-0.61,-0.47,-0.57
39,Filing Date Shares Outstanding,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201
40,Total Common Shares Outstanding,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201
41,Working Capital,7038,7213,7301,6833,6678,6108,5950,5015,6756,6477
42,Book Value Per Share,1.53,1.59,1.61,1.59,1.60,1.71,1.67,1.57,1.85,1.70
43,Tangible Book Value,8450,8790,8900,8760,8811,9489,9273,8616,10362,9440
44,Tangible Book Value Per Share,1.36,1.42,1.44,1.41,1.42,1.53,1.50,1.39,1.67,1.52
45,Machinery,-,324.8,-,333.8,-,332.4,-,296.7,-,287.2
46,Leasehold Improvements,-,3240,-,3011,-,3020,-,2959,-,2842
