,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Aug '24 Aug 31, 2024","Feb '24 Feb 29, 2024","Aug '23 Aug 31, 2023","Feb '23 Feb 28, 2023","Aug '22 Aug 31, 2022","Feb '22 Feb 28, 2022","Aug '21 Aug 31, 2021","Feb '21 Feb 28, 2021","Aug '20 Aug 31, 2020","Feb '20 Feb 29, 2020"
0,Revenue,13055,14757,14177,13855,13218,16303,15573,20240,15770,16733
1,Revenue Growth (YoY),-7.91%,6.51%,7.25%,-15.01%,-15.12%,-19.45%,-1.24%,20.96%,-7.01%,-4.23%
2,Cost of Revenue,7692,9017,7836,8602,7187,9402,8650,12124,9204,9955
3,Gross Profit,5362,5740,6341,5254,6031,6901,6924,8116,6566,6778
4,"Selling, General & Admin",4167,4755,4520,4405,4582,5557,5136,6085,4799,5563
5,Other Operating Expenses,-46.4,-84,8.3,-36.7,-173.3,-17,-310.3,-50.9,-181.1,-59.3
6,Operating Expenses,4123,4671,4527,4368,4407,5533,4823,6035,4642,5523
7,Operating Income,1240,1069,1814,885.2,1624,1368,2101,2081,1924,1255
8,Interest Expense,-59.3,-69.4,-77.9,-104.1,-107.1,-107,-110.8,-140.8,-138.5,-153.9
9,Interest & Investment Income,46.8,60.3,59.6,55.4,48.6,32.1,46.8,56.9,83.8,48.8
10,Currency Exchange Gain (Loss),-,0.1,-,2.9,-4.2,8.6,26.3,-,-,-
11,EBT Excluding Unusual Items,1227,1060,1796,839.4,1561,1302,2063,1997,1869,1150
12,Asset Writedown,-118.9,-8.6,-88.1,-34.8,-43.3,2.2,-41.2,-,-14.9,-43.9
13,Pretax Income,1108,1052,1708,804.6,1518,1304,2022,1997,1854,1106
14,Income Tax Expense,234.6,177,370.9,113.4,372.4,288.4,591.2,535.7,545,273.1
15,Earnings From Continuing Operations,873.8,874.6,1337,691.2,1145,1016,1431,1461,1309,832.5
16,Minority Interest in Earnings,-,1.2,0.5,-,-,-,-,-,-,-
17,Net Income,873.8,875.8,1337,691.2,1145,1016,1431,1461,1309,832.5
18,Net Income to Common,873.8,875.8,1337,691.2,1145,1016,1431,1461,1309,832.5
19,Net Income Growth,-34.65%,26.71%,16.75%,-31.95%,-19.95%,-30.48%,9.30%,75.50%,-11.00%,-15.54%
20,Shares Outstanding (Basic),6201,6201,6201,6201,6201,6201,6201,6201,6201,5998
21,Shares Outstanding (Diluted),6201,6201,6201,6201,6201,6201,6201,6201,6201,5998
22,Shares Change (YoY),-,-,-,-,-,-,-,3.39%,17.65%,13.79%
23,EPS (Basic),0.14,0.14,0.22,0.11,0.18,0.16,0.23,0.24,0.21,0.14
24,EPS (Diluted),0.14,0.14,0.22,0.11,0.18,0.16,0.23,0.24,0.21,0.14
25,EPS Growth,-34.65%,26.71%,16.75%,-31.95%,-19.95%,-30.48%,9.30%,69.74%,-24.35%,-25.78%
26,Free Cash Flow,2456,368.3,2364,2520,1474,2679,2294,2320,1743,3796
27,Free Cash Flow Per Share,0.40,0.06,0.38,0.41,0.24,0.43,0.37,0.37,0.28,0.63
28,Dividend Per Share,0.140,0.050,0.160,0.050,0.130,0.070,0.130,0.120,0.120,0.070
29,Dividend Growth,-12.50%,0%,23.08%,-28.57%,0%,-41.67%,8.33%,71.43%,0%,-
30,Operating Margin,9.50%,7.25%,12.80%,6.39%,12.28%,8.39%,13.49%,10.28%,12.20%,7.50%
31,Profit Margin,6.69%,5.93%,9.43%,4.99%,8.67%,6.23%,9.19%,7.22%,8.30%,4.98%
32,Free Cash Flow Margin,18.81%,2.50%,16.67%,18.19%,11.15%,16.43%,14.73%,11.46%,11.05%,22.69%
33,EBITDA,1483,1308,2081,1172,1971,1719,2448,2433,2280,1630
34,D&A For EBITDA,242.7,238.4,266.6,286.4,347.4,350.6,347.3,352,356.4,375.6
35,EBIT,1240,1069,1814,885.2,1624,1368,2101,2081,1924,1255
