,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,12505,12730,12207,13894,15276,17331,15180,14797,11071,14197,Upgrade
1,Revenue Growth (YoY),2.44%,-8.38%,-20.09%,-19.83%,0.63%,17.13%,37.12%,4.22%,-14.49%,-10.36%,Upgrade
2,Cost of Revenue,10877,11207,11227,12858,13620,14966,11842,11215,8905,11441,Upgrade
3,Gross Profit,1628,1523,979.64,1036,1656,2365,3338,3582,2166,2756,Upgrade
4,"Selling, General & Admin",910.76,868.44,844.75,978.44,1045,1346,1227,1072,809.2,1044,Upgrade
5,Operating Expenses,910.76,889.46,844.02,974.87,1041,1298,1291,1012,809.16,1098,Upgrade
6,Operating Income,717.54,633.07,135.63,61.27,615.76,1067,2047,2570,1356,1658,Upgrade
7,Interest Expense,-178.27,-177.65,-100.48,-85.53,-38.24,-42.61,-32.78,-89.35,-81.16,-171.1,Upgrade
8,Interest & Investment Income,6.27,10.36,8.83,13.95,12.87,22.95,7.77,12.49,22.02,29.51,Upgrade
9,Earnings From Equity Investments,0.68,2.2,-0.48,0.03,-,-1.18,-,-8.77,-,-,Upgrade
10,Currency Exchange Gain (Loss),31.55,11.48,1.07,11.26,8.51,-4.11,-10.43,-269.24,19.92,139.8,Upgrade
11,Other Non Operating Income (Expenses),338.13,496.05,396.31,521.17,346.99,412.61,385.08,468.13,325.9,394.85,Upgrade
12,EBT Excluding Unusual Items,915.89,975.52,440.89,522.16,945.88,1455,2397,2683,1643,2051,Upgrade
13,Gain (Loss) on Sale of Assets,-8.2,-1.29,-2.76,-13.17,3.85,7.06,-64.14,-3.53,-1.48,-2.23,Upgrade
14,Pretax Income,907.68,974.23,438.13,508.99,949.73,1462,2333,2680,1642,2049,Upgrade
15,Income Tax Expense,102.16,180.88,77.52,54.4,87.14,210.13,332.39,428.15,240.81,428.96,Upgrade
16,Earnings From Continuing Operations,805.52,793.35,360.62,454.6,862.6,1252,2000,2252,1401,1620,Upgrade
17,Minority Interest in Earnings,0.16,-0.64,-0.72,-0.48,-0.37,-0.38,-0.13,0.02,-0,0.06,Upgrade
18,Net Income,805.69,792.71,359.9,454.11,862.22,1251,2000,2252,1401,1620,Upgrade
19,Preferred Dividends & Other Adjustments,45.47,49.71,51.97,66.32,64.77,64.33,64.08,63.96,64.75,64.72,Upgrade
20,Net Income to Common,760.21,743,307.93,387.79,797.45,1187,1936,2188,1336,1556,Upgrade
21,Net Income Growth,123.87%,74.56%,-58.26%,-63.71%,-56.89%,-44.43%,42.77%,38.97%,-16.62%,-14.72%,Upgrade
22,Shares Outstanding (Basic),4297,4309,4310,4313,4320,4344,4347,4347,4355,4369,Upgrade
23,Shares Outstanding (Diluted),4297,4309,4310,4313,4320,4344,4347,4347,4355,4369,Upgrade
24,Shares Change (YoY),-0.30%,-0.09%,-0.24%,-0.70%,-0.62%,-0.07%,-0.19%,-0.52%,-0.60%,-0.68%,Upgrade
25,EPS (Basic),0.18,0.17,0.07,0.09,0.18,0.27,0.45,0.50,0.31,0.36,Upgrade
26,EPS (Diluted),0.18,0.17,0.07,0.09,0.18,0.27,0.45,0.50,0.31,0.36,Upgrade
27,EPS Growth,147.62%,91.77%,-61.29%,-67.10%,-58.55%,-45.71%,45.17%,41.38%,-19.99%,-17.56%,Upgrade
28,Free Cash Flow,-1225,-2318,-950.96,123.77,-1132,918.77,-1432,354.79,-292.12,1139,Upgrade
29,Free Cash Flow Per Share,-0.29,-0.54,-0.22,0.03,-0.26,0.21,-0.33,0.08,-0.07,0.26,Upgrade
30,Dividend Per Share,0.062,0.061,0.025,0.033,0.065,0.110,0.150,0.180,0.120,0.130,Upgrade
31,Dividend Growth,148.00%,84.85%,-61.54%,-70.00%,-56.67%,-38.89%,25.00%,38.46%,-7.69%,-13.33%,Upgrade
32,Operating Margin,5.74%,4.97%,1.11%,0.44%,4.03%,6.16%,13.49%,17.37%,12.25%,11.68%,Upgrade
33,Profit Margin,6.08%,5.84%,2.52%,2.79%,5.22%,6.85%,12.75%,14.78%,12.07%,10.96%,Upgrade
34,Free Cash Flow Margin,-9.79%,-18.21%,-7.79%,0.89%,-7.41%,5.30%,-9.43%,2.40%,-2.64%,8.02%,Upgrade
35,EBITDA,783.05,699.43,200.31,100.73,724.87,1106,2134,2630,1433,1738,Upgrade
36,D&A For EBITDA,65.52,66.36,64.68,39.46,109.11,38.71,87.42,60.26,76.07,79.9,Upgrade
37,EBIT,717.54,633.07,135.63,61.27,615.76,1067,2047,2570,1356,1658,Upgrade
