,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,10136,9921,9867,11205,14825,14547,23478,25689,27601,18082,25764,Upgrade
1,Market Cap Growth,4.90%,-11.45%,-33.44%,-22.97%,-36.86%,-43.37%,-14.94%,42.07%,7.13%,-24.53%,-11.54%,Upgrade
2,Enterprise Value,30674,27783,25520,25825,28585,26774,35984,35912,38069,27552,35636,Upgrade
3,Last Close Price,2.36,2.25,2.18,2.45,3.20,3.07,4.80,5.12,5.36,3.42,4.72,Upgrade
4,PE Ratio,7.72,6.60,9.39,16.11,12.51,7.33,7.52,6.23,7.83,6.25,7.96,Upgrade
5,Forward PE,6.33,6.66,7.18,5.78,7.00,5.42,5.54,6.43,8.32,5.77,7.81,Upgrade
6,PS Ratio,0.39,0.39,0.40,0.43,0.51,0.45,0.72,0.86,1.07,0.72,0.95,Upgrade
7,PB Ratio,0.36,0.36,0.34,0.38,0.52,0.45,0.70,0.79,0.90,0.71,0.99,Upgrade
8,P/TBV Ratio,0.37,0.36,0.34,0.38,0.52,0.45,0.70,0.79,0.90,0.71,0.99,Upgrade
9,P/FCF Ratio,-,-,-,-,-14.71,-,-45.78,-,440.41,-,17.89,Upgrade
10,P/OCF Ratio,-,-7.15,-,2.46,4.00,4.43,8.41,9.89,8.16,4.30,5.20,Upgrade
11,PEG Ratio,0.35,0.36,0.18,1.28,-,-,3.33,3.33,3.42,0.59,-,Upgrade
12,EV/Sales Ratio,1.18,1.10,1.02,0.99,0.98,0.82,1.11,1.20,1.47,1.09,1.31,Upgrade
13,EV/EBITDA Ratio,23.52,18.74,28.36,85.79,34.62,14.63,11.11,7.54,9.37,8.69,10.43,Upgrade
14,EV/EBIT Ratio,26.14,20.57,33.20,131.16,42.22,15.91,11.56,7.78,9.70,9.14,10.92,Upgrade
15,EV/FCF Ratio,-,-,-,-,-28.36,-,-70.17,-,607.43,-,24.74,Upgrade
16,Debt / Equity Ratio,0.79,0.81,0.67,0.61,0.57,0.48,0.42,0.43,0.37,0.50,0.47,Upgrade
17,Debt / FCF Ratio,-,-,-,-,-16.28,-,-27.55,-,181.91,-,8.60,Upgrade
18,Return on Capital Employed (ROCE),2.72%,3.14%,1.80%,0.48%,1.78%,4.24%,7.73%,11.98%,10.27%,8.92%,9.31%,Upgrade
19,Earnings Yield,12.95%,16.11%,11.68%,7.26%,8.88%,14.53%,13.85%,16.55%,13.23%,16.71%,12.81%,Upgrade
20,FCF Yield,-35.70%,-33.13%,-7.38%,-6.80%,-1.46%,-2.18%,-4.19%,0.23%,4.68%,5.59%,Upgrade,
21,Dividend Yield,4.53%,5.47%,3.95%,2.37%,3.06%,5.69%,5.42%,6.45%,5.60%,7.31%,5.51%,Upgrade
22,Buyback Yield / Dilution,-3.14%,0.30%,0.09%,0.24%,0.70%,0.62%,0.07%,0.19%,0.52%,0.60%,0.68%,Upgrade
23,Total Shareholder Return,1.40%,5.77%,4.04%,2.61%,3.75%,6.31%,5.49%,6.64%,6.12%,7.91%,6.19%,Upgrade
