,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021"
0,Operating Revenue,400.79,322.64,256.04,210.47,341.95,256.33,225.19,207.76,329.83,300.63,312.38,228.25
1,Other Revenue,-45.56,45.56,-,75.81,-35.39,35.39,-,78.82,-37.84,37.84,-,11.27
2,Revenue,355.23,368.2,256.04,286.28,306.55,291.73,225.19,286.57,291.98,338.47,312.38,239.52
3,Revenue Growth (YoY),15.88%,26.21%,13.70%,-0.10%,4.99%,-13.81%,-27.91%,19.64%,-,-,-,-
4,Cost of Revenue,315.17,321.16,220.92,263.45,263.89,239.85,186.83,245.62,240.46,242.21,248.9,177.18
5,Gross Profit,40.07,47.03,35.12,22.83,42.67,51.88,38.36,40.96,51.52,96.26,63.48,62.34
6,"Selling, General & Admin",12.78,13.85,11.32,10.54,15.29,11.15,10.61,10.73,10.42,20.46,11.15,7.03
7,Research & Development,13.31,14.86,10.32,12.44,12,10.83,9.28,11.01,12.04,25.16,14.43,9.52
8,Other Operating Expenses,-0.88,-0.32,-0.02,-7.6,-3.34,-7.4,0.27,5.85,-0.59,1.32,-0.03,0.97
9,Operating Expenses,26.29,32.35,22.14,12.4,24.63,18.12,15.71,16.83,15.56,42.3,25.55,21.54
10,Operating Income,13.78,14.68,12.98,10.43,18.04,33.75,22.65,24.12,35.96,53.96,37.93,40.8
11,Interest Expense,-0.15,-0.12,-0.19,-0.33,-1.14,-3.24,-3.06,-3.04,-3.15,-6.1,-,-2.29
12,Interest & Investment Income,3.48,3.48,3.67,4.39,4.27,0.04,0.05,0.04,0.05,0.08,-,0.11
13,Currency Exchange Gain (Loss),1.29,-1.29,-,-1.24,1.53,-1.53,-,-7.42,4,-4,-,-0.69
14,Other Non Operating Income (Expenses),0.2,0.9,0.29,2.56,-0.66,-0.91,1.01,9.25,-8.65,1.03,-4.97,0.32
15,EBT Excluding Unusual Items,18.6,17.65,16.74,15.81,22.02,28.12,20.64,22.96,28.22,44.97,32.96,38.24
16,Gain (Loss) on Sale of Investments,-0.33,-0.66,-0.07,-0.78,0.74,-0.59,-0.15,-0.06,-0.38,-0.82,-0.52,-0.39
17,Gain (Loss) on Sale of Assets,-2.31,0.01,-,-0.02,-1.95,-0.68,-0.55,0.18,-,-0.16,-,0.04
18,Asset Writedown,-1.18,1.45,-1.45,1.34,-1.34,0.83,-0.83,0.37,-0.37,-,-1.19,-
19,Other Unusual Items,-0.4,3.9,0.04,-0.16,-,-,-,5.05,-,-,-,0.76
20,Pretax Income,14.37,22.35,15.27,16.19,19.48,27.67,19.11,28.5,27.46,43.99,31.24,38.65
21,Income Tax Expense,0.49,1.11,1.11,1.53,1.33,1.94,1.61,-5.11,2.3,6.1,3.06,5.02
22,Earnings From Continuing Operations,13.88,21.23,14.17,14.66,18.14,25.73,17.5,33.61,25.16,37.9,28.18,33.63
23,Minority Interest in Earnings,-4.09,-5.35,-3.24,-3.98,-3.98,-2.99,-3.89,-3.87,-2.88,-5.98,-3.67,-5.35
24,Net Income,9.79,15.89,10.92,10.68,14.17,22.73,13.61,29.74,22.29,31.92,24.51,28.28
25,Net Income to Common,9.79,15.89,10.92,10.68,14.17,22.73,13.61,29.74,22.29,31.92,24.51,28.28
26,Net Income Growth,-30.87%,-30.13%,-19.77%,-64.09%,-36.44%,-28.77%,-44.44%,5.17%,-,-,-,-
27,Shares Outstanding (Basic),85,81,84,83,82,61,62,62,62,62,61,61
28,Shares Outstanding (Diluted),85,81,84,83,82,61,62,62,62,62,61,61
29,Shares Change (YoY),3.75%,31.91%,35.77%,34.27%,31.74%,-1.08%,1.01%,0.79%,-,-,-,-
30,EPS (Basic),0.12,0.20,0.13,0.13,0.17,0.37,0.22,0.48,0.36,0.51,0.40,0.46
31,EPS (Diluted),0.12,0.20,0.13,0.13,0.17,0.37,0.22,0.48,0.36,0.51,0.40,0.46
32,EPS Growth,-33.37%,-47.03%,-40.91%,-73.25%,-51.75%,-27.99%,-45.00%,4.35%,-,-,-,-
33,Free Cash Flow,-54.49,-19.75,-46.27,27.13,-147.07,20.65,-74.68,-10.21,-7.25,-45.68,-35.65,-93.98
34,Free Cash Flow Per Share,-0.64,-0.24,-0.55,0.33,-1.80,0.34,-1.21,-0.16,-0.12,-0.74,-0.58,-1.53
35,Dividend Per Share,-,0.300,-,0.150,-,-,-,-,-,-,-,-
36,Gross Margin,11.28%,12.77%,13.72%,7.97%,13.92%,17.78%,17.04%,14.29%,17.65%,28.44%,20.32%,26.03%
37,Operating Margin,3.88%,3.99%,5.07%,3.64%,5.88%,11.57%,10.06%,8.42%,12.32%,15.94%,12.14%,17.03%
38,Profit Margin,2.76%,4.31%,4.27%,3.73%,4.62%,7.79%,6.05%,10.38%,7.63%,9.43%,7.85%,11.81%
39,Free Cash Flow Margin,-15.34%,-5.36%,-18.07%,9.48%,-47.97%,7.08%,-33.16%,-3.56%,-2.48%,-13.50%,-11.41%,-39.23%
40,EBITDA,27.23,30.84,26.43,23.89,29.07,46.72,33.68,35.15,43.25,64.4,47.93,42.03
41,EBITDA Margin,7.67%,8.38%,10.32%,8.34%,9.48%,16.01%,14.96%,12.27%,14.81%,19.03%,15.34%,17.55%
42,D&A For EBITDA,13.46,16.16,13.46,13.46,11.03,12.96,11.03,11.03,7.28,10.44,10,1.23
43,EBIT,13.78,14.68,12.98,10.43,18.04,33.75,22.65,24.12,35.96,53.96,37.93,40.8
44,EBIT Margin,3.88%,3.99%,5.07%,3.64%,5.88%,11.57%,10.06%,8.42%,12.32%,15.94%,12.14%,17.03%
45,Effective Tax Rate,3.42%,4.98%,7.24%,9.48%,6.85%,7.02%,8.42%,-,8.38%,13.86%,9.81%,12.98%
46,Revenue as Reported,355.23,368.2,256.04,286.28,306.55,291.73,225.19,286.57,291.98,650.85,-,-
