,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021"
0,Market Capitalization,5075,3081,2475,3149,3750,3650,4232,-,-,-,-,-,-
1,Market Cap Growth,-15.59%,-15.59%,-41.54%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5121,3137,2489,3187,3788,2991,4684,-,-,-,-,-,-
3,Last Close Price,61.55,37.04,29.74,37.67,44.86,43.67,50.63,-,-,-,-,-,-
4,PE Ratio,108.29,65.17,47.91,53.83,61.28,45.48,47.89,-,-,-,-,-,-
5,PS Ratio,4.05,2.43,2.03,2.76,3.38,3.29,3.86,-,-,-,-,-,-
6,PB Ratio,2.75,1.56,1.26,1.62,1.94,1.90,2.25,-,-,-,-,-,-
7,P/TBV Ratio,1.77,1.77,1.41,1.78,2.14,2.09,2.45,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-21.56,-,-59.19,-,-,-,-,-,-
9,P/OCF Ratio,24.24,24.24,125.74,-,-206.18,-,1373.00,-,-,-,-,-,-
10,EV/Sales Ratio,4.05,2.48,2.05,2.79,3.41,2.69,4.28,-,-,-,-,-,-
11,EV/EBITDA Ratio,52.38,28.94,22.58,25.27,28.40,20.68,29.50,-,-,-,-,-,-
12,EV/EBIT Ratio,139.70,60.47,44.35,42.38,44.63,30.35,40.21,-,-,-,-,-,-
13,EV/FCF Ratio,-54.84,-,-,-,-21.77,-,-65.51,-,-,-,-,-,-
14,Debt / Equity Ratio,0.03,0.03,0.03,0.01,0.02,0.03,0.22,0.50,0.50,-,-,0.48,0.66
15,Debt / EBITDA Ratio,0.68,0.61,0.47,0.27,0.43,0.56,2.19,2.81,2.69,-,-,1.60,1.97
16,Debt / FCF Ratio,-,-,-,-,-0.24,-,-5.72,-,-,-,-,-,-
17,Asset Turnover,0.60,0.64,0.45,0.50,0.50,-,-,-,-,-,-,-,
18,Inventory Turnover,3.13,4.03,3.93,2.53,2.76,2.83,-,-,-,-,-,-,-
19,Quick Ratio,1.73,1.73,1.92,2.06,2.23,1.79,2.18,-,0.79,-,-,-,0.96
20,Current Ratio,2.77,2.77,3.23,3.62,3.31,3.63,2.68,-,1.34,-,-,-,1.33
21,Return on Equity (ROE),2.83%,4.35%,2.92%,3.04%,3.81%,7.78%,9.18%,-,-,-,-,-,
22,Return on Assets (ROA),1.45%,1.60%,1.43%,1.15%,1.86%,-,-,-,-,-,-,-,
23,Return on Capital (ROIC),1.70%,1.84%,1.64%,1.32%,2.11%,4.92%,4.96%,-,-,-,-,-,
24,Return on Capital Employed (ROCE),1.82%,2.58%,2.82%,3.84%,4.37%,5.09%,6.14%,-,17.32%,-,-,-,6.91%
25,Earnings Yield,0.93%,1.53%,2.09%,1.86%,1.63%,2.20%,2.09%,-,-,-,-,-,-
26,FCF Yield,-1.84%,-3.03%,-7.51%,-4.62%,-4.64%,-5.79%,-1.69%,-,-,-,-,-,-
27,Dividend Yield,0.44%,-,1.51%,-,0.33%,-,-,-,-,-,-,-,-
28,Payout Ratio,27.84%,1.09%,80.10%,-,3.12%,9.30%,12.56%,25.45%,-,31.98%,20.64%,13.45%,9.22%
29,Buyback Yield / Dilution,-24.74%,-3.75%,-31.91%,-35.77%,-34.27%,-31.74%,1.08%,-1.01%,-0.79%,-,-,-,-
30,Total Shareholder Return,-24.30%,-3.75%,-30.39%,-35.77%,-33.93%,-31.74%,1.08%,-1.01%,-0.79%,-,-,-,-
