,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,150.14,127.63,133.91,195.38,129.75,1159,-,69.73,-,-,-,29.07
1,Short-Term Investments,-,-,-,110.9,-,-,-,10.62,-,-,-,-
2,Trading Asset Securities,-,-,-,-,11.99,-,-,-,-,-,-,4.01
3,Cash & Short-Term Investments,150.14,127.63,133.91,306.28,141.74,1159,80.35,80.35,-,-,60.87,33.08
4,Cash Growth,5.93%,-88.98%,66.65%,281.16%,-,-,32.00%,142.91%,-,-,-,-
5,Accounts Receivable,547.69,511.32,487.91,458.68,338.73,370.71,-,380.5,-,-,-,346.65
6,Other Receivables,4.95,7.14,1.99,2.08,89.55,7.08,-,0.64,-,-,-,54.92
7,Receivables,552.64,518.46,489.9,460.77,428.28,377.79,-,381.13,-,-,-,401.57
8,Inventory,312.44,313.38,339.96,359.43,404.24,341.3,-,295.64,-,-,-,155.91
9,Other Current Assets,113.05,124.9,128.83,11.54,182.99,13.56,-,26.29,-,-,-,9.13
10,Total Current Assets,1128,1084,1093,1138,1157,1891,-,783.42,-,-,-,599.69
11,"Property, Plant & Equipment",748.99,718.93,672.12,654.45,599.85,598.75,-,576.68,-,-,-,341.17
12,Long-Term Investments,50.02,50.02,50.02,373.81,50.02,-,-,-,-,-,-,10.06
13,Other Intangible Assets,98.52,79.7,61.93,62.32,59.18,62.11,-,50.43,-,-,-,59.05
14,Long-Term Deferred Tax Assets,13.43,12.73,11.56,11.84,20.08,20.57,-,21.71,-,-,-,16.97
15,Long-Term Deferred Charges,19.01,18.28,18.99,18.55,18.66,18.34,-,15.37,-,-,-,1.98
16,Other Long-Term Assets,362.23,364.15,354.67,26.94,351.71,12.74,-,12.98,-,-,-,14.06
17,Total Assets,2420,2328,2262,2286,2257,2604,-,1461,-,-,-,1043
18,Accounts Payable,318.2,258.35,237.58,263.3,211.09,252.93,-,258.51,-,-,-,125.12
19,Accrued Expenses,14.26,19.37,9.96,17.03,12.66,12.2,-,18.48,-,-,-,10.27
20,Short-Term Debt,35.91,34.25,29,41.05,64.89,312.85,-,278.8,-,-,-,251.78
21,Current Portion of Long-Term Debt,-,-,-,-,-,95.89,-,8.12,-,-,-,-
22,Current Income Taxes Payable,4.22,1.87,2.83,1.25,2.78,0.27,-,3.04,-,-,-,4.85
23,Current Unearned Revenue,3.89,3.04,3.03,2.53,2.84,4.12,-,2.16,-,-,-,3.36
24,Other Current Liabilities,30.66,18.95,19.71,18.55,24.66,27.95,-,14.22,-,-,-,56.95
25,Total Current Liabilities,407.14,335.83,302.12,343.72,318.91,706.21,-,583.34,-,-,-,452.32
26,Long-Term Debt,30.52,23.57,-,-,-,-,-,91.79,-,-,-,79.88
27,Long-Term Unearned Revenue,10.5,10.81,11.11,8.16,8.46,6.57,-,15.63,-,-,-,11.52
28,Long-Term Deferred Tax Liabilities,-,-,-,-,7.84,8,-,7.43,-,-,-,-
29,Total Liabilities,448.16,370.21,313.23,351.88,335.21,720.79,-,698.2,-,-,-,543.73
30,Common Stock,82.46,82.46,82.46,82.46,82.46,82.46,-,61.84,-,-,-,61.84
31,Additional Paid-In Capital,1328,1327,1327,1326,1327,1326,-,269.45,-,-,-,266.56
32,Retained Earnings,432.92,423.13,419.61,408.69,398.01,383.85,-,347.5,-,-,-,111.51
33,Total Common Equity,1843,1833,1829,1818,1807,1792,678.78,678.78,-,-,565.3,439.92
34,Minority Interest,129.17,125.08,119.73,116.48,114.48,90.5,-,83.62,-,-,-,59.34
35,Shareholders' Equity,1972,1958,1949,1934,1922,1883,762.41,762.41,-,-,634.28,499.26
36,Total Liabilities & Equity,2420,2328,2262,2286,2257,2604,-,1461,-,-,-,1043
37,Total Debt,66.43,57.83,29,41.05,64.89,408.74,378.71,378.71,-,-,306.48,331.66
38,Net Cash (Debt),83.71,69.8,104.91,265.23,76.85,749.81,-298.35,-298.35,-,-,-245.61,-298.58
39,Net Cash Growth,8.92%,-90.69%,-,-,-,-,-,-,-,-,-,-
40,Net Cash Per Share,0.99,0.86,1.25,3.19,0.94,12.23,-4.82,-4.82,-,-,-4.01,-4.86
41,Filing Date Shares Outstanding,82.46,82.46,82.46,82.46,82.46,82.46,61.84,61.84,61.92,62,61.27,61.84
42,Total Common Shares Outstanding,82.46,82.46,82.46,82.46,82.46,82.46,61.84,61.84,61.92,62,61.27,61.84
43,Working Capital,721.13,748.54,790.48,794.29,838.34,1185,-,200.08,-,-,-,147.37
44,Book Value Per Share,22.35,22.23,22.18,22.04,21.92,21.74,10.98,10.98,-,-,9.13,7.11
45,Tangible Book Value,1745,1753,1767,1755,1748,1730,628.35,628.35,-,-,507.2,380.87
46,Tangible Book Value Per Share,21.16,21.26,21.43,21.29,21.20,20.98,10.16,10.16,-,-,8.19,6.16
47,Buildings,-,262.9,-,271.06,-,277.64,-,272.31,-,-,-,-
48,Machinery,-,568.86,-,523.61,-,442.58,-,415.67,-,-,-,-
49,Construction In Progress,-,123.6,-,72.11,-,87.5,-,87.25,-,-,-,-
