,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,12976,13408,11562,14189,13593,12476,11369,12797,10234,12386,Upgrade
1,Revenue Growth (YoY),12.23%,-5.50%,-14.94%,13.72%,19.56%,-2.50%,11.09%,3.32%,-0.45%,5.05%,Upgrade
2,Cost of Revenue,9215,9943,8967,11128,10527,10059,7996,8761,7075,8684,Upgrade
3,Gross Profit,3761,3465,2595,3060,3066,2417,3372,4036,3159,3701,Upgrade
4,"Selling, General & Admin",1029,1051,994.82,1032,1127,1176,1034,888.32,899.12,903.42,Upgrade
5,Operating Expenses,1029,1051,994.82,1032,1127,1176,1034,888.32,899.12,903.42,Upgrade
6,Operating Income,2733,2414,1600,2029,1938,1241,2338,3148,2259,2798,Upgrade
7,Interest Expense,-191.39,-199.55,-146.26,-124.8,-103.56,-92.54,-51.5,-45.39,-62.86,-52.91,Upgrade
8,Interest & Investment Income,536.52,453.09,326.05,158.77,119.47,120.19,104.3,168.98,163.27,140.75,Upgrade
9,Earnings From Equity Investments,2.56,2.28,10.55,-14.86,-6.54,2.42,4.84,3.49,2.78,3,Upgrade
10,Currency Exchange Gain (Loss),75.17,-93.09,243.66,488.33,617.23,-113.05,-60.17,-570.65,88.05,27.03,Upgrade
11,Other Non Operating Income (Expenses),97.73,86.62,174.99,-96.27,179.99,139.11,192.19,90.63,310.23,35.71,Upgrade
12,EBT Excluding Unusual Items,3254,2664,2209,2440,2745,1297,2528,2795,2761,2951,Upgrade
13,Gain (Loss) on Sale of Investments,9.09,-16.99,90.57,54.46,22.75,-,-,-26.25,26.25,13.23,Upgrade
14,Gain (Loss) on Sale of Assets,-13.41,0.35,48.78,-0.63,0.61,-4.26,2.27,-34.03,-9.25,-6.7,Upgrade
15,Pretax Income,3249,2647,2348,2494,2768,1293,2530,2734,2778,2958,Upgrade
16,Income Tax Expense,318.18,216.64,221.6,298.18,400.72,147.31,304.33,140.82,288.96,335.87,Upgrade
17,Earnings From Continuing Operations,2931,2430,2127,2195,2368,1146,2226,2594,2489,2622,Upgrade
18,Minority Interest in Earnings,-,-,-,0.69,-1.07,-0.42,0.44,0.67,23.42,57.21,Upgrade
19,Net Income,2931,2430,2127,2196,2367,1145,2226,2594,2512,2679,Upgrade
20,Net Income to Common,2931,2430,2127,2196,2367,1145,2226,2594,2512,2679,Upgrade
21,Net Income Growth,37.81%,10.67%,-10.13%,91.73%,6.30%,-55.85%,-11.39%,-3.17%,3.99%,13.45%,Upgrade
22,Shares Outstanding (Basic),1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,Upgrade
23,Shares Outstanding (Diluted),1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,Upgrade
24,EPS (Basic),1.95,1.62,1.41,1.46,1.57,0.76,1.48,1.73,1.67,1.78,Upgrade
25,EPS (Diluted),1.95,1.62,1.41,1.46,1.57,0.76,1.48,1.73,1.67,1.78,Upgrade
26,EPS Growth,37.81%,10.67%,-10.13%,91.73%,6.30%,-55.85%,-11.39%,-3.17%,3.99%,13.45%,Upgrade
27,Free Cash Flow,1714,2203,2218,3568,-180.85,874.69,538.72,1899,1548,2073,Upgrade
28,Free Cash Flow Per Share,1.14,1.47,1.48,2.37,-0.12,0.58,0.36,1.26,1.03,1.38,Upgrade
29,Dividend Per Share,1.140,0.980,0.879,0.785,0.905,0.447,0.881,0.864,0.820,0.907,Upgrade
30,Dividend Growth,29.67%,24.90%,-2.84%,75.70%,2.67%,-48.30%,7.44%,-4.79%,3.67%,10.66%,Upgrade
31,Operating Margin,21.06%,18.01%,13.84%,14.30%,14.26%,9.95%,20.57%,24.60%,22.08%,22.59%,Upgrade
32,Profit Margin,22.59%,18.13%,18.40%,15.48%,17.41%,9.18%,19.58%,20.27%,24.55%,21.63%,Upgrade
33,Free Cash Flow Margin,13.21%,16.43%,19.18%,25.15%,-1.33%,7.01%,4.74%,14.84%,15.13%,16.74%,Upgrade
34,EBITDA,3402,3076,2288,2706,2576,1791,2868,3654,2734,3270,Upgrade
35,D&A For EBITDA,669.47,661.35,688.36,677.24,637.67,550.2,530.04,506.46,474.47,472.47,Upgrade
36,EBIT,2733,2414,1600,2029,1938,1241,2338,3148,2259,2798,Upgrade
