,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,504.28,557.31,452.81,471.98,407.05
1,Revenue Growth (YoY),11.37%,18.08%,11.24%,-,-
2,Cost of Revenue,449.39,475.08,403.71,409.21,357.87
3,Gross Profit,209.26,228.26,197.29,194.18,180.27
4,"Selling, General & Admin",105.76,142.54,100.98,103.05,93.2
5,Research & Development,0.45,0.14,0.27,0.35,0.37
6,Other Operating Expenses,-5.96,-11.41,-7.61,-14.71,-2.29
7,Operating Expenses,101.58,133,96.43,91.66,93.19
8,Operating Income,107.68,95.26,100.86,102.52,87.08
9,Interest Expense,-5.68,-80.27,-6.87,-70.31,-73.68
10,Interest & Investment Income,0.8,0.81,0.84,0.48,0.5
11,Earnings From Equity Investments,-0,-,-,-,-
12,Other Non Operating Income (Expenses),-75.73,-,-76,-,-
13,EBT Excluding Unusual Items,27.06,15.8,18.82,32.69,13.9
14,Gain (Loss) on Sale of Investments,-,50.06,46.34,12.7,34.56
15,Gain (Loss) on Sale of Assets,-,-1.17,-,-1.58,-0.48
16,Pretax Income,27.06,64.69,65.16,43.8,47.97
17,Income Tax Expense,7.59,17.11,2.91,11.06,3.63
18,Earnings From Continuing Operations,19.48,47.58,62.25,32.74,44.34
19,Minority Interest in Earnings,0.21,0.27,0.15,0.55,1.29
20,Net Income,19.69,47.85,62.4,33.29,45.63
21,Net Income to Common,19.69,47.85,62.4,33.29,45.63
22,Net Income Growth,-68.45%,43.76%,36.77%,-,-
23,Shares Outstanding (Basic),1547,1229,1017,1075,959
24,Shares Outstanding (Diluted),1624,1416,1238,1308,1167
25,Shares Change (YoY),31.27%,8.22%,6.06%,-,-
26,EPS (Basic),0.01,0.04,0.06,0.03,0.05
27,EPS (Diluted),0.01,-0.00,0.01,0.02,0.01
28,EPS Growth,-6.80%,-,36.82%,-,-
29,Free Cash Flow,-130.78,-17.08,-131.93,-269.32,57.41
30,Free Cash Flow Per Share,-0.08,-0.01,-0.11,-0.21,0.05
31,Operating Margin,21.35%,17.09%,22.27%,21.72%,21.39%
32,Profit Margin,3.90%,8.59%,13.78%,7.05%,11.21%
33,Free Cash Flow Margin,-25.93%,-3.06%,-29.14%,-57.06%,14.10%
34,EBITDA,175.52,155.36,154.84,135.14,145.79
35,D&A For EBITDA,67.84,60.1,53.98,32.62,58.71
36,EBIT,107.68,95.26,100.86,102.52,87.08
37,Advertising Expenses,3.5,-,3.22,-,4.98
