,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,9823,2635,1103,-,-,-
1,Enterprise Value,11716,4397,2882,-,-,-
2,Last Close Price,6.35,1.70,0.71,-,-,-
3,PE Ratio,135.36,36.31,9.08,-,-,-
4,PS Ratio,7.57,2.31,0.99,-,-,-
5,PB Ratio,11.46,3.05,1.28,-,-,-
6,P/TBV Ratio,3.15,3.15,1.33,-,-,-
7,P/OCF Ratio,1425.68,1425.68,-,-,-,-
8,EV/Sales Ratio,10.27,3.85,2.59,-,-,-
9,EV/EBITDA Ratio,32.60,12.37,8.43,-,-,-
10,EV/EBIT Ratio,53.05,20.16,13.34,-,-,-
11,Debt / Equity Ratio,2.49,2.49,2.41,3.31,3.41,-
12,Return on Capital Employed (ROCE),11.13%,10.99%,11.28%,12.77%,13.55%,-
13,Earnings Yield,0.74%,2.75%,11.01%,-,-,-
14,FCF Yield,-1.62%,-6.03%,-14.88%,-,-,-
15,Buyback Yield / Dilution,-16.64%,-31.27%,-8.22%,-6.06%,-,-
16,Total Shareholder Return,-16.64%,-31.27%,-8.22%,-6.06%,-,-
