,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+9 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+9 Quarters
0,Cash & Equivalents,89566,56287,70512,-,10414,8568,8536,3091,9943,-,7623,16092,8618,7244,25864,22826,12848,29669,-,17525,Upgrade
1,Short-Term Investments,-,-,-,-,15.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,89566,56287,70512,10414,10430,8568,8536,3091,9943,-,7623,16092,8618,7244,25864,22826,12848,29669,-,17525,Upgrade
3,Cash Growth,758.78%,556.98%,726.08%,236.88%,4.89%,-,11.97%,-80.79%,15.38%,-,-70.52%,-29.50%,-32.92%,-75.58%,-,30.25%,113.86%,298.86%,-,1011.11%,Upgrade
4,Accounts Receivable,57606,100190,108275,-,104544,84938,109127,78561,107500,-,75139,63747,46728,77486,84931,74133,73532,52977,-,77436,Upgrade
5,Other Receivables,1209,1367,772.25,-,689.57,620.04,686.22,795.48,2444,-,963.39,1205,687.66,867.78,1003,588.24,505.21,520.46,-,395.9,Upgrade
6,Receivables,58815,101557,109047,-,105233,85558,109814,79356,109945,-,76103,64952,47416,78354,85934,74721,74037,53497,-,77832,Upgrade
7,Inventory,192103,113876,92686,-,165816,160308,145754,176830,185087,-,150981,143619,167243,122745,68028,102423,136963,111881,-,90876,Upgrade
8,Prepaid Expenses,49.84,31.54,56.59,-,47.9,83.71,16.05,133.84,283.71,-,-,172.72,332.64,162.78,480.63,1934,182.54,103.67,-,373.33,Upgrade
9,Other Current Assets,776.81,4701,8059,-,801.9,1857,1289,5050,4417,-,961.25,6223,1805,5750,17894,300.19,160.32,1602,-,732,Upgrade
10,Total Current Assets,341311,276453,280361,-,282328,256374,265409,264462,309675,-,235668,231059,225414,214256,198200,202204,224190,196752,-,187339,Upgrade
11,"Property, Plant & Equipment",7038,5636,6300,-,7260,8242,8952,9954,11200,-,15332,12485,12595,13813,15160,16360,17529,19057,-,21749,Upgrade
12,Other Intangible Assets,67.26,86.84,106.42,-,145.59,129.91,146.58,163.24,179.91,-,-,-,-,-,-,-,-,-,-,-,Upgrade
13,Other Long-Term Assets,484.45,417.53,395.54,-,369.27,357,411.21,340.17,353.71,-,613.31,775.71,902.14,344.55,320.93,332.57,313.08,360.83,-,400.05,Upgrade
14,Total Assets,348901,282594,287164,-,290103,265103,274919,274919,321409,-,251613,244320,238911,228413,213681,218897,242032,216170,-,209488,Upgrade
15,Accounts Payable,16287,25290,38464,-,31296,26296,31719,26339,29335,-,26764,15863,11914,23336,17358,18415,19056,19536,-,16143,Upgrade
16,Accrued Expenses,30496,42267,37242,-,17027,20268,20569,16057,13184,-,20880,15866,11819,13513,9192,8441,9672,11001,-,5810,Upgrade
17,Short-Term Debt,-,-,-,-,32433,16003,21146,23002,77081,-,169.98,169.98,5925,4525,169.98,169.98,28968,248.56,-,359.81,Upgrade
18,Current Income Taxes Payable,2168,2017,4804,-,1482,1754,3097,2648,840.68,-,2576,3417,1249,834.6,1408,1017,596.21,802.12,-,663.83,Upgrade
19,Other Current Liabilities,78265,2668,3194,-,2741,4198,5350,3705,3174,-,9279,13111,21725,4435,5984,6693,1786,4046,-,762.54,Upgrade
20,Total Current Liabilities,127217,72241,83705,-,84979,68520,81882,71750,123615,-,59669,48427,52632,46643,34113,34736,60079,35633,-,23739,Upgrade
21,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,70.79,113.28,155.78,198.27,240.77,283.26,325.76,368.25,-,436.9,Upgrade
22,Total Liabilities,127217,72241,83705,-,84979,68520,81882,71750,123615,-,59740,48540,52787,46842,34354,35020,60405,36002,-,24176,Upgrade
23,Common Stock,157313,157313,157313,-,157313,157313,157313,157313,157313,-,157313,157313,157313,157313,157313,157313,157313,157313,-,157313,Upgrade
24,Retained Earnings,63490,52158,45264,-,46929,38389,34843,44974,39600,-,33679,37585,27929,23377,21133,25683,23433,21974,-,27117,Upgrade
