,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+9 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+9 Quarters
0,Revenue,156196,182389,296129,287898,207657,128141,233705,157047,174222,94307,213068,216705,149326,99062,178034,130100,99366,64373,134353,134453,Upgrade
1,Revenue Growth (YoY),-24.78%,42.33%,26.71%,83.32%,19.19%,35.88%,9.69%,-27.53%,16.67%,-4.80%,19.68%,66.57%,50.28%,53.89%,32.51%,-3.24%,13.67%,-0.52%,-18.94%,44.23%,Upgrade
2,Cost of Revenue,134338,150492,239787,238966,184040,108556,201054,128120,150789,78781,185772,179399,135554,84329,155544,111855,87741,49728,116874,118431,Upgrade
3,Gross Profit,21858,31897,56342,48932,23617,19585,32651,28927,23432,15526,27297,37306,13772,14733,22490,18245,11624,14645,17479,16023,Upgrade
4,"Selling, General & Admin",9689,23749,36400,32366,16581,14841,19747,17732,14840,12890,16579,22822,8704,12512,18064,14191,10306,13490,12906,12646,Upgrade
5,Operating Expenses,9689,23749,36400,32366,16581,14841,19747,17732,14840,12890,16579,22822,8704,12512,18064,14191,10306,13490,12906,12646,Upgrade
6,Operating Income,12169,8148,19942,16566,7037,4744,12904,11195,8592,2635,10718,14484,5067,2221,4425,4055,1318,1155,4572,3377,Upgrade
7,Interest Expense,-,-,-1243,-1268,-517.11,-422.02,-453.44,-999.27,-1460,-435.58,-7.12,-127.84,-131.26,-27.78,-11.62,-346.76,-236.08,-17.5,-,-352.26,Upgrade
8,Interest & Investment Income,647.01,341.4,294.76,205.38,-,18.23,47.42,4.37,54.38,17.14,100.81,24.83,28.96,48.05,217.74,3.33,17.93,432.55,349.47,1.33,Upgrade
9,Currency Exchange Gain (Loss),24.28,-,-,-,-0.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
