,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+9 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+9 Quarters
0,Market Capitalization,393282,265858,313052,235969,228103,298894,185629,185629,201360,231250,242261,207653,237542,209226,173044,149447,135289,124277,89668,89668,89668,Upgrade
1,Market Cap Growth,-11.05%,-11.05%,68.64%,27.12%,13.28%,29.25%,-23.38%,-10.61%,-15.23%,10.53%,40.00%,38.95%,75.58%,68.35%,92.98%,66.67%,50.88%,38.60%,0%,5.56%,5.56%,Upgrade
2,Enterprise Value,303715,209571,242540,257988,250122,306330,198239,205539,268498,223867,234879,191844,235005,206704,147591,127074,151735,95225,72940,72940,109549,Upgrade
3,Last Close Price,25000.00,16900.00,19900.00,15000.00,13085.37,17146.34,10648.78,10648.78,10478.61,12034.02,12607.07,10806.06,11779.76,10375.55,8581.29,7411.11,6310.45,5796.81,3742.24,3742.24,3742.24,Upgrade
4,PE Ratio,8.79,5.58,7.97,6.58,7.53,11.89,6.48,6.87,8.00,8.19,9.65,8.16,10.97,15.44,14.83,13.50,13.74,13.56,11.59,12.21,9.47,Upgrade
5,PS Ratio,0.43,0.29,0.32,0.26,0.27,0.41,0.27,0.28,0.32,0.33,0.36,0.31,0.37,0.38,0.34,0.32,0.32,0.29,0.21,0.21,0.20,Upgrade
6,PB Ratio,1.77,1.20,1.49,1.16,1.11,1.46,0.94,0.96,0.99,1.17,-,1.08,1.21,1.12,0.95,0.83,0.74,0.68,0.50,-,0.48,Upgrade
7,P/TBV Ratio,1.20,1.20,1.49,1.16,1.11,1.46,0.94,0.96,0.99,1.17,-,1.08,1.21,1.12,0.95,0.83,0.74,0.68,0.50,-,0.48,Upgrade
8,P/FCF Ratio,2.90,1.96,-,2.19,2.96,-,2.89,443.54,-8.67,-,-,-36.79,91.04,7.43,-,27.93,5.50,-,-,1.31,1.10,Upgrade
9,P/OCF Ratio,1.92,1.92,-,2.17,2.94,-,2.85,128.65,-9.84,-,-,-76.68,60.40,7.31,-,26.20,5.48,-,-,1.19,1.01,Upgrade
10,EV/Sales Ratio,0.33,0.23,0.25,0.28,0.29,0.42,0.29,0.31,0.42,0.32,0.35,0.28,0.37,0.37,0.29,0.27,0.35,0.22,0.17,0.17,0.24,Upgrade
11,EV/EBITDA Ratio,5.37,3.49,4.41,4.97,5.54,7.61,4.70,5.10,7.02,5.39,6.07,5.00,7.30,9.41,8.38,7.63,9.00,5.86,5.03,4.99,6.18,Upgrade
12,EV/EBIT Ratio,5.69,3.69,4.69,5.34,6.06,8.54,5.30,5.82,8.10,6.15,7.14,5.90,8.97,13.11,12.28,11.60,13.67,9.14,8.42,7.95,8.66,Upgrade
13,EV/FCF Ratio,2.24,1.55,-,2.39,3.25,-,3.09,491.11,-11.56,-,-,-33.99,90.07,7.34,-,23.75,6.17,-,-,1.06,1.34,Upgrade
14,Debt / Equity Ratio,-,-,-,-,0.16,0.16,0.08,0.11,0.11,0.39,-,0.00,0.00,0.03,0.03,0.00,0.00,0.16,0.00,-,0.00,Upgrade
15,Debt / EBITDA Ratio,-,-,-,-,0.47,1.02,0.69,0.38,0.46,1.95,-,0.01,0.00,0.21,0.33,0.02,0.02,2.67,0.06,-,0.04,Upgrade
16,Debt / FCF Ratio,-,-,-,-,0.42,-,0.25,50.53,-0.99,-,-,-0.04,0.11,0.22,-,0.08,0.02,-,-,-,0.01,Upgrade
17,Asset Turnover,1.98,2.56,-,-,2.99,1.90,3.40,-,-,-,3.44,3.59,2.56,1.79,3.29,2.26,1.73,-,-,2.40,Upgrade,
18,Inventory Turnover,4.26,3.51,5.83,-,-,4.51,2.84,4.99,-,-,-,5.04,4.62,3.74,3.54,7.30,3.74,2.82,-,-,4.06,Upgrade
19,Quick Ratio,1.17,1.17,2.18,2.15,-,1.36,1.37,1.45,1.15,0.97,-,1.40,1.67,1.06,1.84,3.28,2.81,1.45,2.33,-,4.02,Upgrade
20,Current Ratio,2.68,2.68,3.83,3.35,-,3.32,3.74,3.24,3.69,2.51,-,3.95,4.77,4.28,4.59,5.81,5.82,3.73,5.52,-,7.89,Upgrade
21,Return on Equity (ROE),20.98%,13.42%,31.60%,25.89%,11.85%,7.27%,21.27%,-,-,-,17.91%,23.45%,7.25%,4.97%,10.77%,6.74%,3.23%,-,-,5.21%,Upgrade,
22,Return on Assets (ROA),9.63%,7.15%,-,-,6.34%,4.39%,11.73%,-,-,-,10.81%,14.99%,5.42%,2.51%,5.12%,4.40%,1.44%,-,-,3.77%,Upgrade,
23,Return on Capital (ROIC),14.08%,9.84%,22.63%,17.46%,7.82%,5.56%,14.65%,-,-,-,13.81%,18.65%,6.69%,3.03%,6.08%,5.13%,1.68%,-,-,4.28%,Upgrade,
24,Return on Capital Employed (ROCE),24.08%,25.63%,24.57%,23.73%,-,17.49%,19.04%,18.30%,16.31%,18.42%,-,16.93%,13.37%,8.46%,6.61%,6.10%,6.03%,5.73%,4.80%,-,6.81%,Upgrade
