,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1333,470,523,453,1045,1254,1707,1951,1411,535,772,Upgrade
1,Market Cap Growth,3.85%,3.85%,-50.00%,-63.89%,-38.78%,-35.71%,20.99%,264.88%,82.88%,-74.31%,-60.19%,Upgrade
2,Last Close Price,0.15,0.05,0.06,0.05,0.12,0.14,0.20,0.22,0.16,0.15,0.21,Upgrade
3,PS Ratio,8.04,2.84,-1.81,-0.62,-0.97,-0.93,-2.15,-1.45,-0.91,-1.75,-,Upgrade
4,PB Ratio,-0.27,-0.27,-0.32,-0.34,-1.43,-0.65,-3.44,2.42,1.02,0.23,0.30,Upgrade
5,P/FCF Ratio,0.77,0.77,0.53,0.88,-,0.52,1.22,3.02,1.41,1.05,-,Upgrade
6,P/OCF Ratio,0.77,0.77,0.53,0.87,-,0.52,1.22,3.00,1.40,1.05,-,Upgrade
7,Debt / Equity Ratio,-2.42,-2.42,-3.22,-4.67,-8.45,-4.58,-18.70,14.17,9.26,4.58,7.44,Upgrade
8,Debt / FCF Ratio,6.77,6.77,5.41,11.90,-,3.68,6.62,17.63,12.77,21.11,-,Upgrade
9,Earnings Yield,-27.46%,7.26%,-108.46%,-300.46%,-218.21%,-213.36%,-97.58%,-132.12%,-189.57%,-86.99%,-,Upgrade
10,FCF Yield,130.16%,130.16%,188.63%,114.08%,80.98%,190.66%,82.09%,33.17%,70.99%,94.83%,-,Upgrade
11,Buyback Yield / Dilution,-,-,-,-,-,-26.23%,-40.47%,-,-72.78%,-,Upgrade,
12,Total Shareholder Return,-,-,-,-,-,-26.23%,-40.47%,-,-72.78%,-,Upgrade,
