,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,1991,1510,1639,2080,2018,2913,3430,-,-,-,-,-,-
1,Market Cap Growth,-48.18%,-48.18%,-52.21%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2035,1554,1655,1907,1696,2592,3562,-,-,-,-,-,-
3,Last Close Price,20.56,15.59,16.93,21.38,20.43,29.50,34.73,-,-,-,-,-,-
4,PE Ratio,-,-22.32,-,-,-,49.92,-,-,-,-,-,-,-
5,PS Ratio,3.21,2.44,3.46,3.80,3.50,4.91,4.50,-,-,-,-,-,-
6,PB Ratio,2.39,1.81,1.96,2.39,2.24,3.10,3.90,-,-,-,-,-,-
7,P/TBV Ratio,1.91,1.91,2.07,2.51,2.31,3.20,4.04,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-21.03,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,524.13,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.29,2.51,3.49,3.49,2.94,4.37,4.68,-,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,-,-,-,55.70,34.71,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-,69.19,37.98,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,-17.68,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.32,0.32,0.32,0.30,0.22,0.20,0.26,0.57,0.57,0.57,-,-,0.60
15,Debt / EBITDA Ratio,-,-,-,-,-,1.23,3.20,9.78,-,0.58,-,-,-
16,Debt / FCF Ratio,-,-,-,-,-2.07,-,-,-,-,-1.92,-,-,-
17,Asset Turnover,-,0.06,0.35,0.11,0.47,0.27,-,-,-,-,-,-,
18,Inventory Turnover,-,-,0.20,1.56,0.54,1.46,0.76,-,-,-,-,-,-
19,Quick Ratio,-,-,0.69,0.84,0.99,1.32,1.26,0.80,-,0.84,-,-,-
20,Current Ratio,-,-,1.36,1.52,1.60,1.82,1.75,1.19,-,1.21,-,-,-
21,Return on Equity (ROE),-0.40%,-15.92%,-1.78%,-12.56%,26.57%,-0.27%,17.04%,-19.13%,-,-,-,-,
22,Return on Assets (ROA),-,-3.92%,-1.00%,-3.98%,4.58%,2.47%,-,-,-,-,-,-,
23,Return on Capital (ROIC),-2.39%,-7.28%,-1.77%,-6.80%,7.57%,4.54%,0.85%,-5.82%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,-,-,-,3.55%,9.24%,14.04%,-,11.21%,-,-,-
25,Earnings Yield,-3.40%,-4.48%,-0.57%,1.12%,2.37%,2.00%,3.17%,-,-,-,-,-,-
26,FCF Yield,-,-9.91%,-9.50%,-4.76%,-6.86%,-3.66%,-,-,-,-,-,-,
27,Dividend Yield,0.97%,-,-,-,-,0.68%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,-,-,-,13.18%,-,2.03%,-,-,-
29,Buyback Yield / Dilution,-19.22%,15.69%,-10.53%,-95.94%,-31.85%,-55.87%,-18.51%,-,-,-,-,-,-
30,Total Shareholder Return,-18.25%,15.69%,-10.53%,-95.94%,-31.85%,-55.19%,-18.51%,-,-,-,-,-,-
