,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,230.1,256.31,375.09,310.67,550.43,84.85,-,165.44,-,-,-
1,Short-Term Investments,-,-,-,-,144.51,-,-,-,3.28,-,-,-
2,Cash & Short-Term Investments,230.1,230.1,256.31,375.09,455.18,550.43,84.85,168.73,168.73,-,-,254.53
3,Cash Growth,-49.45%,-58.20%,202.07%,122.31%,169.78%,-,-,-33.71%,-,-,-,-
4,Accounts Receivable,-,589.28,581.64,544.61,593.59,485.03,512.69,-,504.11,-,-,-
5,Other Receivables,-,17.89,11.13,11.57,0.11,7.14,4.12,-,0.02,-,-,-
6,Receivables,-,607.17,592.77,556.18,593.7,492.17,516.81,-,504.13,-,-,-
7,Inventory,-,534.21,332.83,340.75,332.54,352.06,251.27,-,251.75,-,-,-
8,Other Current Assets,-,291.93,341.99,243.68,65.01,55.19,45.39,-,47.88,-,-,-
9,Total Current Assets,-,1663,1524,1516,1446,1450,898.32,-,972.49,-,-,-
10,"Property, Plant & Equipment",-,408.11,392.01,375.33,324.19,307.65,303.87,-,294.65,-,-,-
11,Other Intangible Assets,-,36.51,33.91,26.54,26.74,26.99,27.15,-,27.65,-,-,-
12,Long-Term Accounts Receivable,-,-,-,-,0.41,-,-,-,2.73,-,-,-
13,Long-Term Deferred Tax Assets,-,28.42,23.44,18.52,16.44,19.03,15.14,-,13.82,-,-,-
14,Long-Term Deferred Charges,-,5.47,4.78,4.91,5.15,3.45,3.57,-,4.17,-,-,-
15,Other Long-Term Assets,-,23.56,10.2,18.28,30.35,34.51,16,-,5.14,-,-,-
16,Total Assets,-,2165,1988,1959,1850,1841,1264,-,1321,-,-,-
17,Accounts Payable,-,624.15,571.36,564.97,557.35,585.15,519.17,-,523.47,-,-,-
18,Accrued Expenses,-,9.12,30.82,9.02,31.46,8.86,8.77,-,32.07,-,-,-
19,Short-Term Debt,-,135,130.08,70.04,62.14,60.07,46.14,-,35.06,-,-,-
20,Current Portion of Long-Term Debt,-,21.14,19.66,19.34,15.48,44.46,44.42,-,56.9,-,-,-
21,Current Portion of Leases,-,-,3.31,-,3.01,-,-,-,2.42,-,-,-
22,Current Income Taxes Payable,-,7.3,3.48,4.51,0.11,4.27,2.79,-,2.26,-,-,-
23,Current Unearned Revenue,-,273.6,130.17,175.39,53.02,69.74,41.42,-,77.68,-,-,-
24,Other Current Liabilities,-,148.55,116.17,101.25,72.33,53.66,91.2,-,74.77,-,-,-
25,Total Current Liabilities,-,1219,1005,944.53,794.89,826.2,753.91,-,804.63,-,-,-
26,Long-Term Debt,-,98.95,98.3,107.92,108.38,117.68,117.86,-,115.4,-,-,-
27,Long-Term Leases,-,11.72,12.07,0.87,2.4,2.77,3.47,-,4.85,-,-,-
28,Long-Term Unearned Revenue,-,0.42,0.47,2.88,2.95,12.63,12.69,-,19.86,-,-,-
29,Long-Term Deferred Tax Liabilities,-,0.46,2.35,0.6,0.7,1.01,1.01,-,1.1,-,-,-
30,Other Long-Term Liabilities,-,-,-,-,-,1.34,1.48,-,-,-,-,-
31,Total Liabilities,-,1330,1118,1057,909.32,961.63,890.43,-,945.84,-,-,-
32,Common Stock,-,97.75,97.75,97.75,97.75,97.75,73.32,-,73.32,-,-,-
33,Additional Paid-In Capital,-,783.68,783.66,783.26,782.85,782.78,300.56,-,299.75,-,-,-
34,Retained Earnings,-,-33.52,-0.67,27.17,55.67,-4.79,-4.54,-,-2.68,-,-,-
35,Treasury Stock,-,-20.05,-19,-9.39,-,-,-,-,-,-,-,-
36,Total Common Equity,827.87,827.87,861.74,898.78,936.27,875.74,369.34,370.39,370.39,-,-,302.2
37,Minority Interest,-,7.19,8.27,3.7,4.11,4.12,4.28,-,4.41,-,-,-
