,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,360.13,43.22,162.05,52.84,201.96,110.48,197.35,69.84,357.9,133.58,76.04,76.04
1,Other Revenue,-,-12.12,12.12,-,13.99,-6.59,6.59,-,25.93,-,-,-
2,Revenue,360.13,31.09,174.17,52.84,215.95,103.89,203.94,69.84,383.82,133.58,76.04,76.04
3,Revenue Growth (YoY),66.76%,-70.07%,-14.60%,-24.35%,-43.74%,-22.23%,168.21%,-8.14%,-,-,-,-
4,Cost of Revenue,-198.41,21.28,131.44,45.69,124.92,57.46,164.95,60.85,265.44,127.57,62.02,62.02
5,Gross Profit,558.54,9.81,42.73,7.15,91.03,46.43,38.99,9,118.38,6.01,14.01,14.01
6,"Selling, General & Admin",-62.25,21.94,20.1,20.21,19.38,18.28,17.33,15.47,15.24,14.58,12.89,12.89
7,Research & Development,-51.89,15.62,16.64,19.63,21.04,16.59,16.23,12.63,10.31,13.1,13.81,13.81
8,Other Operating Expenses,708.28,-7.37,3.14,-4.5,2.04,-10.06,3.21,-1.01,11.65,-10.87,-4.84,-4.84
9,Operating Expenses,569.06,42.37,50.62,37.5,57.19,31.1,36.99,22.72,28.23,12.84,26.76,26.76
10,Operating Income,-10.52,-32.56,-7.89,-30.35,33.85,15.33,2,-13.72,90.15,-6.83,-12.75,-12.75
11,Interest Expense,-3.62,-2.35,-3.62,-0.79,-3.26,-0.84,-0.93,-1.24,-3.2,-0.8,-1.2,-1.2
12,Interest & Investment Income,6.77,1.74,1.16,0.72,0.58,1.18,0.7,1.6,1.39,1.07,0.4,0.4
13,Currency Exchange Gain (Loss),-,0.05,-0.05,-,0.51,0.12,-0.12,-,1.21,-,-,-
14,Other Non Operating Income (Expenses),1.58,-0.84,-0.36,-0.28,0.04,0.2,-0.36,0.18,0.03,-0.34,-0.01,-0.01
15,EBT Excluding Unusual Items,-5.8,-33.97,-10.76,-30.7,31.71,15.99,1.29,-13.19,89.58,-6.89,-13.56,-13.56
16,Gain (Loss) on Sale of Investments,-0.04,0.04,-,-,-,-,-,-,0.08,-0.08,-,-
17,Gain (Loss) on Sale of Assets,0.1,-,-0.1,-,-,-,-,-,0.02,-,-,-
18,Asset Writedown,1.95,-1.95,0.4,-0.4,11.8,-11.8,6.95,-6.95,9.54,0.45,-4.99,-4.99
19,Legal Settlements,-,-,-,-,-,-,-,-,-0.33,-,-,-
20,Other Unusual Items,-0.14,-6.58,6.72,-0,19.6,-8.5,8.5,-,15.21,-,-,-
21,Pretax Income,-3.92,-42.46,-3.74,-31.1,63.11,-4.31,16.74,-20.14,114.1,-6.52,-18.56,-18.56
22,Income Tax Expense,-3.08,-8.53,0.2,-2.18,2.65,-3.89,0.8,-2.21,3.7,0.52,-1.06,-1.06
23,Earnings From Continuing Operations,-0.84,-33.93,-3.95,-28.92,60.45,-0.42,15.94,-17.93,110.4,-7.05,-17.5,-17.5
24,Minority Interest in Earnings,3.03,1.08,-4.52,0.42,0.01,0.16,0.1,0.03,0.45,-1.07,-0.5,-0.5
25,Net Income,2.19,-32.85,-8.47,-28.51,60.46,-0.25,16.04,-17.89,110.85,-8.12,-18,-18
26,Net Income to Common,2.19,-32.85,-8.47,-28.51,60.46,-0.25,16.04,-17.89,110.85,-8.12,-18,-18
27,Net Income Growth,-96.38%,-,-,-,-45.45%,-,-,-,-,-,-,-
28,Shares Outstanding (Basic),96,96,96,98,113,87,49,75,73,74,-,-
29,Shares Outstanding (Diluted),96,96,96,98,113,87,49,75,73,74,-,-
30,Shares Change (YoY),-15.69%,10.53%,95.94%,31.85%,55.87%,18.51%,-,-,-,-,-,-
31,EPS (Basic),0.02,-0.34,-0.09,-0.29,0.53,-0.00,0.33,-0.24,1.52,-0.11,-,-
32,EPS (Diluted),0.02,-0.34,-0.09,-0.29,0.53,-0.00,0.33,-0.24,1.52,-0.11,-,-
33,EPS Growth,-95.71%,-,-,-,-65.01%,-,-,-,-,-,-,-
34,Free Cash Flow,-,-27.27,-132.38,55.75,-58.56,-62.35,-30.79,-48.17,15.63,-43.57,-41.99,-41.99
35,Free Cash Flow Per Share,-,-0.28,-1.37,0.57,-0.52,-0.72,-0.63,-0.65,0.21,-0.59,-,-
36,Dividend Per Share,-,-,-,-,0.200,-,-,-,-,-,-,-
37,Gross Margin,155.09%,31.55%,24.54%,13.54%,42.15%,44.69%,19.12%,12.88%,30.84%,4.50%,18.43%,18.43%
38,Operating Margin,-2.92%,-104.73%,-4.53%,-57.43%,15.67%,14.76%,0.98%,-19.64%,23.49%,-5.11%,-16.77%,-16.77%
39,Profit Margin,0.61%,-105.64%,-4.86%,-53.95%,28.00%,-0.24%,7.86%,-25.62%,28.88%,-6.08%,-23.67%,-23.67%
40,Free Cash Flow Margin,-,-87.71%,-76.01%,105.51%,-27.12%,-60.01%,-15.10%,-68.97%,4.07%,-32.62%,-55.23%,-55.23%
41,EBITDA,-8.08,-30.12,-4.61,-27.9,36.29,17.56,4.17,-11.49,92.38,-4.95,-10.87,-10.87
42,EBITDA Margin,-2.24%,-96.87%,-2.64%,-52.81%,16.81%,16.90%,2.05%,-16.46%,24.07%,-3.70%,-14.30%,-14.30%
43,D&A For EBITDA,2.44,2.44,3.28,2.44,2.44,2.23,2.17,2.23,2.23,1.88,1.88,1.88
44,EBIT,-10.52,-32.56,-7.89,-30.35,33.85,15.33,2,-13.72,90.15,-6.83,-12.75,-12.75
45,EBIT Margin,-2.92%,-104.73%,-4.53%,-57.43%,15.67%,14.76%,0.98%,-19.64%,23.49%,-5.11%,-16.77%,-16.77%
46,Effective Tax Rate,-,-,-,-,4.20%,-,4.76%,-,3.25%,-,-,-
47,Revenue as Reported,-,31.09,174.17,52.84,215.95,103.89,203.94,69.84,383.82,285.65,-,-
