,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,2705,2568,2713,2817,2438,2479,431.24,461.1,-,-,-
1,Trading Asset Securities,-,0.28,0.25,0.28,0.29,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,2706,2706,2568,2713,2817,2438,2479,431.24,461.1,-,-,191.69
3,Cash Growth,-3.94%,11.00%,3.59%,529.08%,510.88%,-,-,124.97%,-,-,-,-
4,Accounts Receivable,-,1561,1645,1770,1651,1746,1704,1353,1336,-,-,-
5,Other Receivables,-,18.96,13.15,9.79,10.14,10.83,12.25,10.28,10.94,-,-,-
6,Receivables,-,1580,1658,1780,1661,1757,1716,1363,1347,-,-,-
7,Inventory,-,685.54,674.35,605.33,550.89,659.37,601.11,556.74,475.83,-,-,-
8,Prepaid Expenses,-,-,0.02,-,-,-,-,3.9,3.36,-,-,-
9,Other Current Assets,-,62.33,41.12,38.89,18.7,33.09,25.13,26.11,22.17,-,-,-
10,Total Current Assets,-,5034,4942,5137,5047,4887,4821,2381,2309,-,-,-
11,"Property, Plant & Equipment",-,302.23,300.44,299.62,303.98,280.57,278.64,279.45,282.95,-,-,-
12,Long-Term Investments,-,49.03,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,-,78.25,76.88,76.71,77.43,72.75,62.12,59.76,60.17,-,-,-
14,Long-Term Deferred Tax Assets,-,23.79,24.09,23.78,22.27,21.46,20.96,18.5,17.51,-,-,-
15,Long-Term Deferred Charges,-,2.06,2.2,2.47,2.64,7.42,4.43,4.36,2.27,-,-,-
16,Other Long-Term Assets,-,25.09,27.03,19.96,15.79,3.69,7.7,7.73,8.47,-,-,-
17,Total Assets,-,5514,5372,5560,5470,5273,5195,2751,2681,-,-,-
18,Accounts Payable,-,905.25,867.6,873.6,812.76,823.78,810.81,629,566.74,-,-,-
19,Accrued Expenses,-,46.09,64.08,86.39,157.44,89.77,108.37,93.83,141.25,-,-,-
20,Current Portion of Leases,-,5.48,5.33,3.85,4.91,3.83,3.8,3.64,4.11,-,-,-
21,Current Income Taxes Payable,-,23.36,14.35,42.44,9.27,27.96,16.72,15.87,11.35,-,-,-
22,Current Unearned Revenue,-,61.78,7.95,7.08,12.79,6.8,18.14,22.72,43.82,-,-,-
23,Other Current Liabilities,-,138.89,151.78,214.59,241.65,204.11,212.47,231.18,266.99,-,-,-
24,Total Current Liabilities,-,1181,1111,1228,1239,1156,1170,996.24,1034,-,-,-
25,Long-Term Leases,-,1.18,2.81,2.37,2.35,1.4,3.31,3.48,3.72,-,-,-
26,Long-Term Unearned Revenue,-,10.79,13.65,9.61,9.74,10.11,10.92,11.51,11.94,-,-,-
27,Long-Term Deferred Tax Liabilities,-,1.11,1.38,1,1.2,-,-,-,1.11,-,-,-
28,Other Long-Term Liabilities,-,34.87,35.85,40.74,40.9,39.02,39.94,37.56,36.72,-,-,-
29,Total Liabilities,-,1229,1165,1282,1293,1207,1224,1049,1088,-,-,-
30,Common Stock,-,433,433,433,433,433,433,360,360,-,-,-
31,Additional Paid-In Capital,-,2787,2787,2787,2787,2787,2787,716.06,701.05,-,-,-
32,Retained Earnings,-,1054,976.44,1047,946.88,835.71,740.5,615.75,522.37,-,-,-
33,Comprehensive Income & Other,-,11.58,11.37,11.06,9.97,10.42,10.27,9.99,9.5,-,-,-
34,Shareholders' Equity,4285,4285,4207,4278,4177,4066,3970,1702,1593,-,-,1139
35,Total Liabilities & Equity,-,5514,5372,5560,5470,5273,5195,2751,2681,-,-,-
36,Total Debt,6.67,6.67,8.14,6.22,7.26,5.23,7.11,7.12,7.83,-,-,2.82
37,Net Cash (Debt),2699,2699,2560,2707,2810,2432,2472,424.13,453.27,-,-,188.87
38,Net Cash Growth,-3.93%,10.96%,3.56%,538.17%,519.83%,-,-,124.56%,-,-,-,-
39,Net Cash Per Share,6.03,6.26,6.01,6.20,6.38,5.64,6.94,1.18,1.25,-,-,0.53
40,Filing Date Shares Outstanding,433,433,433,433,433,433,433,360,360,357.56,366.43,356.21
41,Total Common Shares Outstanding,433,433,433,433,433,433,433,360,360,357.56,366.43,356.21
42,Working Capital,-,3853,3831,3909,3809,3730,3651,1385,1275,-,-,-
43,Book Value Per Share,9.90,9.90,9.72,9.88,9.65,9.39,9.17,4.73,4.42,-,-,3.16
44,Tangible Book Value,4207,4207,4131,4201,4099,3993,3908,1642,1533,-,-,1079
45,Tangible Book Value Per Share,9.72,9.72,9.54,9.70,9.47,9.22,9.03,4.56,4.26,-,-,3.00
46,Buildings,-,-,171.76,-,171.67,-,168.71,168.71,168.71,-,-,-
47,Machinery,-,-,222.45,-,213.17,-,164.13,158.26,158.05,-,-,-
48,Construction In Progress,-,-,8.25,-,10.13,-,24.54,25.99,24.5,-,-,-
