,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,9669,8318,8409,8829,10085,11782,11752,11535,-,-,-,-,-
1,Market Cap Growth,-29.40%,-29.40%,-28.45%,-23.46%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6970,5619,5849,6122,7275,9350,9280,11111,-,-,-,-,-
3,Last Close Price,22.33,19.21,19.42,20.39,22.86,26.70,26.63,26.14,-,-,-,-,-
4,PE Ratio,28.63,24.50,21.48,21.58,23.37,27.75,26.93,27.02,-,-,-,-,-
5,Forward PE,23.02,10.23,10.23,14.06,-,-,-,-,-,-,-,-,-
6,PS Ratio,5.22,4.47,4.48,4.58,4.57,5.34,5.57,5.37,-,-,-,-,-
7,PB Ratio,2.26,1.94,1.96,2.10,2.36,2.82,2.89,2.91,-,-,-,-,-
8,P/TBV Ratio,1.98,1.98,2.00,2.14,2.40,2.87,2.94,2.95,-,-,-,-,-
9,P/FCF Ratio,-,-,17.10,31.82,-,51.06,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,15.82,27.49,-,44.37,-,-,-,-,-,-,-
11,EV/Sales Ratio,3.75,3.02,3.11,3.17,3.30,4.24,4.40,5.17,-,-,-,-,-
12,EV/EBITDA Ratio,18.48,14.89,14.88,14.94,15.64,19.76,19.09,23.01,-,-,-,-,-
13,EV/EBIT Ratio,19.82,15.98,15.92,15.88,16.45,20.70,19.92,23.95,-,-,-,-,-
14,EV/FCF Ratio,-,-,11.90,22.07,-,40.52,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00
16,Debt / EBITDA Ratio,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.02,-,-,0.01
17,Debt / FCF Ratio,-,-,0.01,0.03,-,0.03,-,-,-,0.03,-,-,-
18,Asset Turnover,-,0.28,0.26,0.34,0.49,0.33,0.64,0.69,-,-,-,-,
19,Inventory Turnover,-,-,1.22,1.13,1.72,2.54,1.40,2.38,1.83,-,-,-,-
20,Quick Ratio,-,-,3.63,3.80,3.66,3.61,3.63,3.58,1.80,1.75,-,-,-
21,Current Ratio,-,-,4.26,4.45,4.18,4.07,4.23,4.12,2.39,2.23,-,-,-
22,Return on Equity (ROE),5.53%,7.31%,9.65%,9.50%,10.78%,9.48%,17.59%,22.69%,-,-,-,-,
23,Return on Assets (ROA),-,3.88%,3.95%,4.54%,4.49%,4.90%,9.00%,10.10%,-,-,-,-,
24,Return on Capital (ROIC),4.70%,4.96%,5.08%,5.92%,5.84%,6.37%,12.57%,16.58%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,8.48%,9.05%,10.21%,10.68%,11.32%,11.53%,25.94%,27.08%,-,-,-
26,Earnings Yield,3.51%,4.08%,4.66%,4.63%,4.28%,3.60%,3.71%,3.70%,-,-,-,-,-
27,FCF Yield,-,5.85%,3.14%,1.55%,1.96%,1.21%,1.14%,-,-,-,-,-,
28,Dividend Yield,1.76%,-,-,-,-,1.50%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,169.28%,-,-,-,-,-,-,-,-,-
30,Buyback Yield / Dilution,-9.73%,-1.64%,0.04%,-19.70%,-21.52%,-21.61%,-20.59%,2.85%,-0.90%,-,-,-,-
31,Total Shareholder Return,-7.97%,-1.64%,0.04%,-19.70%,-21.52%,-20.11%,-20.59%,2.85%,-0.90%,-,-,-,-
