,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,645.84,390.97,355,469,657.02,441.91,632.8,467.51,565.12,477.41,500.66,421.65
1,Other Revenue,-,-3.56,3.56,-,6.94,-3.85,3.85,-,3.45,-1.9,0.83,1.07
2,Revenue,645.84,387.41,358.56,469,663.96,438.06,636.66,467.51,568.57,475.51,501.49,422.72
3,Revenue Growth (YoY),-2.73%,-11.56%,-43.68%,0.32%,16.78%,-7.88%,26.95%,10.59%,-,-,-,-
4,Cost of Revenue,-635.63,207.03,180.47,248.13,384.05,221.35,343.91,236.43,301.52,259.66,263.08,218.64
5,Gross Profit,1281,180.38,178.09,220.86,279.91,216.7,292.74,231.08,267.05,215.85,238.41,204.08
6,"Selling, General & Admin",-194.27,64.72,50.56,79,128.68,72.12,98.21,72.41,107.38,69.17,63.9,63.59
7,Research & Development,-100.74,31.96,34.56,34.22,74.24,39.72,33.09,36.84,59.77,44.82,35.82,26.42
8,Other Operating Expenses,1518,-6.01,-1.64,-1.68,-7.2,-1.93,-2.93,-1.66,-0.76,-1.61,0.58,3.39
9,Operating Expenses,1201,95.96,91.7,120.66,183.5,114.14,149.74,121.36,156.39,115.29,104.33,103.53
10,Operating Income,80.64,84.42,86.39,100.21,96.41,102.56,143,109.72,110.66,100.56,134.08,100.55
11,Interest Expense,-34.71,-0.08,-0.13,-0.07,-2.47,-0.08,-0.06,-0.07,-0.78,-0.05,-0.16,-0.02
12,Interest & Investment Income,0.28,11.51,9.72,13.48,12.53,10.94,2.01,1.85,0.79,0.8,1.06,0.29
13,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-1.34,-
14,Currency Exchange Gain (Loss),-,0.56,-0.56,-,-0.22,-0.13,0.13,-,-0.09,0.03,-0.01,-0.02
15,Other Non Operating Income (Expenses),1.01,28.18,-6.93,6.52,-1.65,0.18,-0.03,1.05,2.6,0.3,-3.66,-0.12
16,EBT Excluding Unusual Items,47.22,124.59,88.48,120.14,104.6,113.49,145.04,112.54,113.19,101.65,129.96,100.67
17,Gain (Loss) on Sale of Investments,0.02,0.03,-0.03,-0.01,0,-,-,-,-6.83,6.83,-6.83,-
18,Gain (Loss) on Sale of Assets,0,-0.01,0,0.01,0.01,0.02,-0.02,0.23,-0.02,0.02,-0.02,-0.36
19,Asset Writedown,0.59,-0.59,0.04,-0.04,0.11,-0.11,0.06,-0.06,6.83,-6.83,0.06,-0.06
20,Other Unusual Items,-,-31.66,31.66,-,4.37,-0.62,0.62,-,14.21,-1.06,-1.36,2.42
21,Pretax Income,47.83,92.36,120.14,120.1,109.08,112.78,145.71,112.71,127.38,100.6,121.81,102.68
22,Income Tax Expense,-11.41,14.79,17.83,19.65,-2.03,17.57,20.96,19.26,4.4,14.83,19.42,17.19
23,Net Income,59.24,77.57,102.31,100.45,111.11,95.21,124.74,93.44,122.99,85.77,102.4,85.49
