,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2962,1315,1171,1348,1752,1788,1879,2059,1734,2120,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-26.49%,-26.49%,-37.65%,-34.52%,0.99%,-15.64%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2467,676,643,585,989,1015,1089,1290,966,1678,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,74.65,33.13,29.47,33.54,43.58,44.50,46.74,50.93,42.90,52.44,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,124.51,55.72,48.23,53.59,73.41,69.81,73.36,72.74,47.02,44.67,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,9.75,4.36,3.94,4.42,5.75,6.58,6.83,7.12,5.37,5.49,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,3.69,1.64,1.47,1.70,2.20,2.26,2.39,2.60,2.21,2.73,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,1.64,1.64,1.47,1.70,2.20,2.26,2.39,2.60,2.21,2.73,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,175.17,57.23,-,28.67,93.03,-,-,-,155.74,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,74.22,55.30,-,27.92,86.61,-,-,-,155.57,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,8.19,2.25,2.16,1.92,3.24,3.74,3.96,4.47,2.99,4.34,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,134.57,119.36,110.91,73.03,-,78.85,74.37,62.72,29.07,43.59,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,205.77,169.25,154.41,90.81,-,89.22,82.79,67.57,30.41,45.31,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,145.88,29.45,-,12.45,52.53,-,-,-,86.75,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03,0.03
15,Debt / EBITDA Ratio,0.54,0.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.17,0.17
16,Debt / FCF Ratio,0.16,0.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11,0.23
17,Asset Turnover,0.31,0.30,0.27,0.49,0.30,0.34,0.28,0.35,0.38,-,-,-,-,-,-,1.08,1.13,0.89,-,
18,Inventory Turnover,13.49,11.14,14.95,12.07,24.94,15.05,14.77,9.89,14.53,17.26,-,-,-,-,-,-,25.19,26.28,20.24,-
19,Quick Ratio,6.76,6.76,10.65,6.19,5.42,12.25,12.43,11.83,7.68,9.34,5.34,-,3.61,-,-,-,3.07,3.07,3.19,3.19
20,Current Ratio,9.14,9.14,10.93,7.29,5.61,12.50,12.70,12.12,7.95,9.56,5.51,-,3.84,-,-,-,3.38,3.38,3.37,3.37
21,Return on Equity (ROE),2.50%,3.18%,3.88%,2.26%,2.85%,3.65%,3.26%,3.22%,3.69%,8.92%,13.90%,-,-,-,18.58%,18.58%,19.49%,20.74%,-,
22,Return on Assets (ROA),0.25%,0.38%,1.07%,-0.59%,0.30%,1.06%,0.95%,0.99%,0.99%,-,-,-,-,-,-,9.56%,10.02%,8.14%,-,
