,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,117.39,20.76,67.43,47.34,414.59,356.54,294.71,114.82,237.1,303.94,-,219.17,-,-,-,212.57,212.57,14.42,14.42
1,Short-Term Investments,-,150,-,50,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,380.51,467.36,460.7,467.05,347.86,416.5,494.84,468.57,531.21,138.47,-,242.09,-,-,-,189.76,189.76,372.5,372.5
3,Cash & Short-Term Investments,497.89,638.12,528.13,564.39,762.45,773.03,789.54,603.39,768.31,442.41,461.25,461.25,-,-,402.33,402.33,402.33,386.93,386.93
4,Cash Growth,-34.70%,-17.45%,-33.11%,-6.46%,-0.76%,74.73%,71.17%,30.81%,-,-,14.65%,14.65%,-,-,3.98%,-,-,-,-
5,Accounts Receivable,34.75,36.22,21.66,58.61,36.98,29.93,18.51,28.98,42.02,56.27,-,41.32,-,-,-,40.84,40.84,30.75,30.75
6,Other Receivables,2.53,13.93,0.96,4.86,1.38,1.18,1.33,3.24,1.5,1.28,-,0.97,-,-,-,0.06,0.06,0.03,0.03
7,Receivables,37.28,50.15,22.62,63.47,38.35,31.12,19.84,32.22,43.52,57.55,-,42.29,-,-,-,40.9,40.9,30.78,30.78
8,Inventory,22.31,14,12.42,16.42,12.16,13.8,16.24,19.43,12.56,10.52,-,23.26,-,-,-,15.78,15.78,14.47,14.47
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.16,0.16,0.3,0.3
10,Other Current Assets,166.06,4.2,85.11,5.45,4.43,3.72,3.56,3.22,6.21,4.65,-,8.87,-,-,-,28.2,28.2,8.92,8.92
11,Total Current Assets,723.54,706.46,648.28,649.72,817.39,821.67,829.18,658.25,830.59,515.13,-,535.67,-,-,-,487.36,487.36,441.4,441.4
12,"Property, Plant & Equipment",25.22,22.72,22.97,23.38,23.81,24.23,23.87,24.13,24.49,24.86,-,25.6,-,-,-,9.7,9.7,9.35,9.35
13,Long-Term Investments,15.46,131.13,16.02,231.9,15.64,5.72,5.98,181.15,9.55,9.52,-,9.58,-,-,-,9.62,9.62,9.62,9.62
14,Other Intangible Assets,0.94,0.38,0.4,0.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Long-Term Deferred Tax Assets,0.96,0.64,0.42,0.92,0.62,0.57,0.45,0.55,0.69,0.88,-,0.67,-,-,-,0.63,0.63,0.49,0.49
16,Long-Term Deferred Charges,-,-,-,-,0.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Other Long-Term Assets,122.95,5.86,199.86,10,-,-,-,3.74,-,-,-,-,-,-,-,-,-,0.03,0.03
18,Total Assets,889.07,867.19,887.96,916.35,858.29,852.2,859.49,867.82,865.33,550.38,-,571.52,-,-,-,507.31,507.31,460.89,460.89
19,Accounts Payable,73.26,59.66,82.11,107.55,57.94,54.67,59.76,72.78,77.32,83.4,-,126.36,-,-,-,137.93,137.93,104.72,104.72
20,Accrued Expenses,1.34,2.94,2.02,2.9,1.4,4.3,1.77,2.5,1.98,3.47,-,2.46,-,-,-,1.93,1.93,6.57,6.57
21,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.01,10.01
22,Current Income Taxes Payable,1.28,-,0.54,0.18,3.25,1.77,3.47,0.94,0.16,2.18,-,4.31,-,-,-,-,-,4.53,4.53
23,Current Unearned Revenue,2.05,1.17,3.28,3.42,1.45,2.45,2.04,2.73,3.54,0.92,-,2.61,-,-,-,0.69,0.69,0.43,0.43
24,Other Current Liabilities,1.2,0.89,1.04,1.73,1.33,1.5,1.4,3.81,3.9,3.6,-,3.8,-,-,-,3.65,3.65,4.86,4.86
25,Total Current Liabilities,79.12,64.66,88.99,115.78,65.38,64.68,68.44,82.76,86.9,93.57,-,139.54,-,-,-,144.19,144.19,131.12,131.12
26,Long-Term Leases,2.69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
