,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,67.05,65.9,59.77,108.34,63.42,73.46,59.5,75.11,66.97,87.26,93.23,138.71,109.46,112.78,111.74,136.76,136.76,102.48,102.48
1,Other Revenue,-0.04,0.04,-,0.14,-0.06,0.06,-,0.13,-0.06,0.06,-,-,-0.06,0.06,-,0.04,0.04,0.03,0.03
2,Revenue,67.01,65.93,59.77,108.48,63.36,73.52,59.5,75.24,66.91,87.32,93.23,138.71,109.4,112.84,111.74,136.8,136.8,102.51,102.51
3,Revenue Growth (YoY),5.76%,-10.32%,0.45%,44.17%,-5.30%,-15.81%,-36.18%,-45.76%,-38.84%,-22.61%,-16.57%,1.40%,-20.03%,10.08%,9.01%,-,-,-,-
4,Cost of Revenue,50.56,49.37,43.52,89.11,48.85,55.44,44.11,58.09,49.8,65.23,65.38,102.77,75.7,73.07,89.47,99.35,99.35,73.2,73.2
5,Gross Profit,16.45,16.57,16.25,19.37,14.51,18.08,15.39,17.15,17.11,22.09,27.85,35.94,33.71,39.77,22.27,37.45,37.45,29.3,29.3
6,"Selling, General & Admin",11.78,11.79,12.02,16.37,12.19,11.46,11.24,12.71,13.37,9.41,10.48,15.49,12.82,26.84,-,14.48,14.48,12.5,12.5
7,Research & Development,4.26,2.36,2.25,3.25,1.42,1.94,1.43,1.72,1.58,2.09,1.45,2.78,1.5,3.76,-,1.64,1.64,1.44,1.44
8,Other Operating Expenses,0.16,0.32,0.03,0.64,-0.45,0.42,0.03,0.02,0.05,0.26,-0.05,9.3,-2,-6.92,-,1.67,1.67,0.55,0.55
9,Operating Expenses,15.59,15.22,12.38,21.46,13.48,14.45,12.12,13.7,14.3,12.52,11.92,27.24,12.34,24.01,-,18.05,18.05,14.29,14.29
