,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1911,1776,1658,1718,2211,2370,2574,2354,2145,2259,3053,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-25.09%,-25.09%,-35.59%,-27.04%,3.08%,4.95%,-15.66%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1672,1563,1412,1495,1989,2209,2343,2002,1793,1820,3055,-,-,-,-,-,-,-,-,-
3,Last Close Price,23.42,21.76,20.32,20.79,26.77,28.70,31.17,28.27,25.76,27.12,36.66,-,-,-,-,-,-,-,-,-
4,PE Ratio,60.55,56.26,42.77,40.30,45.34,46.84,50.20,45.04,42.01,44.67,50.89,-,-,-,-,-,-,-,-,-
5,PS Ratio,3.07,2.85,2.76,2.74,3.17,3.08,3.08,2.85,2.65,2.88,4.01,-,-,-,-,-,-,-,-,-
6,PB Ratio,1.72,1.60,1.49,1.53,1.99,2.15,2.36,2.14,1.98,2.07,2.81,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,1.65,1.65,1.54,1.58,2.06,2.22,2.40,2.18,2.02,2.14,2.91,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,45.22,42.01,-,39.92,-60.51,-22.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,14.84,14.84,9.95,11.83,25.78,120.19,-,-,-,-,97.32,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.69,2.51,2.35,2.38,2.85,2.87,2.80,2.43,2.22,2.32,4.01,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,24.93,22.97,18.75,21.51,25.36,30.72,33.89,27.45,24.66,21.05,32.28,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,65.68,-,40.36,45.16,46.04,58.30,66.00,49.60,44.23,33.30,48.31,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,39.57,36.97,-,34.75,-54.42,-20.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-
