,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,185.66,160.24,130.91,136.92,160.92,190.21,200.46,205.61,229.43,178.19,183.41,185.13,210.2,191.35,160.82,181.3,181.3,150.89,150.89
1,Other Revenue,-4.21,4.21,-,8.54,-1.77,1.77,-,11.58,-2.06,2.06,-,8.31,-5.6,5.6,-,3.58,3.58,0.3,0.3
2,Revenue,181.45,164.45,130.91,145.46,159.15,191.98,200.46,217.19,227.36,180.25,183.41,193.44,204.6,196.95,160.82,184.88,184.88,151.2,151.2
3,Revenue Growth (YoY),14.01%,-14.34%,-34.70%,-33.03%,-30.00%,6.51%,9.30%,12.28%,11.12%,-8.48%,14.04%,4.63%,10.67%,30.26%,6.37%,-,-,-,-
4,Cost of Revenue,161.28,133.93,104.71,119.21,132.05,158.69,169.31,192.82,200.09,149.34,147.58,159.05,170.23,156.42,132.69,137.07,137.07,109.7,109.7
5,Gross Profit,20.16,30.52,26.2,26.25,27.09,33.29,31.14,24.37,27.27,30.91,35.83,34.39,34.38,40.53,28.13,47.81,47.81,41.49,41.49
6,"Selling, General & Admin",10.41,11.06,8.36,7.85,9.62,9.77,7.84,7.56,9.09,10.26,5.85,5.4,7,7.79,6.27,14.6,14.6,10.98,10.98
7,Research & Development,7.56,10.4,7.34,8.1,8.45,13.58,8.43,9.04,10.75,11.28,9.61,9.85,9.73,11.95,8.26,8.92,8.92,8.82,8.82
8,Other Operating Expenses,1.44,1.65,1.52,1.72,1.02,5.17,-3.85,3.69,0.14,-0.1,0.55,2.42,0.87,0.8,-0.07,1.02,1.02,1.03,1.03
9,Operating Expenses,20.6,22.76,17.52,15.74,19.07,27.4,12.37,19.17,21.65,20.16,16.88,15.05,20.2,18.46,13.5,25.01,25.01,21.58,21.58
10,Operating Income,-0.43,7.76,8.68,10.51,8.02,5.9,18.77,5.21,5.62,10.75,18.95,19.34,14.18,22.07,14.64,22.8,22.8,19.91,19.91
11,Interest Expense,-0.3,-0.23,-0.21,-0.27,-0.46,-0.45,-0.47,-0.22,-0.99,-0.59,-0.58,-0.68,-0.03,-0.44,-0.54,-0.34,-0.34,-0.58,-0.58
12,Interest & Investment Income,0.64,0.76,1.39,1.12,0.99,1.67,1.38,1.77,1.35,1.14,0.14,0.31,0.83,0.21,0.02,0.04,0.04,0.25,0.25
13,Currency Exchange Gain (Loss),-2.32,2.32,-,4.82,-4.16,4.16,-,4.11,1.29,-1.29,-,-6.68,1.45,-1.45,-,-1.97,-1.97,0.82,0.82
14,Other Non Operating Income (Expenses),4.17,-2.13,0.56,-4.93,4.53,1.17,-1.41,-2.82,0.08,4.73,-2.43,0.1,-2.14,1.85,-0.62,-0.52,-0.52,-0.15,-0.15
15,EBT Excluding Unusual Items,1.75,8.49,10.42,11.26,8.92,12.45,18.27,8.05,7.35,14.74,16.08,12.4,14.28,22.24,13.49,20,20,20.26,20.26
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-0.2,-,-,-,-,-,-,-,-,-,-0.2,-0.2
17,Gain (Loss) on Sale of Assets,0.01,0.01,-0.24,0.01,0.06,-,-0,-0.44,-,-0.04,0.02,-0.01,-0.05,0.02,-0.13,-0.09,-0.09,0,0
18,Asset Writedown,-2.47,-0.48,0.48,1.04,-2.14,0.29,-0.29,-0.63,-0.21,-0.04,0.02,-3.75,3.75,-3.77,2.93,-,-,-0.09,-0.09
19,Other Unusual Items,-0.36,0.29,0.36,1.03,0.4,-0.4,-,3.14,0.81,-0.81,-,5.27,-,-,-,0.69,0.69,0.92,0.92
20,Pretax Income,-1.07,8.31,11.02,13.33,7.23,12.34,17.98,9.91,7.95,13.85,16.12,13.9,17.98,18.5,16.28,20.6,20.6,20.94,20.94
21,Income Tax Expense,-1.51,0.21,0.42,0.91,-0.41,0.39,1.23,-4.35,-0.33,0.44,1,1.12,1.52,1.69,1.63,2.05,2.05,2.01,2.01
22,Earnings From Continuing Operations,0.44,8.1,10.6,12.42,7.65,11.95,16.75,14.26,8.28,13.42,15.12,12.78,16.46,16.81,14.66,18.55,18.55,18.93,18.93
23,Minority Interest in Earnings,-,-,-,-,-,-,-,-0.01,0.04,-0.47,0.42,0.98,1.28,1.77,0.93,0.76,0.76,-0.12,-0.12
