,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,228.3,272.6,288.91,283.99,283.57,225.45,302.99,366.12,351.65,446.76,67.54,103.11,-,88.69,-,69.18,69.18,97.77,97.77
1,Trading Asset Securities,70,-,-,-,-,-,-,-,70,60,-,-,-,-,-,-,-,0.01,0.01
2,Cash & Short-Term Investments,298.3,272.6,288.91,283.99,283.57,225.45,302.99,366.12,421.65,506.76,67.54,103.11,-,88.69,69.18,69.18,69.18,97.77,97.77
3,Cash Growth,5.19%,20.91%,-4.65%,-22.43%,-32.75%,-55.51%,348.58%,255.07%,-,471.39%,-2.37%,49.04%,-,-9.29%,-29.24%,-,-,-,-
4,Accounts Receivable,180.22,189.91,178.2,203.55,262.77,327.61,369.25,370.81,330.78,274.51,298.1,307.86,-,282.33,-,291.93,291.93,270.53,270.53
5,Other Receivables,8.24,10.06,13.67,16.05,1.58,1.41,1.09,1.02,4.18,5,3.24,3.54,-,0.41,-,0.83,0.83,1.79,1.79
6,Receivables,188.46,199.96,191.87,219.6,264.35,329.02,370.34,371.82,334.96,279.51,301.34,311.4,-,282.73,-,292.77,292.77,272.32,272.32
7,Inventory,197.93,198.8,182.62,194.35,200.01,228.13,239.02,231.61,207.44,191.95,155.46,143.5,-,127.87,-,111.8,111.8,113.77,113.77
8,Prepaid Expenses,-,0.63,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11,0.11,0.51,0.51
9,Other Current Assets,19.5,30.91,27.08,26.06,9.71,48.17,53,36.4,51.75,34.45,39,21.45,-,17.96,-,13.71,13.71,7.85,7.85
10,Total Current Assets,704.19,702.9,690.48,724,757.64,830.78,965.35,1006,1016,1013,563.35,579.46,-,517.25,-,487.56,487.56,492.21,492.21
11,"Property, Plant & Equipment",586.76,586.99,561.5,555.88,510.57,433.93,375.78,377.21,287.58,285.09,280.72,273.38,-,240.73,-,239.6,239.6,236.32,236.32
12,Other Intangible Assets,33.99,34.51,34.76,35.35,33.32,21.46,21.8,22.1,22.44,22.52,22.82,23.12,-,23.72,-,22.48,22.48,22.83,22.83
13,Long-Term Deferred Tax Assets,10.36,9.27,9.9,10.75,9.96,9.93,10.71,12.33,2.45,2.14,2.33,2.2,-,2.16,-,2.79,2.79,3.4,3.4
14,Long-Term Deferred Charges,3.07,1.44,1.57,1.7,1.22,0.88,0.99,1.03,0.65,0.93,0.75,0.83,-,0.89,-,1.04,1.04,0.65,0.65
15,Other Long-Term Assets,9.11,10.46,5.36,4.81,33.71,112.79,123.32,73.68,68.12,57.56,39.99,24.2,-,22.71,-,11.02,11.02,3.91,3.91
16,Total Assets,1347,1346,1304,1332,1346,1410,1498,1492,1397,1381,909.95,903.19,-,807.46,-,764.5,764.5,759.32,759.32
17,Accounts Payable,130.58,135.7,101.35,132.02,128.53,158.39,233.05,300.41,219.19,161.07,227.3,199.35,-,151.59,-,125.87,125.87,150.18,150.18
18,Accrued Expenses,9.09,10.7,6.57,10.05,8.08,10.08,7.79,9.6,7.18,55.44,6.88,9.44,-,44.96,-,41.26,41.26,38.62,38.62
19,Short-Term Debt,59.5,59.5,42.5,40.03,61,64.42,71.5,44.32,52.94,51.07,51.91,66.48,-,20.69,-,28.83,28.83,13.37,13.37
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,0.9,-,-,-,-,-,-,-,-,-,-,-
21,Current Portion of Leases,-,-,-,-,-,-,0.01,-,1.76,2.61,3.41,3.34,-,3.23,-,3.12,3.12,3.02,3.02
22,Current Income Taxes Payable,1.04,-,0.95,-,0.85,-,0.7,-,2.21,0.17,0.79,-,-,2,-,1.19,1.19,0.5,0.5
23,Current Unearned Revenue,1.09,0.5,0.21,4.95,17.72,45.55,44.26,0.01,0.47,0.21,-,0.06,-,1.68,-,12.47,12.47,13.81,13.81
24,Other Current Liabilities,17.08,9.81,9.63,12.97,10.01,18.42,24.2,36.84,9.74,14.71,11.85,30.59,-,18.71,-,16.57,16.57,36.97,36.97
25,Total Current Liabilities,218.39,216.21,161.21,200.02,226.19,296.87,381.52,392.08,293.48,285.27,302.14,309.26,-,242.86,-,229.32,229.32,256.48,256.48
26,Long-Term Leases,-,-,-,-,-,-,-,-,-,-,0.01,0.9,-,2.6,-,4.24,4.24,5.83,5.83
27,Long-Term Unearned Revenue,7.6,7.88,8.16,8.44,8.72,9,4.95,5.12,5.28,5.45,5.61,5.77,-,6.1,-,6.43,6.43,6.76,6.76
28,Long-Term Deferred Tax Liabilities,11.52,11.95,12.37,12.79,11.09,11.47,11.85,12.24,4.82,5,5.18,5.36,-,3.24,-,3.46,3.46,3.06,3.06
29,Total Liabilities,237.51,236.03,181.74,221.25,246.01,317.35,398.32,409.44,303.58,295.72,312.94,321.3,-,254.81,-,243.46,243.46,272.13,272.13
30,Common Stock,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,61.2,61.2,-,61.2,-,61.2,61.2,61.2,61.2
31,Additional Paid-In Capital,692.98,692.98,692.98,692.98,692.98,692.98,692.98,692.98,703.32,703.32,248.98,248.98,-,248.98,-,248.98,248.98,248.98,248.98
32,Retained Earnings,335.39,334.94,347.25,336.65,325.83,317.84,325.03,308.28,294.02,285.7,272.75,257.22,-,225.71,-,191.4,191.4,152.78,152.78
33,Total Common Equity,1110,1110,1122,1111,1100,1092,1100,1083,1079,1071,582.93,567.39,-,535.89,501.74,501.58,501.58,462.96,462.96
34,Minority Interest,-,-,-,-,-,-,-,-,14.52,14.55,14.08,14.5,-,16.76,-,19.46,19.46,24.23,24.23
35,Shareholders' Equity,1110,1110,1122,1111,1100,1092,1100,1083,1093,1085,597.01,581.9,-,552.66,521.19,521.04,521.04,487.19,487.19
36,Total Liabilities & Equity,1347,1346,1304,1332,1346,1410,1498,1492,1397,1381,909.95,903.19,-,807.46,-,764.5,764.5,759.32,759.32
37,Total Debt,59.5,59.5,42.5,40.03,61,64.42,71.51,45.22,54.69,53.68,55.34,70.72,-,26.52,36.2,36.2,36.2,22.23,22.23
38,Net Cash (Debt),238.8,213.1,246.41,243.96,222.57,161.03,231.48,320.9,366.96,453.08,12.21,32.39,-,62.16,32.98,32.98,32.98,75.55,75.55
39,Net Cash Growth,7.29%,32.34%,6.45%,-23.98%,-39.35%,-64.46%,1795.92%,890.70%,-,628.84%,-62.98%,-1.80%,-,-17.71%,-56.34%,-,-,-,-
40,Net Cash Per Share,2.93,2.61,3.02,2.99,2.73,1.97,2.84,9.01,2.87,6.09,0.20,0.53,-,1.04,0.53,0.55,0.55,1.23,1.23
41,Filing Date Shares Outstanding,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,61.2,81.6,61.61,61.2,62.33,61.2,61.2,61.2,61.2
42,Total Common Shares Outstanding,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,61.2,61.2,61.61,61.2,62.33,61.2,61.2,61.2,61.2
43,Working Capital,485.8,486.7,529.27,523.99,531.44,533.91,583.83,613.88,722.33,727.39,261.21,270.2,-,274.39,-,258.24,258.24,235.73,235.73
44,Book Value Per Share,13.60,13.60,13.75,13.62,13.49,13.39,13.48,13.27,13.22,13.12,9.53,9.27,-,8.76,8.20,8.20,8.20,7.56,7.56
45,Tangible Book Value,1076,1075,1087,1076,1067,1071,1078,1061,1057,1048,560.11,544.28,-,512.17,479.25,479.09,479.09,440.13,440.13
46,Tangible Book Value Per Share,13.19,13.17,13.32,13.18,13.08,13.12,13.21,13.00,12.95,12.84,9.15,8.89,-,8.37,7.83,7.83,7.83,7.19,7.19
47,Buildings,-,293.36,-,287.5,-,172.45,-,156.33,-,157.03,-,159.56,-,159.53,-,162.63,162.63,135.19,135.19
48,Machinery,-,519.65,-,405.6,-,345.03,-,335.38,-,295.9,-,299.61,-,285.01,-,269.57,269.57,281.26,281.26
49,Construction In Progress,-,48.1,-,112.77,-,155.5,-,106.53,-,45.53,-,40.2,-,10.3,-,1,1,20.64,20.64
