,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,2233,2392,1939,2380,1810,1917,1407,1944,1173,678.51,Upgrade
1,Short-Term Investments,-,19.98,-,58.16,-,63.13,-,14.39,-,13.36,Upgrade
2,Cash & Short-Term Investments,2233,2412,1939,2438,1810,1980,1407,1959,1173,691.88,Upgrade
3,Cash Growth,15.14%,-1.09%,7.15%,23.12%,28.63%,1.11%,19.93%,183.09%,117.16%,-23.85%,Upgrade
4,Accounts Receivable,3496,2820,3323,2738,2985,2489,2844,2156,2272,1840,Upgrade
5,Other Receivables,0.35,160.41,3.77,174.13,0.23,139.45,0.73,121.64,1.32,111.19,Upgrade
6,Receivables,3497,2980,3327,2912,2985,2628,2845,2278,2273,1951,Upgrade
7,Inventory,1500,1728,1504,1770,1804,1904,1504,1248,900.86,1071,Upgrade
8,Prepaid Expenses,381.44,16.25,-,6.7,-,16.94,-,13.96,-,9.63,Upgrade
9,Restricted Cash,-,65.72,-,115.74,-,36.33,-,97.41,-,49.71,Upgrade
10,Other Current Assets,36.39,179.52,428.65,147.14,545.38,201.31,361,189.19,1883,125.92,Upgrade
11,Total Current Assets,7647,7381,7198,7391,7144,6767,6116,5784,6230,3899,Upgrade
12,"Property, Plant & Equipment",6278,6396,6319,6151,5696,5687,5551,5556,5274,5347,Upgrade
13,Long-Term Investments,101.74,51.01,41.15,20.92,20.59,14.26,10.14,8.37,24.98,1532,Upgrade
14,Goodwill,233.97,233.97,233.97,233.97,233.97,233.97,233.97,233.97,233.97,233.97,Upgrade
15,Other Intangible Assets,18.31,19.65,19.41,20.27,20.77,22.32,21.65,23.38,25.14,26.66,Upgrade
16,Long-Term Deferred Tax Assets,21.02,24.64,18.78,24.81,25.79,35.56,20.43,26.94,28.68,29,Upgrade
17,Other Long-Term Assets,83.88,136.75,224.75,233.43,344.75,232.29,320.82,163.31,358.93,249.56,Upgrade
18,Total Assets,14384,14243,14055,14075,13487,12992,12274,11796,12176,11318,Upgrade
19,Accounts Payable,2535,2300,2217,2422,2097,2324,1803,1449,1248,1123,Upgrade
20,Accrued Expenses,40.61,229.65,-,253.33,-,226.75,-,227.84,-,165.41,Upgrade
21,Short-Term Debt,4865,-,-,-,-,-,-,-,-,-,Upgrade
22,Current Portion of Long-Term Debt,-,5034,4800,3824,3566,2071,1625,2300,1444,1858,Upgrade
23,Current Portion of Leases,14.96,13.08,10.38,12,14.61,13.51,15.31,10.27,8.83,8.26,Upgrade
24,Current Income Taxes Payable,-,48.83,44.2,64.77,46.1,15.54,31.17,21.69,40.55,17.05,Upgrade
25,Current Unearned Revenue,-,51.94,-,40.95,-,42.14,-,44.63,-,39.8,Upgrade
26,Other Current Liabilities,370.22,228.18,497.41,210.61,557.4,199.07,349.95,156.58,1132,353.94,Upgrade
27,Total Current Liabilities,7826,7906,7570,6828,6281,4892,3824,4210,3873,3566,Upgrade
28,Long-Term Debt,225.36,246.67,564.18,1387,1291,2143,2686,1964,3119,2480,Upgrade
29,Long-Term Leases,76.94,74.35,70.61,64.85,62.23,62.38,74.2,70.98,18.7,18.4,Upgrade
30,Long-Term Unearned Revenue,15.76,16.57,13.68,13.6,13.99,14.49,2.52,2.69,2.85,3.02,Upgrade
31,Long-Term Deferred Tax Liabilities,76.99,71.57,67.01,52.06,47.02,60.87,48.6,46.15,35.89,34.96,Upgrade
32,Total Liabilities,8221,8315,8285,8346,7695,7173,6636,6293,7050,6103,Upgrade
33,Common Stock,2730,2730,2730,2730,2730,2730,2730,2730,2730,2730,Upgrade
34,Retained Earnings,3326,3059,2993,2829,2743,2582,2494,2409,2347,2357,Upgrade
35,Comprehensive Income & Other,-271.43,-233.94,-305.35,-180.62,-24.6,165.46,117,78.45,-231.41,-151.27,Upgrade
36,Total Common Equity,5785,5555,5418,5379,5449,5478,5342,5218,4846,4936,Upgrade
37,Minority Interest,378.77,372.67,351.71,349.66,342.5,341.34,296.9,285.28,280.65,279.29,Upgrade
38,Shareholders' Equity,6163,5928,5770,5728,5792,5819,5639,5503,5127,5215,Upgrade
39,Total Liabilities & Equity,14384,14243,14055,14075,13487,12992,12274,11796,12176,11318,Upgrade
40,Total Debt,5182,5368,5446,5288,4933,4290,4400,4345,4590,4365,Upgrade
41,Net Cash (Debt),-2949,-2956,-3507,-2850,-3124,-2310,-2993,-2386,-3417,-3673,Upgrade
42,Net Cash Per Share,-2.65,-2.66,-3.15,-2.56,-2.81,-2.07,-2.69,-2.14,-2.98,-3.16,Upgrade
43,Filing Date Shares Outstanding,1113,1113,1113,1113,1113,1113,1113,1113,1066,1161,Upgrade
44,Total Common Shares Outstanding,1113,1113,1113,1113,1113,1113,1113,1113,1066,1161,Upgrade
45,Working Capital,-178.77,-524.53,-371.39,562.17,863.73,1875,2292,1574,2357,333.31,Upgrade
