,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,379.26,448.1,403.07,2044,882,1002,1119,2842,1136,387.42,294.76,234.57,-,-,-
1,Trading Asset Securities,-,1526,1510,1589,80,1424,1280,1465,-,1740,-,-,-,-,-,-
2,Cash & Short-Term Investments,1905,1905,1958,1992,2124,2306,2282,2584,2842,2876,387.42,294.76,234.57,-,-,58.13
3,Cash Growth,-10.31%,-17.38%,-14.22%,-22.92%,-25.27%,-19.84%,489.13%,776.71%,1111.71%,-,-,407.03%,-,-,-,-
4,Accounts Receivable,-,266.69,243.65,320.09,355.3,305.7,313.08,310.82,283.35,267.36,250.99,437.99,559.54,-,-,-
5,Other Receivables,-,5.55,4,2.33,1.46,2.99,2.92,4.02,2.98,-,-,-,0.62,-,-,-
6,Receivables,-,272.25,247.65,322.43,356.76,308.7,316,314.84,286.34,267.36,250.99,437.99,560.16,-,-,-
7,Inventory,-,79.24,102.37,109.94,107.54,111.65,85.78,79.12,78.2,75.05,85.59,88.13,60.86,-,-,-
8,Other Current Assets,-,59.57,51.47,46.42,50.58,58.01,57.69,51.96,22.86,23.08,21.76,19.93,13.93,-,-,-
9,Total Current Assets,-,2316,2359,2471,2639,2784,2742,3030,3230,3242,745.75,840.82,869.51,-,-,-
10,"Property, Plant & Equipment",-,1556,1572,1524,1512,1452,1395,1208,1089,607.21,479.47,449.56,452.52,-,-,-
11,Long-Term Investments,-,61.3,61.68,62,-,30.67,30.43,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,-,207.29,202.28,178.6,179.56,180.54,181.56,182.47,148.66,149.52,150.47,92.28,82.15,-,-,-
13,Long-Term Deferred Tax Assets,-,40.82,30.07,19.92,16.49,9.83,9.89,8.82,9.83,5.47,5.45,6.14,5.45,-,-,-
14,Long-Term Deferred Charges,-,0.65,0.7,0.63,0.68,0.18,0.26,0.34,0.42,0.51,0.68,0.84,1.01,-,-,-
15,Other Long-Term Assets,-,34.65,41.78,24.88,74.06,6.03,10.56,76,61.29,247.66,206.09,189.14,138.49,-,-,-
16,Total Assets,-,4217,4268,4281,4422,4463,4369,4505,4539,4252,1588,1579,1549,-,-,-
17,Accounts Payable,-,305.81,181.88,287.86,225.89,372.31,160.49,373.02,343.68,232.38,141.77,124.43,142.42,-,-,-
18,Accrued Expenses,-,18.29,19.22,13.64,25.35,19.46,20.51,12.83,31.28,40.24,39.05,31.79,37.52,-,-,-
19,Short-Term Debt,-,3.44,3.44,3.44,3.46,-,-,-,-,4.51,65.04,64.08,133.36,-,-,-
20,Current Portion of Long-Term Debt,-,1.33,0.52,-,0.83,-,-,-,0.08,-,-,-,-,-,-,-
21,Current Portion of Leases,-,-,0.76,1.58,0.73,1.2,0.89,0.73,0.76,0.78,0.74,0.72,0.71,-,-,-
22,Current Income Taxes Payable,-,2.8,0,5.29,0,1.58,0.95,13.26,11.57,8.57,5.96,39.13,27.91,-,-,-
23,Current Unearned Revenue,-,0.21,0.18,0.54,0.04,0.08,0.03,0.03,0.03,0.38,12.43,31.81,80.88,-,-,-
24,Other Current Liabilities,-,11.33,150.68,11.98,190.71,43.6,189.31,31.23,110.8,3.04,13.52,28.64,47.29,-,-,-
25,Total Current Liabilities,-,343.21,356.69,324.35,447.02,438.22,372.18,431.11,498.21,289.9,278.53,320.61,470.09,-,-,-
26,Long-Term Debt,-,158.1,133.1,123.1,123.1,116.4,114.35,92.4,75,36,-,-,-,-,-,-
27,Long-Term Leases,-,-,0.24,0.23,0.47,0.58,1.03,1.05,1.29,1.21,1.23,1.23,1.46,-,-,-
28,Long-Term Unearned Revenue,-,24.93,25.93,26.93,27.93,29.1,29.93,30.77,31.6,27.07,19.27,20.29,20.08,-,-,-
29,Long-Term Deferred Tax Liabilities,-,-,-,-,-,2.07,1.19,0.12,0.12,0.06,-,-,-,-,-,-
30,Other Long-Term Liabilities,-,30.2,30.2,30.2,30.2,27.1,-,-,-,-,-,-,-,-,-,-
31,Total Liabilities,-,556.45,546.16,504.81,628.71,613.47,518.68,555.45,606.22,354.23,299.02,342.12,491.63,-,-,-
32,Common Stock,-,159.5,159.5,159.5,159.5,159.5,159.5,110,110,110,82,82,82,-,-,-
33,Additional Paid-In Capital,-,2905,2905,2905,2905,2905,2905,2954,2954,2954,411.75,408.31,404.88,-,-,-
34,Retained Earnings,-,522.03,581.2,640.92,653.72,703.26,697.29,798.62,787.64,752.51,728.18,679.97,526.82,-,-,-
35,Treasury Stock,-,-30,-30,-26.92,-10,-8,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,-,19.33,19.31,20.94,21.1,20.88,21.13,21.43,20.2,19.1,17.59,16.29,14.53,-,-,-
37,Total Common Equity,3576,3576,3635,3699,3729,3780,3783,3884,3872,3836,1240,1187,1028,-,-,614.68
38,Minority Interest,-,83.93,87.06,77.29,64.18,69.51,68.16,65.53,60.46,62.23,49.35,50.08,29.26,-,-,-
39,Shareholders' Equity,3660,3660,3722,3776,3793,3850,3851,3950,3932,3898,1289,1237,1057,-,-,615.52
