,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3655,3702,3108,2763,3843,4363,4952,5898,7238,7119,7577,-,-,-,-,-,-
1,Market Cap Growth,-15.15%,-15.15%,-37.23%,-53.15%,-46.91%,-38.71%,-34.64%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1997,2044,1376,977,1724,2245,2855,3474,4533,4348,7306,-,-,-,-,-,-
3,Last Close Price,23.08,23.38,19.42,17.17,23.87,27.10,30.71,36.58,44.08,43.36,46.14,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,81.50,74.56,60.99,27.30,19.96,-,-,-,-,-,-
5,Forward PE,-,43.16,43.16,45.68,53.03,65.82,31.17,26.48,35.57,11.96,14.23,-,-,-,-,-,-
6,PS Ratio,7.27,7.33,6.76,5.61,7.48,8.31,8.91,10.08,11.61,8.26,7.39,-,-,-,-,-,-
7,PB Ratio,1.02,1.01,0.85,0.74,1.02,1.15,1.29,1.53,1.83,1.81,1.94,-,-,-,-,-,-
8,P/TBV Ratio,1.10,1.10,0.92,0.81,1.09,1.23,1.38,1.64,1.96,1.91,2.06,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-8.73,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,-,-29.99,-,-,-,14.34,-,-,-,-,-,-
11,EV/Sales Ratio,3.96,4.05,2.99,1.98,3.36,4.28,5.13,5.93,7.27,5.04,7.13,-,-,-,-,-,-
12,EV/EBITDA Ratio,-,-,-,-,-,-,59.84,-,34.41,13.80,15.48,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,17.25,17.82,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-,-5.03,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.05,0.05,0.13,-,-,0.20
16,Debt / EBITDA Ratio,-,-,-,-,-,-,4.25,-,1.93,0.60,0.38,0.28,0.08,0.18,-,-,0.51
17,Debt / FCF Ratio,-,-,-,-,-,-,-0.21,-,-,-,-,0.21,0.21,0.70,-,-,-
18,Asset Turnover,-,0.12,0.09,0.09,0.12,0.15,0.11,0.10,0.14,0.26,0.41,0.90,-,-,-,-,
19,Inventory Turnover,-,-,6.55,5.65,3.75,5.95,5.35,5.08,4.63,6.19,6.85,3.81,6.53,-,-,-,-
20,Quick Ratio,-,-,6.34,6.18,7.14,5.55,5.97,6.98,6.72,6.28,10.84,2.29,2.29,1.69,-,-,-
21,Current Ratio,-,-,6.75,6.61,7.62,5.90,6.35,7.37,7.03,6.48,11.18,2.68,2.62,1.85,-,-,-
22,Return on Equity (ROE),-3.55%,-6.75%,-6.74%,-1.62%,-5.52%,0.36%,0.64%,0.92%,3.41%,3.56%,15.04%,53.11%,-,-,-,-,
23,Return on Assets (ROA),-,-3.64%,-4.67%,-1.73%,-4.57%,-0.50%,-0.96%,-0.20%,0.88%,1.03%,7.06%,28.74%,-,-,-,-,
24,Return on Capital (ROIC),-2.89%,-4.02%,-5.15%,-1.92%,-5.15%,-0.55%,-1.07%,-0.22%,0.98%,1.13%,8.41%,36.02%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,6.24%,10.35%,43.48%,49.31%,45.17%,-,-,-
26,Earnings Yield,-4.74%,-4.68%,-5.83%,-4.20%,-1.24%,-0.55%,1.23%,1.34%,1.64%,3.66%,5.01%,-,-,-,-,-,-
27,FCF Yield,-,-13.91%,-11.62%,-10.87%,-11.43%,-11.46%,-12.43%,-6.98%,-2.70%,1.81%,-,-,-,-,-,-,
28,Dividend Yield,2.59%,-,1.55%,-,-,-,-,-,-,1.59%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,-,17.77%,1282.71%,7.20%,1.39%,1.88%,1.31%,0.52%,0.70%,0.90%,26.98%,3.10%
30,Buyback Yield / Dilution,0.26%,-2.03%,-0.30%,4.76%,-1.79%,2.50%,-6.24%,-42.53%,-32.40%,-35.58%,-21.41%,-1.40%,1.07%,-,-,-,-
31,Total Shareholder Return,2.85%,-2.03%,1.24%,4.76%,-1.79%,2.50%,-6.24%,-42.53%,-32.40%,-33.99%,-21.41%,-1.40%,1.07%,-,-,-,-
