,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,172.9,128.63,101.06,102.15,127.81,161.06,122.87,113.22,158.89,190.3,160.91,351.84,322.26,308.59,229.02,153.86
1,Other Revenue,-,-0.17,0.17,-,0.07,-0.05,0.05,-,0.03,-0.03,0.03,-,-,-,-,-
2,Revenue,172.9,128.47,101.23,102.15,127.88,161.02,122.92,113.22,158.91,190.28,160.94,351.84,322.26,308.59,229.02,153.86
3,Revenue Growth (YoY),35.20%,-20.22%,-17.65%,-9.77%,-19.53%,-15.38%,-23.63%,-67.82%,-50.69%,-38.34%,-29.73%,128.68%,-,-,-,-
4,Cost of Revenue,320.23,148.65,149.88,101.98,163.05,132.07,104.73,91.07,118.62,137.59,82.75,121.57,100.64,99.4,103.14,83.29
5,Gross Profit,-147.33,-20.18,-48.66,0.18,-35.17,28.95,18.19,22.15,40.3,52.69,78.19,230.27,221.62,209.19,125.88,70.56
6,"Selling, General & Admin",-69.16,24.87,22.5,21.8,28,23.14,20.82,19.54,7.49,30.35,22.4,31.25,27.02,19.72,13.65,17.18
7,Research & Development,-30.43,11.37,10.62,8.44,13.23,11.85,14.16,8.22,6.59,11.4,15.12,16.38,18.07,12.66,12.79,5.84
8,Other Operating Expenses,-0.27,-0.41,-0.02,0.7,6.17,-0.97,-0.14,0.25,12.21,-5.05,0.69,1.97,7.95,2.68,1.35,0.27
9,Operating Expenses,-103.17,41.63,31.25,30.3,46.09,37.72,35.32,25.7,24.75,40.71,33.47,50.47,48.09,37.9,30.07,23.8
10,Operating Income,-44.16,-61.81,-79.9,-30.12,-81.27,-8.77,-17.13,-3.55,15.55,11.98,44.72,179.8,173.52,171.3,95.81,46.77
11,Interest Expense,-24.45,-0.03,-0.04,-0.04,-1.06,-0.02,-0.02,-0.02,-0.17,-0.19,-0.62,-0.68,-1.21,-1.3,-1.72,-1.32
12,Interest & Investment Income,0.11,10.35,11.09,3.01,24.41,15.04,15.45,11.03,15.62,6.91,0.31,0.08,-,0.47,-,2.86
13,Currency Exchange Gain (Loss),-,-0.61,0.61,-,2.07,-4.71,4.71,-,18.33,-12.48,12.48,-,1.8,-1.21,-0.91,2.11
14,Other Non Operating Income (Expenses),1.81,-2.1,-1.92,-0.08,-4.87,3.14,3.46,-1.97,-20.78,20.66,0.38,-0.69,-1.87,1.92,-0.18,-0.61
15,EBT Excluding Unusual Items,-66.69,-54.2,-70.17,-27.23,-60.72,4.68,6.46,5.49,28.55,26.87,57.26,178.52,172.23,171.17,93.01,49.82
16,Gain (Loss) on Sale of Investments,-8.69,-1.04,-1.03,10.76,-5.7,-1.51,1.99,5.22,4.45,0.37,-0.4,-0.76,-2,-2.32,0.26,-2.38
17,Gain (Loss) on Sale of Assets,1.81,-,-1.81,-,0.11,-,-,-,0.04,0.07,-0.85,-,0,0,-,-
18,Asset Writedown,20.08,-20.08,0.48,-0.48,-2.3,-0.31,-0.91,0.91,0.25,-0.31,-,-,-1.49,-,-,-
19,Other Unusual Items,0.37,2.24,-2.62,-0,7.38,-,-,-,6.68,-,-,-,9.49,-0.02,0.23,-0.21
20,Pretax Income,-53.12,-73.07,-75.14,-16.94,-61.24,2.86,7.54,11.62,39.96,26.99,56.02,177.76,178.24,168.83,93.5,47.23
21,Income Tax Expense,-20.62,-10.77,-11.99,-1.59,-8.46,-0.59,1.26,2.52,6.6,3.89,8.53,25.47,25.29,24.47,13.5,7.04
22,Earnings From Continuing Operations,-32.5,-62.3,-63.15,-15.35,-52.78,3.45,6.28,9.1,33.36,23.11,47.48,152.29,152.94,144.36,80,40.2
23,Minority Interest in Earnings,-9.11,3.13,3.43,2.55,3.22,2.53,2.37,1.91,1.77,1.22,0.73,0.86,0.97,0.73,0.87,0.36
24,Net Income,-41.61,-59.17,-59.72,-12.8,-49.56,5.99,8.65,11.01,35.12,24.33,48.21,153.15,153.91,145.09,80.87,40.56
25,Net Income to Common,-41.61,-59.17,-59.72,-12.8,-49.56,5.99,8.65,11.01,35.12,24.33,48.21,153.15,153.91,145.09,80.87,40.56
26,Net Income Growth,-,-,-,-,-,-75.39%,-82.05%,-92.81%,-77.18%,-83.23%,-40.38%,277.61%,-,-,-,-
27,Shares Outstanding (Basic),160,154,162,160,157,153,170,157,161,144,120,119,119,119,118,120
28,Shares Outstanding (Diluted),160,154,162,160,157,153,170,157,161,144,120,119,119,119,118,120
29,Shares Change (YoY),2.03%,0.30%,-4.76%,1.79%,-2.50%,6.24%,42.53%,32.40%,35.58%,21.41%,1.40%,-1.07%,-,-,-,-
30,EPS (Basic),-0.26,-0.39,-0.37,-0.08,-0.32,0.04,0.05,0.07,0.22,0.17,0.40,1.29,1.30,1.22,0.69,0.34
31,EPS (Diluted),-0.26,-0.39,-0.37,-0.08,-0.32,0.04,0.05,0.07,0.22,0.17,0.40,1.29,1.30,1.22,0.69,0.34
32,EPS Growth,-,-,-,-,-,-76.83%,-87.41%,-94.57%,-83.17%,-86.19%,-41.21%,281.68%,-,-,-,-
33,Free Cash Flow,-,-94.99,-80.44,-127.19,-129.62,16.16,-176.91,-208.29,-198.39,-149.75,50.98,105.04,131.04,36.19,40.13,-14.11
34,Free Cash Flow Per Share,-,-0.62,-0.50,-0.79,-0.83,0.11,-1.04,-1.32,-1.23,-1.04,0.43,0.88,1.10,0.30,0.34,-0.12
35,Dividend Per Share,-,0.300,-,-,-,-,-,-,0.690,-,-,-,-,-,-,-
36,Gross Margin,-85.21%,-15.71%,-48.07%,0.17%,-27.51%,17.98%,14.80%,19.56%,25.36%,27.69%,48.58%,65.45%,68.77%,67.79%,54.96%,45.86%
37,Operating Margin,-25.54%,-48.11%,-78.94%,-29.49%,-63.55%,-5.44%,-13.94%,-3.14%,9.78%,6.30%,27.79%,51.10%,53.85%,55.51%,41.84%,30.40%
38,Profit Margin,-24.07%,-46.06%,-59.00%,-12.53%,-38.75%,3.72%,7.04%,9.72%,22.10%,12.79%,29.95%,43.53%,47.76%,47.02%,35.31%,26.36%
39,Free Cash Flow Margin,-,-73.94%,-79.47%,-124.50%,-101.36%,10.04%,-143.93%,-183.97%,-124.84%,-78.70%,31.68%,29.85%,40.66%,11.73%,17.52%,-9.17%
40,EBITDA,-22.69,-40.34,-48.67,-8.66,-59.8,6.95,-2.69,12.17,31.27,27.79,60.53,195.34,188.35,185.98,110.49,61.41
